airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
hya,0,path,,UNLABELED,117.67,340.22,132.31,292.12,14.64,48.1,704.1842,161.8002,108.5458,124.99,316.17,0.3044,24,1,0,1,rgb,207,207,207,0,none,,,,0.0,100.6639,32.6231,99.4117,33.5111,0.0,594.0,387.36,0.0,331.6145
hya,1,path,,UNLABELED,161.09,217.58,167.49,210.71,6.4,6.87,43.9679,19.92,12.6289,164.29,214.145,0.9316,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,129.6805,3.7031,130.6114,6.1912,0.0,594.0,387.36,0.0,19.92
hya,2,path,,UNLABELED,169.0,216.4,197.74,197.25,28.74,19.15,550.3709,91.4033,79.4903,183.37,206.825,1.5008,16,1,0,1,rgb,207,207,207,0,none,,,,0.0,152.1019,5.301,130.7749,17.1799,0.0,594.0,387.36,0.0,248.5667
hya,3,path,,UNLABELED,142.58,378.29,341.86,243.04,199.28,135.25,26952.6178,764.6805,627.7806,242.22,310.665,1.4734,60,1,0,1,rgb,207,207,207,0,none,,,,0.0,34.8122,30.7244,40.22,154.0132,0.0,594.0,387.36,0.0,7609.2468
hya,4,compound,,UNLABELED,45.29,372.89,169.03,218.72,123.74,154.17,19076.9934,2361.1898,738.7224,107.16,295.805,0.8026,113,3,0,1,rgb,207,207,207,0,none,,,,0.0,128.8367,8.1988,130.1311,87.8923,0.0,594.0,387.36,0.0,7423.2462
hya,5,path,,UNLABELED,200.8,313.97,304.64,208.67,103.84,105.3,10934.352,1398.6553,436.0533,252.72,261.32,0.9861,63,1,0,1,rgb,207,207,207,0,none,,,,0.0,48.4985,13.3865,40.3708,48.2761,0.0,594.0,387.36,0.0,4768.0717
hya,6,compound,,UNLABELED,275.05,257.66,290.77,242.48,15.72,15.18,238.6295,86.6608,90.2861,282.91,250.07,1.0356,26,3,0,1,rgb,207,207,207,0,none,,,,0.0,36.8173,1.7481,41.3016,11.1815,0.0,594.0,387.36,0.0,134.4618
hya,7,compound,,UNLABELED,200.22,401.18,203.37,396.33,3.15,4.85,15.2776,5.7193,22.4421,201.795,398.755,0.6495,98,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.004,2.6318,105.0183,0.4245,0.0,594.0,387.36,0.0,12.1819
hya,8,path,,UNLABELED,204.1,397.01,204.78,396.33,0.68,0.68,0.4624,0.3564,2.1321,204.44,396.67,1.0,17,1,0,1,rgb,0,0,0,0,none,,,,0.0,90.4703,1.1185,102.0943,0.1432,0.0,594.0,387.36,0.0,0.3564
hya,9,path,,UNLABELED,206.09,401.01,207.41,396.41,1.32,4.6,6.072,2.6775,11.6121,206.75,398.71,0.287,7,1,0,1,rgb,0,0,0,0,none,,,,0.0,95.2992,22.6556,90.0,4.6,0.0,594.0,387.36,0.0,4.3339
