airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
ict,0,path,,UNLABELED,298.71,439.37,306.72,431.3,8.01,8.07,64.6406,38.4362,25.3867,302.715,435.335,0.9926,9,1,0,1,rgb,207,207,207,0,none,,,,0.0,126.8182,1.1363,69.8155,6.318,0.0,594.0,387.36,0.0,39.2225
ict,1,path,,UNLABELED,219.94,222.97,227.88,214.88,7.94,8.09,64.2346,38.034,25.1406,223.91,218.925,0.9815,9,1,0,1,rgb,207,207,207,0,none,,,,0.0,128.235,1.1318,69.3909,6.3354,0.0,594.0,387.36,0.0,38.6858
ict,2,path,,UNLABELED,160.06,431.73,160.07,431.71,0.01,0.02,0.0002,0.0,0.0447,160.065,431.72,0.4996,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,63.4524,1000000.0,63.4524,0.0224,0.0,594.0,387.36,0.0,0.0
ict,3,path,,UNLABELED,155.74,439.08,162.13,431.73,6.39,7.35,46.9664,28.332,21.5324,158.935,435.405,0.8694,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,55.9759,2.004,70.3959,6.1994,0.0,594.0,387.36,0.0,28.332
ict,4,path,,UNLABELED,44.46,136.23,52.09,128.32,7.63,7.91,60.3531,36.6164,24.2211,48.275,132.275,0.9646,8,1,0,1,rgb,207,207,207,0,none,,,,0.0,37.1591,1.3426,69.9235,6.2923,0.0,594.0,387.36,0.0,36.6176
ict,5,path,,UNLABELED,93.21,500.63,155.74,373.68,62.53,126.95,7938.1841,1187.0459,612.5341,124.475,437.155,0.4926,259,1,0,1,rgb,207,207,207,0,none,,,,0.0,94.8654,6.068,90.8279,23.5325,0.0,594.0,387.36,0.0,5377.7316
ict,6,path,,UNLABELED,125.12,340.4,129.07,335.99,3.95,4.41,17.4195,5.3066,14.1394,127.095,338.195,0.8957,11,1,0,1,rgb,207,207,207,0,none,,,,0.0,20.8214,1.4816,69.9439,4.6947,0.0,594.0,387.36,0.0,8.42
ict,7,path,,UNLABELED,299.5798,433.3234,299.5818,433.3174,0.002,0.006,0.0,0.0,0.0063,299.5808,433.3204,0.3359,2,1,0,0,none,,,,1,rgb,207,207,207,0.39,71.4339,1000000.0,71.4339,0.0063,0.0,594.0,387.36,0.0,0.0
ict,8,compound,,UNLABELED,227.26,431.72,351.42,186.81,124.16,244.91,30408.0213,4840.9156,2083.5548,289.34,309.265,0.507,1052,12,0,1,rgb,207,207,207,0,none,,,,0.0,77.2978,12.3905,70.1693,72.5737,0.0,594.0,387.36,0.0,17612.3291
ict,9,compound,,UNLABELED,133.0,523.89,299.58,220.61,166.58,303.28,50520.3853,7083.1228,2935.5806,216.29,372.25,0.5493,1861,31,0,1,rgb,207,207,207,0,none,,,,0.0,59.3526,4.098,95.0511,52.4738,0.0,594.0,387.36,0.0,28454.1935
ict,10,path,,UNLABELED,51.55,330.38,156.85,132.02,105.3,198.36,20887.3071,729.0177,598.8514,104.2,231.2,0.5309,196,1,0,1,rgb,207,207,207,0,none,,,,0.0,66.7044,48.0389,69.9852,155.8742,0.0,594.0,387.36,0.0,5754.1945
ict,11,path,,UNLABELED,104.44,500.63,130.1,440.03,25.66,60.6,1554.9957,832.445,112.7786,117.27,470.33,0.4234,36,1,0,0,none,,,,1,rgb,0,0,0,0.39,101.8208,12.1064,90.8278,23.5325,0.0,594.0,387.36,0.0,961.4058
ict,12,path,,UNLABELED,93.21,443.21,113.43,429.1,20.22,14.11,285.3042,119.6108,57.3675,103.32,436.155,1.433,32,1,0,0,none,,,,1,rgb,0,0,0,0.39,152.8144,3.9843,0.8001,10.741,0.0,594.0,387.36,0.0,184.0598
ict,13,path,,UNLABELED,291.06,517.61,292.8,510.38,1.74,7.23,12.5801,11.0718,16.1014,291.93,513.995,0.2407,16,1,0,0,none,,,,1,rgb,0,0,0,0.39,87.8626,24.115,90.4532,6.3202,0.0,594.0,387.36,0.0,11.0718
ict,14,path,,UNLABELED,290.62,509.28,292.8,506.01,2.18,3.27,7.1286,4.0793,8.667,291.71,507.645,0.6667,13,1,0,0,none,,,,1,rgb,0,0,0,0.39,110.2114,4.5529,89.514,1.18,0.0,594.0,387.36,0.0,4.5122
ict,15,path,,UNLABELED,268.33,457.12,274.81,445.62,6.48,11.5,74.5198,41.3854,28.6296,271.57,451.37,0.5635,24,1,0,0,none,,,,1,rgb,0,0,0,0.39,68.8025,6.837,69.8335,7.7448,0.0,594.0,387.36,0.0,45.1752
ict,16,path,,UNLABELED,272.92,444.42,277.27,440.31,4.35,4.11,17.8785,8.3403,8.5024,275.095,442.365,1.0584,17,1,0,0,none,,,,1,rgb,0,0,0,0.39,135.4792,6.8339,159.7746,1.6199,0.0,594.0,387.36,0.0,9.0239
ict,17,path,,UNLABELED,269.36,429.99,269.49,429.8,0.13,0.19,0.0247,0.0,0.2302,269.425,429.895,0.6842,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,124.381,1000000.0,124.381,0.2302,0.0,594.0,387.36,0.0,0.0
ict,18,path,,UNLABELED,262.73,438.5,269.93,430.51,7.2,7.99,57.528,17.2948,26.4986,266.33,434.505,0.9011,26,1,0,0,none,,,,1,rgb,0,0,0,0.39,84.9669,2.8342,160.0824,5.9882,0.0,594.0,387.36,0.0,31.8563
ict,19,path,,UNLABELED,264.96,417.98,265.13,417.51,0.17,0.47,0.0799,0.0,0.4998,265.045,417.745,0.3617,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,109.8866,1000000.0,109.8866,0.4998,0.0,594.0,387.36,0.0,0.0
ict,20,path,,UNLABELED,259.24,404.56,259.4,404.42,0.16,0.14,0.0224,0.0,0.2126,259.32,404.49,1.1429,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,138.8148,1000000.0,138.8148,0.2126,0.0,594.0,387.36,0.0,0.0
ict,21,path,,UNLABELED,253.4,388.83,253.51,388.49,0.11,0.34,0.0374,0.0,0.3573,253.455,388.66,0.3235,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,107.9282,1000000.0,107.9282,0.3573,0.0,594.0,387.36,0.0,0.0
ict,22,path,,UNLABELED,247.1,371.27,247.12,371.13,0.02,0.14,0.0028,0.0,0.1414,247.11,371.2,0.1429,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,98.1319,1000000.0,98.1319,0.1414,0.0,594.0,387.36,0.0,0.0
ict,23,path,,UNLABELED,240.57,354.98,240.7,354.05,0.13,0.93,0.1209,0.0278,0.9439,240.635,354.515,0.1398,4,1,0,0,none,,,,1,rgb,0,0,0,0.39,83.0066,364.8924,83.9272,0.4727,0.0,594.0,387.36,0.0,0.0278
ict,24,path,,UNLABELED,229.47,322.37,230.21,321.49,0.74,0.88,0.6512,0.0827,1.1795,229.84,321.93,0.8409,5,1,0,0,none,,,,1,rgb,0,0,0,0.39,130.0488,79.8735,115.9059,0.3891,0.0,594.0,387.36,0.0,0.0827
ict,25,path,,UNLABELED,229.21,318.13,229.65,317.54,0.44,0.59,0.2596,0.0,0.736,229.43,317.835,0.7458,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,53.2855,1000000.0,53.2855,0.736,0.0,594.0,387.36,0.0,0.0
ict,26,path,,UNLABELED,168.5,329.48,168.73,329.37,0.23,0.11,0.0253,0.0,0.2549,168.615,329.425,2.0911,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,154.4426,1000000.0,154.4426,0.2549,0.0,594.0,387.36,0.0,0.0
