airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
idp,0,0,0,210.685,351.69,0.0,1.55
idp,0,0,1,210.01,364.78,89.5623,26.1808
idp,0,0,2,210.075,378.115,98.1291,0.495
idp,0,0,3,209.98,378.59,104.6201,0.4754
idp,0,0,4,209.83,379.04,112.2498,0.4754
idp,0,0,5,209.62,379.455,121.6091,0.4579
idp,0,0,6,209.36,379.82,129.4714,0.4405
idp,0,0,7,208.02,381.17,135.4814,3.3659
idp,0,0,8,207.34,382.885,45.8145,1.4921
idp,0,0,9,208.615,382.645,134.2512,2.1639
idp,0,0,10,209.88,381.32,132.8389,1.5001
idp,0,0,11,210.66,380.365,123.6906,0.9735
idp,0,0,12,211.04,379.77,120.0684,0.4391
idp,0,0,13,211.235,379.375,112.5202,0.4438
idp,0,0,14,211.38,378.95,105.255,0.4561
idp,0,0,15,211.475,378.505,98.8425,0.4554
idp,0,0,16,211.52,378.045,92.4372,0.4704
idp,0,0,17,211.495,364.785,89.846,26.0501
idp,1,0,0,229.505,140.615,89.6521,11.5302
idp,1,0,1,229.035,134.875,176.7115,0.8714
idp,1,0,2,164.1,199.91,134.7744,183.1562
idp,1,0,3,102.59,267.93,45.1909,8.4853
idp,2,0,0,40.57,330.63,44.7062,8.2733
idp,2,0,1,64.52,312.15,134.4865,59.9651
idp,2,0,2,82.71,287.97,44.6937,7.9339
idp,3,0,0,219.11,281.515,91.6247,1.4106
idp,3,0,1,196.015,280.81,0.0,46.23
idp,3,0,2,172.785,280.8,4.9671,0.2309
idp,3,0,3,172.705,281.61,87.5562,1.6415
idp,4,0,0,110.27,279.665,46.0795,0.3748
idp,4,0,1,93.205,262.815,44.6254,47.5893
idp,4,0,2,75.765,246.68,131.0457,1.5381
idp,4,0,3,92.28,264.06,44.6273,47.8297
idp,5,0,0,263.825,261.02,89.7068,33.2204
idp,5,0,1,263.71,239.11,89.6757,10.6002
idp,5,0,2,263.46,191.21,89.7041,85.2011
idp,5,0,3,263.1,138.11,89.2361,21.0019
idp,5,0,4,261.9,127.62,179.459,2.1201
idp,5,0,5,260.845,127.775,88.023,0.2902
idp,5,0,6,261.15,140.58,88.6425,25.3271
idp,5,0,7,261.525,182.385,89.8526,58.2902
idp,5,0,8,261.59,216.155,90.1238,9.25
idp,5,0,9,261.61,248.9,89.9389,56.2401
idp,5,0,10,261.605,277.19,101.6349,0.3471
idp,5,0,11,261.53,277.525,103.6303,0.3395
idp,6,0,0,202.185,448.71,0.0,1.93
idp,6,0,1,201.255,448.89,78.9977,0.3667
idp,6,0,2,201.34,458.77,89.7046,19.4003
idp,6,0,3,201.225,468.94,109.3445,0.9962
idp,6,0,4,200.925,469.655,118.8558,0.5595
idp,6,0,5,200.665,470.035,132.7978,0.368
idp,6,0,6,200.36,470.415,126.3047,0.608
idp,6,0,7,200.015,470.825,135.0,0.4667
idp,6,0,8,199.62,471.235,133.1904,0.6721
idp,6,0,9,199.27,471.585,138.8159,0.3189
idp,6,0,10,198.77,471.915,149.3696,0.8832
idp,6,0,11,198.12,472.22,163.4963,0.5632
idp,6,0,12,197.35,472.33,176.5661,1.0018
idp,6,0,13,194.805,472.38,179.4397,4.0902
idp,6,0,14,192.775,473.47,89.1969,2.1402
idp,6,0,15,192.8,474.535,153.4349,0.0224
idp,6,0,16,193.57,474.47,175.4859,1.5247
idp,6,0,17,195.405,474.425,0.7994,2.1502
idp,6,0,18,197.06,474.415,177.5321,1.1611
idp,6,0,19,198.125,474.315,171.2094,0.9815
idp,6,0,20,198.85,474.165,162.6457,0.5029
idp,6,0,21,199.32,473.985,155.462,0.5057
idp,6,0,22,199.945,473.62,146.6464,0.9458
idp,6,0,23,200.655,473.105,141.0091,0.8106
idp,6,0,24,201.365,472.425,132.9046,1.1604
idp,6,0,25,202.0,471.665,125.6183,0.8242
idp,6,0,26,202.5,470.89,120.5793,1.0222
idp,6,0,27,202.91,470.07,111.5411,0.8171
idp,6,0,28,203.165,469.205,102.2153,0.9925
idp,6,0,29,203.27,468.385,90.0,0.67
idp,6,0,30,203.27,467.55,90.0,1.0
