airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
igq,0,path,,UNLABELED,202.56,481.65,210.0,456.61,7.44,25.04,186.2976,89.8559,51.8365,206.28,469.13,0.2971,21,1,0,1,rgb,207,207,207,0,none,,,,0.0,85.8072,44.514,89.8855,25.0201,0.0,594.0,387.36,0.0,130.6846
igq,1,path,,UNLABELED,246.16,207.9,248.72,150.63,2.56,57.27,146.611,138.2957,62.0902,247.44,179.265,0.0447,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,89.8549,562.2673,89.8599,57.2602,0.0,594.0,387.36,0.0,138.2957
igq,2,path,,UNLABELED,243.65,452.99,301.25,450.55,57.6,2.44,140.5433,131.8685,62.1503,272.45,451.77,23.6067,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,179.8503,632.3554,179.8507,57.5702,0.0,594.0,387.36,0.0,131.8685
igq,3,path,,UNLABELED,261.71,283.45,265.24,274.65,3.53,8.8,31.0639,14.1261,12.7263,263.475,279.05,0.4011,17,1,0,1,rgb,207,207,207,0,none,,,,0.0,88.0177,5.0191,90.0,2.36,0.0,594.0,387.36,0.0,19.6406
igq,4,path,,UNLABELED,90.36,433.16,98.56,427.37,8.2,5.79,47.4781,19.8535,16.4952,94.46,430.265,1.4162,16,1,0,1,rgb,207,207,207,0,none,,,,0.0,0.597,1.9743,89.5454,2.5201,0.0,594.0,387.36,0.0,30.4149
igq,5,path,,UNLABELED,148.63,443.44,156.15,437.78,7.52,5.66,42.5631,17.9784,21.227,152.39,440.61,1.3286,16,1,0,1,rgb,207,207,207,0,none,,,,0.0,177.4315,1.9298,179.8477,7.52,0.0,594.0,387.36,0.0,28.025
igq,6,path,,UNLABELED,82.6,443.57,90.2,437.98,7.6,5.59,42.484,17.8958,21.1874,86.4,440.775,1.3596,16,1,0,1,rgb,207,207,207,0,none,,,,0.0,178.7918,1.9724,179.7738,7.6001,0.0,594.0,387.36,0.0,27.8212
igq,7,path,,UNLABELED,85.18,455.82,90.69,448.67,5.51,7.15,39.3966,28.7443,21.8276,87.935,452.245,0.7706,16,1,0,1,rgb,207,207,207,0,none,,,,0.0,89.7935,2.3284,89.7586,7.1201,0.0,594.0,387.36,0.0,31.6294
igq,8,path,,UNLABELED,151.01,448.11,153.43,443.43,2.42,4.68,11.3256,11.2549,9.5013,152.22,445.77,0.5171,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,96.6735,3.9118,90.0,4.63,0.0,594.0,387.36,0.0,11.278
igq,9,path,,UNLABELED,198.84,443.16,208.35,437.62,9.51,5.54,52.6853,19.6561,25.0114,203.595,440.39,1.7166,21,1,0,1,rgb,207,207,207,0,none,,,,0.0,178.4979,3.2433,179.8193,9.51,0.0,594.0,387.36,0.0,33.8566
igq,10,path,,UNLABELED,156.91,419.92,199.07,417.48,42.16,2.44,102.8705,97.3786,46.7802,177.99,418.7,17.2787,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,179.8231,333.0256,179.8233,42.1602,0.0,594.0,387.36,0.0,97.3786
igq,11,path,,UNLABELED,254.8,345.55,265.4,340.01,10.6,5.54,58.724,27.8012,20.0131,260.1,342.78,1.9134,10,1,0,1,rgb,207,207,207,0,none,,,,0.0,165.2707,7.837,179.7088,7.8701,0.0,594.0,387.36,0.0,41.5013
igq,12,path,,UNLABELED,254.28,213.62,261.64,211.22,7.36,2.4,17.664,17.6519,17.11,257.96,212.42,3.0667,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,179.9858,9.3917,0.0,7.36,0.0,594.0,387.36,0.0,17.6519
igq,13,path,,UNLABELED,85.16,448.69,87.57,443.56,2.41,5.13,12.3633,12.2248,9.8801,86.365,446.125,0.4698,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,89.6799,4.5807,89.7753,5.1,0.0,594.0,387.36,0.0,12.2248
igq,14,path,,UNLABELED,156.11,453.21,198.57,450.81,42.46,2.4,101.9037,97.2211,47.0301,177.34,452.01,17.6917,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,179.8507,343.7162,179.8515,42.4501,0.0,594.0,387.36,0.0,97.2211
