airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
iln,0,path,,UNLABELED,75.13,303.46,122.65,236.76,47.52,66.7,3169.5829,240.5455,252.1118,98.89,270.11,0.7124,73,1,0,1,rgb,207,207,207,0,none,,,,0.0,59.3125,5.8949,52.7016,46.8013,0.0,594.0,387.36,0.0,1466.256
iln,1,path,,UNLABELED,321.16,345.95,327.96,338.75,6.8,7.2,48.9599,24.4603,15.739,324.56,342.35,0.9444,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,54.6501,1.7831,53.6495,5.7362,0.0,594.0,387.36,0.0,24.4603
iln,2,path,,UNLABELED,235.2,436.61,242.06,429.39,6.86,7.22,49.5292,24.5208,15.9674,238.63,433.0,0.9501,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,53.1812,1.9652,53.3639,5.882,0.0,594.0,387.36,0.0,24.5208
iln,3,path,,UNLABELED,31.85,188.14,52.63,162.61,20.78,25.53,530.5134,121.4998,61.8013,42.24,175.375,0.8139,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,52.8174,46.832,52.991,28.8401,0.0,594.0,387.36,0.0,121.4998
iln,4,path,,UNLABELED,161.23,136.18,168.12,128.99,6.89,7.19,49.5391,24.6317,15.7929,164.675,132.585,0.9583,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,52.7514,1.8312,52.696,5.8082,0.0,594.0,387.36,0.0,24.6317
iln,5,path,,UNLABELED,74.35,356.61,131.86,293.04,57.51,63.57,3655.9113,330.2995,167.4824,103.105,324.825,0.9047,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,132.1029,407.5885,132.0853,82.0457,0.0,594.0,387.36,0.0,330.2995
iln,6,path,,UNLABELED,243.91,328.18,247.89,325.05,3.98,3.13,12.4574,0.0,5.0633,245.9,326.615,1.2716,2,1,0,0,none,,,,1,rgb,207,207,207,0.39,141.8173,1000000.0,141.8173,5.0633,0.0,594.0,387.36,0.0,0.0
iln,7,compound,,UNLABELED,52.63,429.39,321.16,136.18,268.53,293.21,78735.6868,8180.1027,2173.1661,186.895,282.785,0.9158,831,7,0,1,rgb,207,207,207,0,none,,,,0.0,52.446,3.9092,52.6887,144.3383,0.0,594.0,387.36,0.0,34343.733
iln,8,path,,UNLABELED,256.05,347.56,292.85,311.3,36.8,36.26,1334.369,673.5828,112.9332,274.45,329.43,1.0149,28,1,0,1,rgb,207,207,207,0,none,,,,0.0,59.9587,3.2901,52.3652,25.3183,0.0,594.0,387.36,0.0,718.9499
iln,9,path,,UNLABELED,192.36,453.28,213.98,429.64,21.62,23.64,511.0967,511.0967,90.52,203.17,441.46,0.9146,5,1,0,0,none,,,,1,rgb,0,0,0,0.39,120.8901,1.4643,90.0,23.64,0.0,594.0,387.36,0.0,511.0967
iln,10,compound,,UNLABELED,315.81,401.41,318.96,396.56,3.15,4.85,15.2775,5.74,22.4364,317.385,398.985,0.6495,98,2,0,1,rgb,0,0,0,0,none,,,,0.0,89.996,2.6335,74.9837,0.4245,0.0,594.0,387.36,0.0,12.1865
iln,11,path,,UNLABELED,319.7,397.24,320.38,396.56,0.68,0.68,0.4624,0.353,2.1208,320.04,396.9,1.0,17,1,0,1,rgb,0,0,0,0,none,,,,0.0,89.4952,1.0976,12.0931,0.1432,0.0,594.0,387.36,0.0,0.353
