airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
jms,0,0,0,325.265,160.39,45.0732,5.5367
jms,0,0,1,327.31,154.445,135.1076,11.2925
jms,0,0,2,333.265,152.42,45.0732,5.5367
jms,1,0,0,58.17,425.6,45.1465,5.5296
jms,1,0,1,52.01,427.83,135.1364,11.8794
jms,1,0,2,49.755,433.98,45.0732,5.5366
jms,2,0,0,304.3,417.255,136.0658,17.1079
jms,2,0,1,311.005,410.5,123.6093,1.9692
jms,2,0,2,311.665,408.9,98.3874,1.5769
jms,2,0,3,311.6,407.335,77.0848,1.6107
jms,2,0,4,310.815,405.615,57.0949,2.2273
jms,2,0,5,263.44,338.4,54.7916,162.2402
jms,2,0,6,217.91,270.885,135.1162,3.5002
jms,2,0,7,265.935,336.89,55.1701,163.8298
jms,2,0,8,313.2,404.935,59.1929,1.8745
jms,2,0,9,313.915,406.53,73.4339,1.6484
jms,2,0,10,314.15,408.285,90.0,1.93
jms,2,0,11,313.82,410.095,111.3323,1.8143
jms,2,0,12,313.105,411.68,117.4873,1.6683
jms,2,0,13,311.885,413.285,133.9885,2.4045
jms,2,0,14,309.765,415.5,133.587,3.7276
jms,2,0,15,307.035,418.26,135.7023,4.0379
jms,2,0,16,302.86,422.44,134.5834,7.7784
jms,3,0,0,51.435,418.855,45.0,13.534
jms,3,0,1,46.065,413.41,48.4473,1.7639
jms,3,0,2,44.8,411.815,53.9725,2.3122
jms,3,0,3,43.72,409.835,69.0544,2.2379
jms,3,0,4,43.21,407.67,84.3908,2.2508
jms,3,0,5,43.265,405.67,100.6195,1.7907
jms,3,0,6,44.015,403.67,117.5792,2.5271
jms,3,0,7,92.055,335.665,125.3558,164.0193
jms,3,0,8,140.45,269.735,45.4533,2.68
jms,3,0,9,122.785,296.765,125.5086,64.0641
jms,3,0,10,104.05,323.515,100.9015,1.3748
jms,3,0,11,103.985,325.025,85.5487,1.6751
jms,3,0,12,104.34,326.37,60.3759,1.1734
jms,3,0,13,114.555,336.85,45.1296,28.1359
jms,3,0,14,125.44,347.845,46.8758,2.8087
jms,3,0,15,126.98,349.255,33.5756,1.3923
jms,3,0,16,128.2,349.705,5.7994,1.2866
jms,3,0,17,129.385,349.805,3.6741,1.0922
jms,3,0,18,130.24,349.84,0.0,0.62
jms,3,0,19,127.685,352.68,135.2511,8.0682
jms,3,0,20,124.96,355.11,108.8529,0.8665
jms,3,0,21,125.115,354.14,91.5347,1.1204
jms,3,0,22,125.09,353.115,85.0833,0.9334
jms,3,0,23,124.99,352.07,84.0937,1.1662
jms,3,0,24,124.55,350.725,63.5849,1.7084
jms,3,0,25,114.115,339.64,45.7452,28.817
jms,3,0,26,103.515,329.0,30.419,1.264
jms,3,0,27,102.49,328.485,22.1102,1.0362
jms,3,0,28,101.655,328.32,175.1698,0.7125
jms,3,0,29,100.885,328.415,171.098,0.8401
jms,3,0,30,100.115,328.64,155.7382,0.7788
jms,3,0,31,73.045,366.33,125.4444,92.1345
jms,3,0,32,45.88,404.635,120.1414,1.7923
jms,3,0,33,45.335,406.05,98.4431,1.294
jms,3,0,34,45.24,407.395,90.0,1.41
jms,3,0,35,45.4,408.84,77.7995,1.5142
jms,3,0,36,45.88,410.125,59.5804,1.264
jms,3,0,37,52.02,416.355,44.3277,16.2716
jms,4,0,0,137.5,202.45,91.6363,1.4006
jms,4,0,1,135.71,199.705,48.4884,5.4619
jms,4,0,2,133.87,197.03,87.2738,1.2614
jms,4,0,3,133.965,196.09,111.9607,0.6685
jms,4,0,4,139.01,190.88,135.1166,13.8876
jms,4,0,5,147.215,189.275,45.0872,9.3056
jms,4,0,6,145.46,197.52,135.5162,14.1286
jms,5,0,0,175.045,249.8,7.4908,2.9149
jms,5,0,1,172.155,249.29,12.4865,2.96
jms,5,0,2,168.85,248.42,16.473,3.8792
jms,5,0,3,165.74,247.325,23.5571,2.7273
jms,5,0,4,162.885,245.885,29.1455,3.6754
jms,5,0,5,160.99,244.815,31.1098,0.6774
jms,5,0,6,153.03,255.01,126.4879,25.7966
jms,5,0,7,145.285,265.635,106.3895,0.5316
jms,5,0,8,145.175,266.385,94.0448,0.9925
jms,5,0,9,145.18,267.675,87.1196,1.592
jms,5,0,10,143.305,266.535,45.2979,5.4448
jms,5,0,11,141.54,264.455,135.972,0.4172
jms,5,0,12,142.075,264.185,162.0128,0.8096
jms,5,0,13,142.97,263.58,136.7352,1.4007
jms,5,0,14,150.825,253.07,126.2154,24.8636
jms,5,0,15,156.545,241.475,43.9222,4.5121
jms,5,0,16,149.055,234.035,45.0488,16.6029
jms,5,0,17,121.645,206.21,45.5335,61.5139
jms,5,0,18,99.63,183.79,44.9991,1.3293
jms,5,0,19,98.685,182.99,34.7906,1.1568
jms,5,0,20,97.86,182.51,23.1976,0.7616
jms,5,0,21,96.815,182.235,10.196,1.4123
jms,5,0,22,94.96,182.11,0.0,2.32
jms,5,0,23,86.28,182.0,0.838,15.0416
jms,5,0,24,77.895,182.015,171.7772,1.748
jms,5,0,25,76.515,182.27,165.8324,1.0623
jms,5,0,26,75.455,182.755,146.9211,1.3008
jms,5,0,27,71.38,186.65,134.9189,9.9985
jms,5,0,28,67.0,189.335,45.1684,2.4113
jms,5,0,29,68.505,186.21,136.053,6.5418
jms,5,0,30,71.665,183.135,134.9997,2.2769
jms,5,0,31,73.4,181.465,137.0736,2.5402
jms,5,0,32,74.875,180.215,144.7623,1.3345
jms,5,0,33,76.605,179.635,170.6557,2.4019
jms,5,0,34,86.78,179.44,0.0,17.98
jms,5,0,35,96.6,179.475,2.4139,1.6615
jms,5,0,36,98.525,179.86,17.726,2.2992
jms,5,0,37,100.39,180.95,43.862,2.1359
jms,5,0,38,114.695,195.42,45.4098,38.5595
jms,5,0,39,128.63,209.27,16.6988,0.8352
jms,5,0,40,129.455,209.48,11.958,0.8689
jms,5,0,41,130.19,209.57,0.0,0.62
jms,5,0,42,130.885,209.405,156.8005,0.8377
jms,5,0,43,134.365,206.185,135.3727,8.6976
jms,5,0,44,137.47,203.14,44.9781,0.0283
jms,5,0,45,138.95,202.81,166.9771,3.0176
jms,5,0,46,140.445,202.45,141.3274,0.064
jms,5,0,47,143.85,205.86,45.4206,9.6311
jms,5,0,48,147.755,208.77,135.2744,1.4778
jms,5,0,49,149.425,207.12,135.3778,3.2174
jms,5,0,50,151.44,205.125,135.1648,2.4537
jms,5,0,51,154.32,202.315,135.9417,5.594
jms,5,0,52,156.31,200.35,45.0109,0.0566
jms,5,0,53,159.43,197.225,135.3211,8.8319
jms,5,0,54,164.055,195.595,44.8065,4.1861
jms,5,0,55,164.53,198.08,135.0002,2.8567
jms,5,0,56,163.295,199.32,134.3707,0.6435
jms,5,0,57,162.235,200.385,134.9997,2.3617
jms,5,0,58,161.055,201.57,134.5887,0.9829
jms,5,0,59,160.675,201.885,45.0,0.099
jms,5,0,60,155.455,207.135,134.4527,14.8075
jms,5,0,61,151.105,213.235,44.3057,2.3336
jms,5,0,62,157.125,208.765,134.4527,14.8075
jms,5,0,63,162.21,203.385,43.532,0.2759
jms,5,0,64,162.445,202.93,132.941,0.9835
jms,5,0,65,163.845,203.865,50.5659,3.3533
jms,5,0,66,164.525,206.015,114.2415,1.8754
jms,5,0,67,161.985,208.935,136.2217,5.9693
jms,5,0,68,161.455,212.695,46.2077,4.6962
jms,5,0,69,165.235,212.32,136.1526,5.9762
jms,5,0,70,168.55,209.215,138.2593,3.1092
jms,5,0,71,171.05,209.985,53.4104,4.496
jms,5,0,72,169.265,214.715,136.8934,8.5607
jms,5,0,73,166.54,218.615,67.6938,2.1077
jms,5,0,74,165.655,220.835,135.9058,3.5784
jms,5,0,75,164.75,222.475,46.1093,1.0962
jms,5,0,76,163.91,224.02,136.692,3.3531
jms,5,0,77,164.045,226.675,48.0023,4.0502
jms,5,0,78,166.495,229.335,46.5275,3.1831
jms,5,0,79,168.325,231.195,43.8066,2.0369
jms,5,0,80,169.51,232.095,23.428,0.9809
jms,5,0,81,170.285,232.29,0.0,0.65
jms,5,0,82,170.745,232.29,0.0,0.27
jms,5,0,83,170.88,233.05,90.0,1.52
jms,5,0,84,172.635,233.81,0.0,3.51
jms,5,0,85,174.39,232.665,90.0,2.29
jms,5,0,86,174.53,231.49,167.9057,0.2864
jms,5,0,87,175.785,231.625,8.4173,2.2543
jms,5,0,88,177.195,231.785,179.031,0.5901
jms,5,0,89,178.98,231.76,179.2308,2.9803
jms,5,0,90,180.52,235.94,89.3179,8.4006
jms,5,0,91,180.57,240.91,90.0,1.54
jms,5,0,92,182.22,244.265,57.4499,6.1334
jms,5,0,93,184.795,246.975,7.6961,1.8668
jms,5,0,94,186.91,246.875,169.2936,2.4222
jms,5,0,95,189.705,246.135,162.21,3.3712
jms,5,0,96,192.4,245.14,156.2332,2.382
jms,5,0,97,194.805,243.92,150.6318,3.0178
jms,5,0,98,197.145,242.41,143.0853,2.564
jms,5,0,99,199.165,240.675,135.8769,2.7722
jms,5,0,100,201.27,238.61,135.2591,3.1255
jms,5,0,101,202.37,237.2,88.152,0.6203
jms,5,0,102,202.335,236.62,84.7097,0.5423
jms,5,0,103,202.285,236.19,81.1208,0.3239
jms,5,0,104,199.455,233.345,43.7478,7.7659
jms,5,0,105,195.65,230.295,20.0524,2.1291
jms,5,0,106,193.45,228.62,47.5092,3.5531
jms,5,0,107,194.385,225.145,134.6002,6.0813
jms,5,0,108,197.84,224.275,44.4522,3.6983
jms,5,0,109,198.125,226.655,133.6486,2.999
jms,5,0,110,197.03,228.045,101.1304,0.6217
jms,5,0,111,196.955,228.605,93.3663,0.5109
jms,5,0,112,197.075,229.105,61.1435,0.5595
jms,5,0,113,200.15,232.255,44.657,8.2662
jms,5,0,114,203.37,235.305,27.376,0.6306
jms,5,0,115,203.885,235.45,0.0,0.47
jms,5,0,116,208.84,230.93,136.24,13.0704
jms,5,0,117,213.725,225.69,102.908,1.4773
jms,5,0,118,213.855,224.52,85.5523,0.9027
jms,5,0,119,213.42,223.56,51.892,1.2963
jms,5,0,120,212.62,222.555,51.0586,1.2728
jms,5,0,121,211.74,221.695,37.2506,1.206
jms,5,0,122,210.895,221.295,5.4779,0.7334
jms,5,0,123,210.055,221.275,178.1913,0.9505
jms,5,0,124,209.065,221.695,141.8183,1.3103
jms,5,0,125,205.725,219.165,46.0941,8.1473
jms,5,0,126,203.87,215.285,135.7482,2.7084
jms,5,0,127,204.865,214.365,45.0,0.0707
jms,5,0,128,206.325,212.935,134.6036,4.0872
jms,5,0,129,208.02,211.23,136.1227,0.7214
jms,5,0,130,208.31,211.005,39.8099,0.0781
jms,5,0,131,209.77,209.58,134.6022,4.073
jms,5,0,132,211.195,208.13,0.0,0.01
jms,5,0,133,213.675,205.705,135.7001,6.9443
jms,5,0,134,217.75,201.725,135.6374,4.448
jms,5,0,135,220.475,199.06,135.638,3.1751
jms,5,0,136,221.615,197.955,45.0,0.0142
jms,5,0,137,223.45,196.165,135.5531,5.1268
jms,5,0,138,226.455,193.22,135.6163,3.2882
jms,5,0,139,230.325,194.83,45.6826,7.7151
jms,5,0,140,229.6,201.07,134.5018,9.7584
