airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
jqf,0,path,,UNLABELED,158.77,304.48,165.61,283.94,6.84,20.54,140.4936,64.0166,43.564,162.19,294.21,0.333,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,79.3641,40.6708,79.3595,20.3092,0.0,594.0,387.36,0.0,64.0166
jqf,1,path,,UNLABELED,119.14,237.76,140.25,226.44,21.11,11.32,238.9654,155.4406,47.7845,129.695,232.1,1.8648,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,169.2574,6.7789,169.8964,20.122,0.0,594.0,387.36,0.0,155.4406
jqf,2,path,,UNLABELED,122.67,257.79,144.0,246.76,21.33,11.03,235.2699,147.1933,47.8731,133.335,252.275,1.9338,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,168.8451,7.9033,169.0095,20.4042,0.0,594.0,387.36,0.0,147.1933
jqf,3,path,,UNLABELED,142.12,251.23,152.93,247.41,10.81,3.82,41.2943,19.1639,23.261,147.525,249.32,2.8298,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,168.8975,35.9322,168.7634,10.7256,0.0,594.0,387.36,0.0,19.1639
jqf,4,path,,UNLABELED,136.91,148.03,139.14,145.82,2.23,2.21,4.9283,3.7361,5.8424,138.025,146.925,1.0091,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,31.5752,1.0172,79.4874,1.9731,0.0,594.0,387.36,0.0,3.7361
jqf,5,path,,UNLABELED,126.49,306.14,160.86,266.36,34.37,39.78,1367.2387,993.2728,140.9793,143.675,286.25,0.864,19,1,0,1,rgb,207,207,207,0,none,,,,0.0,93.7215,1.648,79.3986,30.9279,0.0,594.0,387.36,0.0,1023.9375
jqf,6,path,,UNLABELED,132.16,284.81,170.34,146.32,38.18,138.49,5287.5468,1677.8923,288.5524,151.25,215.565,0.2757,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,79.3505,106.3904,78.8705,138.2194,0.0,594.0,387.36,0.0,1726.4422
jqf,7,path,,UNLABELED,160.28,301.81,162.01,299.51,1.73,2.3,3.979,2.742,5.4527,161.145,300.66,0.7522,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,78.1821,2.3969,77.9825,2.0653,0.0,594.0,387.36,0.0,2.742
jqf,8,path,,UNLABELED,158.7,295.47,160.93,290.72,2.23,4.75,10.5925,6.3621,10.4945,159.815,293.095,0.4695,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,79.1867,10.5619,79.1097,4.552,0.0,594.0,387.36,0.0,6.3621
jqf,9,path,,UNLABELED,157.04,285.6,159.2,282.14,2.16,3.46,7.4735,5.0096,8.0879,158.12,283.87,0.6243,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,77.9843,4.5886,78.6902,3.3144,0.0,594.0,387.36,0.0,5.0096
jqf,10,path,,UNLABELED,155.81,278.11,157.69,275.01,1.88,3.1,5.828,4.0578,7.2372,156.75,276.56,0.6064,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,79.6913,4.4451,79.9581,2.9248,0.0,594.0,387.36,0.0,4.0578
jqf,11,path,,UNLABELED,154.09,270.47,156.54,266.22,2.45,4.25,10.4125,6.6006,9.576,155.315,268.345,0.5765,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,78.0561,5.7422,77.3931,3.9861,0.0,594.0,387.36,0.0,6.6006
jqf,12,path,,UNLABELED,153.0,264.42,155.45,260.24,2.45,4.18,10.241,6.5425,9.6406,154.225,262.33,0.5861,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,77.563,5.8471,77.3934,3.9861,0.0,594.0,387.36,0.0,6.5425
jqf,13,path,,UNLABELED,151.78,257.86,154.16,253.61,2.38,4.25,10.115,6.4518,9.5613,152.97,255.735,0.56,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,78.7002,5.9712,78.3788,3.9714,0.0,594.0,387.36,0.0,6.4518
jqf,14,path,,UNLABELED,149.11,244.31,151.49,240.06,2.38,4.25,10.115,6.4519,9.5711,150.3,242.185,0.56,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,78.7,5.9711,78.3788,3.9714,0.0,594.0,387.36,0.0,6.4519
