airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
jrf,0,path,,UNLABELED,166.64,283.31,189.8,251.77,23.16,31.54,730.4662,98.0567,75.8478,178.22,267.54,0.7343,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,124.3652,182.9199,125.0138,36.6172,0.0,594.0,387.36,0.0,98.3192
jrf,1,path,,UNLABELED,145.96,312.76,163.81,288.83,17.85,23.93,427.1502,72.7814,60.0016,154.885,300.795,0.7459,6,1,0,1,rgb,207,207,207,0,none,,,,0.0,123.1921,107.9189,124.9249,27.2837,0.0,594.0,387.36,0.0,72.8069
jrf,2,path,,UNLABELED,148.03,324.44,155.83,317.26,7.8,7.18,56.004,23.3572,21.7137,151.93,320.85,1.0864,14,1,0,1,rgb,207,207,207,0,none,,,,0.0,1.3959,1.1068,35.4517,5.4137,0.0,594.0,387.36,0.0,27.89
jrf,3,path,,UNLABELED,236.65,262.76,242.4,253.71,5.75,9.05,52.0374,21.8503,14.5545,239.525,258.235,0.6354,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,64.8749,9.0614,62.8801,8.7747,0.0,594.0,387.36,0.0,21.8503
jrf,4,path,,UNLABELED,216.99,226.67,223.47,217.8,6.48,8.87,57.4777,21.6458,21.1318,220.23,222.235,0.7306,17,1,0,1,rgb,207,207,207,0,none,,,,0.0,43.2505,6.6717,61.3558,5.4238,0.0,594.0,387.36,0.0,25.2128
jrf,5,path,,UNLABELED,175.3,233.26,177.27,230.57,1.97,2.69,5.2993,1.6003,3.9619,176.285,231.915,0.7323,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,58.3328,24.8335,58.4454,2.8282,0.0,594.0,387.36,0.0,1.6003
jrf,6,path,,UNLABELED,187.6,253.32,197.76,240.48,10.16,12.84,130.4544,71.337,38.8305,192.68,246.9,0.7913,88,1,0,1,rgb,207,207,207,0,none,,,,0.0,100.934,2.1879,122.6681,3.5756,0.0,594.0,387.36,0.0,99.5689
jrf,7,path,,UNLABELED,268.79,327.66,277.24,317.92,8.45,9.74,82.3027,40.7132,19.4853,273.015,322.79,0.8676,44,1,0,1,rgb,207,207,207,0,none,,,,0.0,62.5092,4.3809,62.1138,2.7153,0.0,594.0,387.36,0.0,48.6616
jrf,8,path,,UNLABELED,239.57,205.2,254.29,189.9,14.72,15.3,225.2158,113.155,41.7556,246.93,197.55,0.9621,51,1,0,1,rgb,207,207,207,0,none,,,,0.0,132.9669,2.9079,124.8276,13.1323,0.0,594.0,387.36,0.0,134.7833
jrf,9,path,,UNLABELED,247.9,193.32,302.04,118.99,54.14,74.33,4024.2271,550.083,178.5363,274.97,156.155,0.7284,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,125.3402,175.695,125.0375,85.6278,0.0,594.0,387.36,0.0,554.2707
