airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
jvl,0,path,,UNLABELED,230.07,365.91,240.11,358.76,10.04,7.15,71.7859,45.112,34.278,235.09,362.335,1.4042,30,1,0,1,rgb,207,207,207,0,none,,,,0.0,156.3762,2.3266,92.0952,6.5644,0.0,594.0,387.36,0.0,59.0604
jvl,1,path,,UNLABELED,232.02,379.49,239.85,371.95,7.83,7.54,59.0383,23.53,28.6531,235.935,375.72,1.0385,25,1,0,1,rgb,207,207,207,0,none,,,,0.0,106.2174,1.1059,179.6864,5.4801,0.0,594.0,387.36,0.0,39.5547
jvl,2,path,,UNLABELED,232.72,359.93,240.13,353.82,7.41,6.11,45.2751,39.4789,21.1408,236.425,356.875,1.2128,8,1,0,1,rgb,207,207,207,0,none,,,,0.0,4.1188,1.2344,90.1876,6.11,0.0,594.0,387.36,0.0,40.1544
jvl,3,path,,UNLABELED,232.02,348.5,240.35,343.1,8.33,5.4,44.9819,36.3859,21.8948,236.185,345.8,1.5426,8,1,0,1,rgb,207,207,207,0,none,,,,0.0,11.7401,2.4374,0.2169,5.28,0.0,594.0,387.36,0.0,38.0442
jvl,4,path,,UNLABELED,156.63,175.19,192.04,147.18,35.41,28.01,991.833,202.4796,229.8832,174.335,161.185,1.2642,61,1,0,1,rgb,207,207,207,0,none,,,,0.0,11.9098,2.348,138.4875,21.6209,0.0,594.0,387.36,0.0,562.2037
jvl,5,path,,UNLABELED,184.42,210.78,216.81,175.8,32.39,34.98,1133.0025,333.7586,179.671,200.615,193.29,0.926,44,1,0,1,rgb,207,207,207,0,none,,,,0.0,39.8008,4.8471,138.6425,14.1353,0.0,594.0,387.36,0.0,491.5158
jvl,6,path,,UNLABELED,222.71,211.46,243.65,181.24,20.94,30.22,632.8069,237.1917,110.4134,233.18,196.35,0.6929,60,1,0,1,rgb,207,207,207,0,none,,,,0.0,126.804,2.7951,90.8519,10.7612,0.0,594.0,387.36,0.0,406.2954
jvl,7,path,,UNLABELED,169.59,242.49,232.76,175.19,63.17,67.3,4251.342,678.9483,204.6833,201.175,208.84,0.9386,86,1,0,1,rgb,207,207,207,0,none,,,,0.0,54.5388,41.9344,48.1743,12.3863,0.0,594.0,387.36,0.0,1157.8207
jvl,8,path,,UNLABELED,300.23,333.53,323.16,310.84,22.93,22.69,520.2816,308.9411,81.8353,311.695,322.185,1.0106,31,1,0,1,rgb,207,207,207,0,none,,,,0.0,89.9521,1.4654,90.5402,12.7305,0.0,594.0,387.36,0.0,375.9246
jvl,9,path,,UNLABELED,310.38,293.62,332.62,282.81,22.24,10.81,240.4142,233.1547,56.6203,321.5,288.215,2.0574,13,1,0,1,rgb,207,207,207,0,none,,,,0.0,177.5246,3.0697,90.1064,10.76,0.0,594.0,387.36,0.0,236.4189
