airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
koa,0,path,,UNLABELED,233.22,470.47,257.92,464.79,24.7,5.68,140.2961,70.6791,57.6858,245.57,467.63,4.3486,8,1,0,1,rgb,207,207,207,0,none,,,,0.0,175.7715,30.6452,176.3094,22.8374,0.0,594.0,387.36,0.0,97.3167
koa,1,compound,,UNLABELED,239.27,162.96,268.65,140.77,29.38,22.19,651.942,495.4236,153.2696,253.96,151.865,1.324,23,3,0,1,rgb,207,207,207,0,none,,,,0.0,143.2065,1.9403,175.2062,25.2483,0.0,594.0,387.36,0.0,564.6552
koa,2,path,,UNLABELED,213.56,309.71,223.16,233.6,9.6,76.11,730.6552,229.1243,163.1826,218.36,271.655,0.1261,11,1,0,1,rgb,207,207,207,0,none,,,,0.0,84.9938,992.4475,85.0887,76.3905,0.0,594.0,387.36,0.0,238.8575
koa,3,path,,UNLABELED,220.72,322.82,251.13,163.43,30.41,159.39,4847.0485,2040.1472,444.1506,235.925,243.125,0.1908,100,1,0,1,rgb,207,207,207,0,none,,,,0.0,85.7279,51.964,84.9731,75.5506,0.0,594.0,387.36,0.0,3184.8725
koa,4,path,,UNLABELED,207.14,340.87,237.56,108.06,30.42,232.81,7082.0792,2031.4455,578.4891,222.35,224.465,0.1307,53,1,0,1,rgb,207,207,207,0,none,,,,0.0,90.9006,93.2106,84.977,77.7787,0.0,594.0,387.36,0.0,4597.349
koa,5,path,,UNLABELED,175.42,177.65,200.14,134.02,24.72,43.63,1078.5338,238.6959,106.9448,187.78,155.835,0.5666,22,1,0,1,rgb,207,207,207,0,none,,,,0.0,122.594,6.0272,85.2936,24.1314,0.0,594.0,387.36,0.0,528.9558
koa,6,path,,UNLABELED,225.19,369.52,240.91,360.41,15.72,9.11,143.2092,103.8377,50.1397,233.05,364.965,1.7256,13,1,0,1,rgb,207,207,207,0,none,,,,0.0,1.785,2.637,176.0321,10.4049,0.0,594.0,387.36,0.0,121.891
koa,7,path,,UNLABELED,161.51,520.68,235.95,86.53,74.44,434.15,32318.1266,3141.6265,1058.3227,198.73,303.605,0.1715,68,1,0,1,rgb,207,207,207,0,none,,,,0.0,84.6185,132.8908,85.5658,129.9891,0.0,594.0,387.36,0.0,15442.5436
koa,8,path,,UNLABELED,203.82,120.07,207.63,110.08,3.81,9.99,38.0618,26.5794,22.599,205.725,115.075,0.3814,7,1,0,1,rgb,207,207,207,0,none,,,,0.0,87.922,8.5744,85.1925,9.7844,0.0,594.0,387.36,0.0,29.0934
koa,9,path,,UNLABELED,205.7,142.79,209.56,134.26,3.86,8.53,32.9258,16.2996,13.6585,207.63,138.525,0.4525,11,1,0,1,rgb,207,207,207,0,none,,,,0.0,83.2685,6.855,83.6598,5.071,0.0,594.0,387.36,0.0,20.9563
