airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
ktn,0,path,,UNLABELED,349.36,116.7,364.78,100.85,15.42,15.85,244.4073,112.8509,36.1773,357.07,108.775,0.9729,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,133.5832,3.1194,134.2051,14.2708,0.0,594.0,387.36,0.0,112.8509
ktn,1,path,,UNLABELED,53.46,434.59,356.27,131.26,302.81,303.33,91851.3571,4377.1845,1252.2762,204.865,282.925,0.9983,280,1,0,1,rgb,207,207,207,0,none,,,,0.0,135.0534,80.6507,135.7945,184.0847,0.0,594.0,387.36,0.0,16418.6388
ktn,2,path,,UNLABELED,26.11,446.57,53.5,418.62,27.39,27.95,765.5505,251.4579,47.289,39.805,432.595,0.98,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,134.1323,14.6639,134.0745,31.0814,0.0,594.0,387.36,0.0,251.4579
ktn,3,path,,UNLABELED,308.28,208.21,347.05,167.72,38.77,40.49,1569.7965,775.0762,123.4267,327.665,187.965,0.9575,19,1,0,1,rgb,207,207,207,0,none,,,,0.0,146.1138,5.0107,132.4013,38.0532,0.0,594.0,387.36,0.0,826.183
ktn,4,path,,UNLABELED,54.66,428.85,60.48,423.46,5.82,5.39,31.3698,12.9495,13.7017,57.57,426.155,1.0798,3,1,0,1,rgb,207,207,207,0,none,,,,0.0,38.5351,4.3713,43.7016,7.8014,0.0,594.0,387.36,0.0,12.9495
ktn,5,path,,UNLABELED,170.59,256.06,189.18,232.85,18.59,23.21,431.4737,431.4737,83.6,179.885,244.455,0.8009,5,1,0,0,none,,,,1,rgb,0,0,0,0.39,108.3386,1.7484,90.0,23.21,0.0,594.0,387.36,0.0,431.4737
ktn,6,compound,,UNLABELED,250.08,418.27,253.23,413.42,3.15,4.85,15.2776,5.734,22.4428,251.655,415.845,0.6495,98,2,0,1,rgb,0,0,0,0,none,,,,0.0,89.995,2.6339,105.0183,0.4245,0.0,594.0,387.36,0.0,12.1874
ktn,7,path,,UNLABELED,253.96,414.1,254.64,413.42,0.68,0.68,0.4624,0.353,2.1208,254.3,413.76,1.0,17,1,0,1,rgb,0,0,0,0,none,,,,0.0,90.0,1.1404,102.0943,0.1432,0.0,594.0,387.36,0.0,0.353
ktn,8,path,,UNLABELED,255.51,418.27,258.46,413.5,2.95,4.77,14.0714,5.2148,20.7358,256.985,415.885,0.6184,47,1,0,1,rgb,0,0,0,0,none,,,,0.0,100.82,1.9529,51.1736,3.2219,0.0,594.0,387.36,0.0,13.0087
ktn,9,compound,,UNLABELED,259.04,418.11,261.11,416.03,2.07,2.08,4.3056,2.4072,10.0166,260.075,417.07,0.9952,34,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.0771,1.1194,10.7842,0.4276,0.0,594.0,387.36,0.0,3.3567
