airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
lar,0,0,0,252.005,303.045,40.9166,0.1985
lar,0,0,1,251.865,302.915,45.0,0.1839
lar,0,0,2,251.795,302.835,71.5738,0.0316
lar,0,0,3,251.935,302.965,45.0015,0.4101
lar,1,0,0,252.865,303.555,29.5483,1.8047
lar,1,0,1,254.605,304.14,8.34,1.9304
lar,1,0,2,256.49,304.055,166.3992,1.9137
lar,1,0,3,257.815,303.605,150.3319,0.9092
lar,1,0,4,258.545,303.105,140.6188,0.8668
lar,1,0,5,258.865,302.825,18.4524,0.0316
lar,1,0,6,282.595,279.295,135.2667,66.8506
lar,1,0,7,306.345,255.76,116.6,0.0224
lar,1,0,8,306.89,254.965,124.5236,1.9056
lar,1,0,9,307.64,253.165,101.6897,2.073
lar,1,0,10,307.63,251.135,77.7703,2.0771
lar,1,0,11,306.865,249.335,55.2292,1.9113
lar,1,0,12,306.33,248.56,45.0,0.0283
lar,1,0,13,304.86,247.125,44.3144,4.1369
lar,1,0,14,303.375,245.685,135.0,0.0142
lar,1,0,15,302.59,245.175,33.4358,1.8694
lar,1,0,16,300.825,244.46,11.4774,2.0102
lar,1,0,17,298.85,244.465,168.301,2.022
lar,1,0,18,297.085,245.195,145.8856,1.8721
lar,1,0,19,296.315,245.7,104.0568,0.0412
lar,1,0,20,301.245,240.865,135.6471,13.7753
lar,1,0,21,305.76,236.775,119.4889,1.6658
lar,1,0,22,305.2,238.37,99.783,1.7657
lar,1,0,23,305.265,240.255,78.0396,2.075
lar,1,0,24,306.03,242.055,54.9835,1.917
lar,1,0,25,306.57,242.855,123.717,0.0361
lar,1,0,26,308.035,244.275,43.6075,4.0741
lar,1,0,27,309.505,245.68,0.0,0.01
lar,1,0,28,309.67,245.825,40.4604,0.4469
lar,1,0,29,310.025,246.11,37.1201,0.464
lar,1,0,30,310.635,246.48,28.4206,0.9665
lar,1,0,31,312.05,246.905,11.1424,2.0181
lar,1,0,32,314.025,246.895,168.2441,2.0122
lar,1,0,33,315.785,246.165,145.8849,1.8722
lar,1,0,34,316.565,245.66,75.9535,0.0412
lar,1,0,35,337.54,224.82,135.1507,59.1568
