airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
lck,0,0,0,40.055,216.785,133.4838,4.81
lck,0,0,1,44.985,211.725,134.6522,9.3198
lck,0,0,2,51.585,205.095,135.0863,9.3904
lck,0,0,3,55.985,200.69,134.6031,3.0618
lck,0,0,4,56.385,198.925,45.0001,1.9092
lck,0,0,5,55.285,197.89,40.2667,1.114
lck,0,0,6,54.45,197.285,30.8604,0.9552
lck,0,0,7,53.505,196.82,22.3533,1.1569
lck,0,0,8,52.385,196.51,8.7473,1.1838
lck,0,0,9,51.165,196.44,178.1956,1.2706
lck,0,0,10,49.92,196.59,167.969,1.2474
lck,0,0,11,48.8,196.95,155.726,1.1189
lck,0,0,12,47.51,197.83,140.194,2.0307
lck,0,0,13,44.84,200.44,133.9585,5.4456
lck,0,0,14,40.22,205.15,134.7909,7.7499
lck,0,0,15,35.62,209.775,134.9235,5.2962
lck,0,0,16,32.125,213.265,135.1767,4.5821
lck,0,0,17,31.82,216.21,45.2163,3.7477
lck,0,0,18,33.775,216.855,132.8309,1.8681
lck,0,0,19,34.585,216.015,138.4658,0.4676
lck,0,0,20,34.925,215.835,171.3864,0.3338
lck,0,0,21,35.34,215.8,177.7106,0.5004
lck,0,0,22,35.805,215.84,13.0888,0.4415
lck,0,0,23,36.13,216.05,55.4919,0.3883
lck,0,0,24,36.34,216.405,62.8511,0.4383
lck,0,0,25,36.535,216.695,45.0006,0.2687
lck,0,0,26,37.515,217.66,44.5101,2.482
lck,1,0,0,63.195,205.63,44.7838,13.1169
lck,1,0,1,57.8,200.305,43.6126,2.0441
lck,1,0,2,55.985,200.69,134.6031,3.0618
lck,1,0,3,55.34,201.75,176.0092,0.8621
lck,1,0,4,56.095,201.77,8.7467,0.6576
lck,1,0,5,56.65,201.945,28.5232,0.5235
lck,1,0,6,57.075,202.265,44.9989,0.5515
lck,1,0,7,61.675,206.795,44.5411,12.3606
lck,1,0,8,76.665,221.585,44.646,29.7556
lck,1,0,9,87.9,231.39,134.9997,1.8385
lck,1,0,10,84.3,226.55,44.5927,11.9363
lck,2,0,0,96.82,242.745,101.8888,0.5825
lck,2,0,1,96.88,242.255,90.0,0.41
lck,2,0,2,96.795,241.865,65.3221,0.4072
lck,2,0,3,96.56,241.415,60.4888,0.609
lck,2,0,4,93.565,238.33,44.7471,8.0116
lck,2,0,5,89.79,234.585,44.8456,2.6234
lck,2,0,6,88.055,232.85,45.1773,2.284
lck,2,0,7,76.665,221.585,44.646,29.7556
lck,2,0,8,64.68,212.55,134.5937,3.9882
lck,2,0,9,67.26,217.925,44.8195,11.2218
lck,2,0,10,75.84,226.475,44.9689,13.0037
lck,2,0,11,82.035,232.66,44.91,4.5043
lck,2,0,12,88.27,238.86,44.8142,13.0815
lck,2,0,13,93.295,243.085,135.0003,1.0889
lck,2,0,14,94.615,243.605,44.0658,2.6025
lck,2,0,15,95.92,244.135,134.6154,1.0536
lck,2,0,16,96.455,243.56,129.5211,0.5186
lck,3,0,0,83.505,258.29,136.5497,0.2617
lck,3,0,1,83.275,257.85,47.1215,0.9553
lck,3,0,2,83.305,257.135,134.205,1.0183
lck,3,0,3,86.595,253.74,134.0875,8.4369
lck,3,0,4,92.54,247.61,134.1562,8.6418
lck,3,0,5,94.615,243.605,44.0659,2.6025
lck,3,0,6,93.295,243.085,135.0006,1.0889
lck,3,0,7,88.27,238.86,44.8142,13.0815
lck,3,0,8,82.035,232.66,44.91,4.5043
lck,3,0,9,75.84,226.475,44.9689,13.0037
lck,3,0,10,63.975,229.19,134.8231,20.6123
lck,3,0,11,58.045,237.83,44.8925,3.7689
lck,3,0,12,62.54,242.305,44.8637,8.9166
lck,3,0,13,68.795,248.52,44.7676,8.7187
lck,3,0,14,75.65,255.28,44.4617,10.5364
lck,3,0,15,80.045,258.34,135.2262,1.789
lck,3,0,16,81.525,258.515,43.6115,2.3342
lck,4,0,0,89.38,231.565,44.8267,2.3405
lck,4,0,1,87.9,231.39,135.0002,1.8385
lck,4,0,2,88.055,232.85,45.1773,2.284
lck,5,0,0,91.11,233.3,45.3166,2.5598
lck,5,0,1,89.535,233.025,136.7485,1.8535
lck,5,0,2,89.79,234.585,44.8452,2.6234
lck,6,0,0,111.01,214.935,44.7534,4.9286
lck,6,0,1,107.54,214.915,135.0835,4.8578
lck,6,0,2,107.545,218.36,45.0831,4.8861
lck,6,0,3,110.145,219.22,135.1638,2.4678
lck,7,0,0,112.675,259.65,135.3169,1.2799
lck,7,0,1,113.305,259.03,135.8305,0.488
lck,7,0,2,113.535,258.75,116.5651,0.246
lck,7,0,3,113.585,258.51,87.797,0.2602
lck,7,0,4,113.54,258.25,72.8975,0.272
lck,7,0,5,113.455,258.03,63.4349,0.2012
lck,7,0,6,113.31,257.845,43.5309,0.2759
lck,7,0,7,107.885,252.465,44.784,15.0049
lck,7,0,8,102.29,247.025,29.8591,0.6226
lck,7,0,9,101.765,246.795,16.3888,0.5316
lck,7,0,10,101.29,246.7,5.1955,0.4418
lck,7,0,11,100.855,246.75,161.964,0.4522
lck,7,0,12,100.445,246.905,156.446,0.4254
lck,7,0,13,100.13,247.075,144.6913,0.2941
lck,7,0,14,99.865,247.265,144.0915,0.358
lck,7,0,15,99.405,247.695,134.1036,0.9052
lck,7,0,16,92.73,254.515,134.3983,18.1807
lck,7,0,17,86.525,261.15,42.0893,0.4177
lck,7,0,18,87.01,261.61,44.1177,0.9193
lck,7,0,19,86.77,262.455,137.353,1.5499
lck,7,0,20,87.295,264.075,45.0,3.0971
lck,7,0,21,91.165,267.965,45.2057,7.8772
lck,7,0,22,95.73,268.975,135.0801,5.0558
lck,7,0,23,99.49,269.065,43.5847,5.4393
lck,7,0,24,106.6,265.755,134.7503,14.6019
lck,8,0,0,98.435,245.175,45.0001,5.1336
lck,8,0,1,96.455,243.56,129.5232,0.5186
lck,8,0,2,95.92,244.135,134.6154,1.0536
lck,8,0,3,97.32,246.265,44.7563,4.9852
lck,8,0,4,99.405,247.695,134.1053,0.9052
lck,8,0,5,99.865,247.265,144.0915,0.358
lck,9,0,0,97.32,246.265,44.7563,4.9852
lck,9,0,1,92.54,247.61,134.156,8.6418
lck,9,0,2,86.595,253.74,134.0876,8.4369
lck,9,0,3,83.305,257.135,134.2038,1.0183
lck,9,0,4,83.275,257.85,47.1203,0.9552
lck,9,0,5,84.795,259.385,44.7592,3.3659
lck,9,0,6,86.18,260.79,49.1853,0.5814
lck,10,0,0,69.235,253.19,149.9581,0.9588
lck,10,0,1,70.015,252.73,148.9207,0.8523
lck,10,0,2,70.705,252.31,148.3929,0.7632
lck,10,0,3,71.46,251.85,148.8412,1.005
lck,10,0,4,68.795,248.52,44.7677,8.7187
lck,10,0,5,64.565,246.62,134.1301,3.2601
lck,10,0,6,62.7,248.255,147.5028,1.7311
lck,10,0,7,61.81,249.145,110.6297,0.9082
lck,10,0,8,61.63,250.275,91.625,1.4105
lck,10,0,9,61.475,251.29,113.5315,0.6763
lck,10,0,10,62.555,253.68,59.7092,4.8177
lck,10,0,11,66.14,254.335,148.9832,5.5308
lck,11,0,0,70.99,257.045,59.3193,2.4302
lck,11,0,1,67.985,257.43,149.0541,5.5617
lck,11,0,2,65.985,259.49,58.5705,1.4767
lck,11,0,3,67.135,261.385,58.8368,2.9567
lck,11,0,4,68.705,262.17,149.1937,1.8745
lck,11,0,5,69.025,260.81,61.1393,2.0096
lck,11,0,6,69.235,259.515,149.158,1.6189
lck,12,0,0,115.54,264.385,43.6345,5.6373
lck,12,0,1,112.475,263.465,134.9997,2.8991
lck,12,0,2,113.505,266.43,43.3512,5.6521
lck,13,0,0,114.4,259.785,45.1554,2.6092
lck,13,0,1,113.305,259.03,135.8311,0.488
lck,13,0,2,112.675,259.65,135.3156,1.2799
lck,13,0,3,111.98,260.335,135.6051,0.6718
lck,13,0,4,112.65,261.475,44.8426,2.5668
lck,13,0,5,113.79,262.155,135.6288,0.6435
lck,13,0,6,114.47,261.505,136.6364,1.2379
lck,14,0,0,112.65,261.475,44.8421,2.5668
lck,14,0,1,106.6,265.755,134.7503,14.6019
lck,14,0,2,101.145,271.255,134.9997,0.891
lck,14,0,3,100.68,271.425,44.0295,0.4173
lck,14,0,4,99.445,272.365,134.9998,3.0689
lck,14,0,5,99.415,274.465,43.8929,2.928
lck,14,0,6,101.51,274.445,135.1379,2.9345
lck,14,0,7,103.5,272.45,134.6998,2.7012
lck,14,0,8,105.66,270.275,134.8819,3.4295
lck,14,0,9,107.41,268.52,135.0004,1.5273
lck,14,0,10,109.175,266.755,134.9998,3.4648
