airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
lgb,0,path,,UNLABELED,236.7,322.79,240.75,302.23,4.05,20.56,83.2677,64.7389,37.113,238.725,312.51,0.197,7,1,0,1,rgb,207,207,207,0,none,,,,0.0,89.8684,23.1245,90.6848,12.5509,0.0,594.0,387.36,0.0,81.5472
lgb,1,path,,UNLABELED,269.41,356.95,281.51,350.62,12.1,6.33,76.5929,38.8656,22.8439,275.46,353.785,1.9115,24,1,0,1,rgb,207,207,207,0,none,,,,0.0,169.4204,1.562,37.725,7.3708,0.0,594.0,387.36,0.0,51.8306
lgb,2,path,,UNLABELED,339.87,162.62,343.81,158.18,3.94,4.44,17.4936,8.1098,7.8574,341.84,160.4,0.8874,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,136.1882,3.8574,135.5671,3.5711,0.0,594.0,387.36,0.0,8.1098
lgb,3,path,,UNLABELED,272.72,228.84,277.5,224.04,4.78,4.8,22.9439,8.9186,8.2099,275.11,226.44,0.9958,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,134.972,7.827,135.9892,4.5049,0.0,594.0,387.36,0.0,8.9186
lgb,4,path,,UNLABELED,231.92,300.85,235.57,295.12,3.65,5.73,20.9145,18.3886,17.3226,233.745,297.985,0.637,8,1,0,1,rgb,207,207,207,0,none,,,,0.0,90.7925,4.0425,89.7,5.7301,0.0,594.0,387.36,0.0,20.1215
lgb,5,path,,UNLABELED,330.92,171.46,336.05,166.35,5.13,5.11,26.2144,11.1273,9.0135,333.485,168.905,1.0039,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,135.2161,5.2332,135.5491,4.4267,0.0,594.0,387.36,0.0,11.1273
lgb,6,path,,UNLABELED,336.94,170.35,342.97,164.67,6.03,5.68,34.2503,15.9784,12.4016,339.955,167.51,1.0616,6,1,0,1,rgb,207,207,207,0,none,,,,0.0,120.5879,1.0526,44.0223,4.1443,0.0,594.0,387.36,0.0,17.0974
lgb,7,path,,UNLABELED,335.76,160.68,342.42,154.43,6.66,6.25,41.625,18.6589,14.8865,339.09,157.555,1.0656,6,1,0,1,rgb,207,207,207,0,none,,,,0.0,58.264,1.7223,45.0,4.4123,0.0,594.0,387.36,0.0,20.2965
lgb,8,path,,UNLABELED,340.29,167.32,344.73,159.72,4.44,7.6,33.744,20.119,17.8516,342.51,163.52,0.5842,14,1,0,1,rgb,207,207,207,0,none,,,,0.0,100.0845,2.0788,135.0,4.1012,0.0,594.0,387.36,0.0,20.5641
lgb,9,path,,UNLABELED,326.76,169.45,334.08,163.03,7.32,6.42,46.9945,20.9521,15.2913,330.42,166.24,1.1402,6,1,0,1,rgb,207,207,207,0,none,,,,0.0,8.9666,1.2377,135.2673,4.5468,0.0,594.0,387.36,0.0,23.4415
lgb,10,path,,UNLABELED,231.15,278.5,242.2,266.18,11.05,12.32,136.1358,81.8394,32.781,236.675,272.34,0.8969,16,1,0,1,rgb,207,207,207,0,none,,,,0.0,124.4315,3.337,136.0051,11.2872,0.0,594.0,387.36,0.0,87.474
lgb,11,path,,UNLABELED,268.56,227.17,275.96,219.89,7.4,7.28,53.8719,23.6169,16.6475,272.26,223.53,1.0165,6,1,0,1,rgb,207,207,207,0,none,,,,0.0,143.8853,1.1059,135.288,5.6286,0.0,594.0,387.36,0.0,26.9208
lgb,12,path,,UNLABELED,195.58,307.56,224.22,302.34,28.64,5.22,149.5008,87.9408,60.1407,209.9,304.95,5.4866,9,1,0,1,rgb,207,207,207,0,none,,,,0.0,179.5358,43.108,178.9553,16.4527,0.0,594.0,387.36,0.0,113.24
lgb,13,path,,UNLABELED,331.8,175.49,339.92,167.47,8.12,8.02,65.1225,33.9363,21.7493,335.86,171.48,1.0125,9,1,0,1,rgb,207,207,207,0,none,,,,0.0,140.0747,2.3567,135.0002,5.6286,0.0,594.0,387.36,0.0,34.251
lgb,14,path,,UNLABELED,141.82,383.37,144.87,362.64,3.05,20.73,63.2266,61.7055,44.3927,143.345,373.005,0.1471,8,1,0,1,rgb,207,207,207,0,none,,,,0.0,91.2821,52.1826,89.7786,20.7002,0.0,594.0,387.36,0.0,61.8097
lgb,15,path,,UNLABELED,83.19,381.74,97.35,368.25,14.16,13.49,191.0184,47.3502,26.4947,90.27,374.995,1.0497,6,1,0,1,rgb,207,207,207,0,none,,,,0.0,133.1662,24.2356,135.2157,11.2714,0.0,594.0,387.36,0.0,49.2924
lgb,16,path,,UNLABELED,81.94,254.81,85.39,248.41,3.45,6.4,22.08,15.2181,17.7657,83.665,251.61,0.5391,7,1,0,1,rgb,207,207,207,0,none,,,,0.0,95.8393,4.1998,92.233,4.3633,0.0,594.0,387.36,0.0,18.2292
lgb,17,path,,UNLABELED,123.93,253.66,129.31,248.5,5.38,5.16,27.7608,22.4573,18.8072,126.62,251.08,1.0426,8,1,0,1,rgb,207,207,207,0,none,,,,0.0,13.4628,1.2212,0.1063,5.38,0.0,594.0,387.36,0.0,25.673
lgb,18,path,,UNLABELED,86.41,258.86,122.75,254.88,36.34,3.98,144.6336,102.3498,75.8054,104.58,256.87,9.1306,8,1,0,1,rgb,207,207,207,0,none,,,,0.0,178.8629,103.6174,0.0464,24.73,0.0,594.0,387.36,0.0,128.0221
lgb,19,path,,UNLABELED,147.27,260.24,190.94,255.24,43.67,5.0,218.35,131.2333,95.6071,169.105,257.74,8.734,19,1,0,1,rgb,207,207,207,0,none,,,,0.0,179.4898,98.37,0.1213,14.17,0.0,594.0,387.36,0.0,181.8338
lgb,20,path,,UNLABELED,232.17,346.65,234.82,342.46,2.65,4.19,11.1035,10.0385,9.4882,233.495,344.555,0.6325,8,1,0,1,rgb,207,207,207,0,none,,,,0.0,92.0501,2.8209,89.7267,4.1901,0.0,594.0,387.36,0.0,10.3661
lgb,21,path,,UNLABELED,232.07,329.06,235.12,323.57,3.05,5.49,16.7445,14.7912,16.4531,233.595,326.315,0.5556,8,1,0,1,rgb,207,207,207,0,none,,,,0.0,92.1368,4.3616,89.6869,5.4901,0.0,594.0,387.36,0.0,15.6332
lgb,22,path,,UNLABELED,228.35,279.56,233.98,274.02,5.63,5.54,31.1903,15.0798,13.4744,231.165,276.79,1.0162,7,1,0,1,rgb,207,207,207,0,none,,,,0.0,71.0259,1.4657,49.47,4.3549,0.0,594.0,387.36,0.0,15.6641
lgb,23,path,,UNLABELED,138.36,308.82,144.84,298.18,6.48,10.64,68.9472,47.7466,28.8202,141.6,303.5,0.609,24,1,0,1,rgb,207,207,207,0,none,,,,0.0,81.681,3.5016,87.4646,8.138,0.0,594.0,387.36,0.0,54.8482
lgb,24,path,,UNLABELED,140.26,324.84,151.42,312.51,11.16,12.33,137.6027,77.8288,25.4106,145.84,318.675,0.9051,16,1,0,1,rgb,207,207,207,0,none,,,,0.0,122.5702,3.648,98.69,6.2214,0.0,594.0,387.36,0.0,82.9205
lgb,25,path,,UNLABELED,130.68,303.21,138.41,292.11,7.73,11.1,85.803,28.1513,25.5862,134.545,297.66,0.6964,11,1,0,1,rgb,207,207,207,0,none,,,,0.0,39.3896,9.0806,44.4881,10.2888,0.0,594.0,387.36,0.0,32.2005
lgb,26,path,,UNLABELED,129.33,270.88,138.58,267.03,9.25,3.85,35.6126,25.4781,21.8203,133.955,268.955,2.4026,7,1,0,1,rgb,207,207,207,0,none,,,,0.0,178.2612,6.1108,2.0655,6.104,0.0,594.0,387.36,0.0,32.2256
lgb,27,path,,UNLABELED,131.57,260.08,138.61,255.18,7.04,4.9,34.4959,25.6269,18.0474,135.09,257.63,1.4367,6,1,0,1,rgb,207,207,207,0,none,,,,0.0,16.8805,2.4863,0.0,4.34,0.0,594.0,387.36,0.0,28.3847
lgb,28,path,,UNLABELED,138.49,262.37,147.45,255.85,8.96,6.52,58.4193,50.4479,29.1564,142.97,259.11,1.3742,10,1,0,1,rgb,207,207,207,0,none,,,,0.0,4.13,2.844,179.936,8.96,0.0,594.0,387.36,0.0,52.8378
lgb,29,path,,UNLABELED,141.41,298.24,144.63,272.85,3.22,25.39,81.7559,68.9188,52.6795,143.02,285.545,0.1268,7,1,0,1,rgb,207,207,207,0,none,,,,0.0,90.9479,67.8592,90.0529,21.67,0.0,594.0,387.36,0.0,76.8244
lgb,30,path,,UNLABELED,140.75,265.66,145.66,262.35,4.91,3.31,16.2521,13.8506,14.1885,143.205,264.005,1.4834,6,1,0,1,rgb,207,207,207,0,none,,,,0.0,2.8516,2.3154,179.7664,4.91,0.0,594.0,387.36,0.0,14.6609
lgb,31,path,,UNLABELED,138.52,272.86,144.87,265.61,6.35,7.25,46.0375,38.1518,18.0873,141.695,269.235,0.8759,8,1,0,1,rgb,207,207,207,0,none,,,,0.0,81.9897,1.9088,0.7089,4.0403,0.0,594.0,387.36,0.0,40.3661
lgb,32,path,,UNLABELED,194.15,248.61,197.56,245.92,3.41,2.69,9.1729,8.9523,8.6416,195.855,247.265,1.2677,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,163.2412,1.641,0.0,3.04,0.0,594.0,387.36,0.0,8.9523
lgb,33,path,,UNLABELED,195.49,263.22,201.29,257.41,5.8,5.81,33.698,15.4247,11.2886,198.39,260.315,0.9983,6,1,0,1,rgb,207,207,207,0,none,,,,0.0,135.4053,2.4813,134.1363,4.2219,0.0,594.0,387.36,0.0,16.398
