airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
lgb,0,0,0,238.785,302.29,178.2422,3.9118
lgb,0,0,1,237.345,304.295,75.1695,4.0241
lgb,0,0,2,237.785,312.515,90.6848,12.5509
lgb,0,0,3,237.205,320.78,104.2392,4.1062
lgb,0,0,4,238.72,322.78,0.2835,4.04
lgb,0,0,5,240.745,318.55,90.0675,8.48
lgb,1,0,0,278.595,354.655,37.725,7.3708
lgb,1,0,1,275.58,352.31,41.9867,0.2691
lgb,1,0,2,275.395,352.115,51.0057,0.2702
lgb,1,0,3,275.24,351.885,60.7539,0.2865
lgb,1,0,4,275.115,351.625,67.8311,0.2916
lgb,1,0,5,275.025,351.35,75.9682,0.2886
lgb,1,0,6,274.97,351.06,82.4038,0.3027
lgb,1,0,7,274.95,350.765,90.0,0.29
lgb,1,0,8,272.18,350.675,178.8625,5.5411
lgb,1,0,9,270.07,351.1,29.2748,1.5133
lgb,1,0,10,270.91,351.615,38.8553,0.4623
lgb,1,0,11,271.25,351.94,48.3659,0.4817
lgb,1,0,12,271.54,352.33,58.2394,0.494
lgb,1,0,13,271.765,352.77,67.5566,0.4977
lgb,1,0,14,271.925,353.245,75.141,0.507
lgb,1,0,15,272.02,353.75,83.4184,0.5235
lgb,1,0,16,272.04,354.27,92.2048,0.5204
lgb,1,0,17,271.99,354.785,98.9133,0.5162
lgb,1,0,18,271.87,355.28,108.4355,0.506
lgb,1,0,19,271.675,355.745,117.0733,0.5054
lgb,1,0,20,271.42,356.165,125.6763,0.4801
lgb,1,0,21,271.11,356.525,135.8546,0.4738
lgb,1,0,22,270.755,356.82,144.9044,0.4522
lgb,2,0,0,343.7,159.535,59.264,0.4305
lgb,2,0,1,343.005,158.765,45.0,1.6546
lgb,2,0,2,341.145,159.43,135.5671,3.5711
lgb,2,0,3,340.39,161.65,61.8049,2.2012
lgb,3,0,0,276.73,224.49,30.3024,1.7837
lgb,3,0,1,274.34,225.605,135.9892,4.5049
lgb,3,0,2,273.195,228.005,60.3655,1.9213
lgb,4,0,0,235.525,297.97,90.9409,5.4807
lgb,4,0,1,234.955,295.41,163.6854,1.2816
lgb,4,0,2,234.075,295.59,0.0,0.53
lgb,4,0,3,232.865,295.355,13.9649,1.9476
lgb,4,0,4,231.935,297.985,89.7,5.7301
lgb,4,0,5,232.865,300.59,164.1368,1.9025
lgb,4,0,6,234.005,300.325,178.7257,0.4501
lgb,5,0,0,335.065,166.915,29.8388,2.2711
lgb,5,0,1,332.5,167.9,135.5491,4.4267
lgb,5,0,2,331.495,170.455,60.2247,2.3157
lgb,6,0,0,341.63,165.995,44.6775,3.7689
lgb,6,0,1,339.955,165.245,120.2261,1.3309
lgb,6,0,2,339.48,165.955,136.0427,0.389
lgb,6,0,3,338.14,166.78,150.1009,2.7685
lgb,6,0,4,338.43,168.91,44.0223,4.1443
lgb,7,0,0,340.86,156.62,45.0,4.4123
lgb,7,0,1,338.985,154.745,45.0,0.891
lgb,7,0,2,337.215,155.875,135.1975,4.1013
lgb,7,0,3,337.44,158.295,30.1287,3.8849
lgb,7,0,4,339.495,159.975,61.9909,1.5971
lgb,8,0,0,342.36,161.17,135.0,4.1012
lgb,8,0,1,341.05,162.875,61.2329,0.5818
lgb,8,0,2,340.74,163.9,120.3024,1.7837
lgb,8,0,3,341.63,165.995,44.6775,3.7689
lgb,8,0,4,343.575,166.725,135.4772,1.6971
lgb,8,0,5,344.3,165.785,109.1782,0.7305
lgb,8,0,6,344.51,165.08,104.038,0.7422
lgb,8,0,7,344.65,164.35,97.6966,0.7467
lgb,8,0,8,344.715,163.61,92.3214,0.7406
lgb,8,0,9,344.705,162.865,86.1845,0.7517
lgb,8,0,10,344.625,162.125,81.4318,0.7382
lgb,8,0,11,344.475,161.405,75.0186,0.735
lgb,8,0,12,344.255,160.705,70.0828,0.7339
lgb,9,0,0,333.165,165.82,30.081,2.1148
lgb,9,0,1,331.12,164.16,45.0,3.1961
lgb,9,0,2,328.375,164.63,135.2673,4.5468
lgb,9,0,3,328.445,167.145,28.503,3.8348
lgb,9,0,4,330.525,168.755,60.3885,1.5988
lgb,10,0,0,241.275,276.51,85.5013,3.9522
lgb,10,0,1,241.36,271.895,95.1846,5.3117
lgb,10,0,2,241.9,268.88,129.0362,0.9527
lgb,10,0,3,240.735,267.345,38.4923,3.7435
lgb,10,0,4,235.21,270.1,136.0051,11.2872
lgb,10,0,5,232.565,275.675,49.47,4.3549
lgb,10,0,6,234.07,277.28,150.9429,0.2059
lgb,10,0,7,234.35,277.2,171.0278,0.3847
lgb,10,0,8,234.735,277.18,2.9341,0.3905
lgb,10,0,9,235.12,277.24,14.7442,0.3929
lgb,10,0,10,235.495,277.375,24.6789,0.4072
lgb,10,0,11,235.845,277.585,37.1465,0.414
lgb,10,0,12,236.155,277.865,46.9096,0.4245
lgb,10,0,13,236.42,278.2,56.3083,0.4327
lgb,10,0,14,236.56,278.44,71.5672,0.1265
lgb,11,0,0,275.205,223.59,30.7957,1.7579
lgb,11,0,1,273.505,221.515,59.8206,3.7596
lgb,11,0,2,270.56,221.87,135.288,5.6286
lgb,11,0,3,270.225,224.77,28.923,3.8045
lgb,11,0,4,272.305,226.43,60.7155,1.6969
lgb,12,0,0,222.42,302.84,163.7012,3.5632
lgb,12,0,1,212.485,303.49,178.9553,16.4527
lgb,12,0,2,199.92,303.66,179.7359,8.6801
lgb,12,0,3,195.58,305.03,90.0,2.7
lgb,12,0,4,196.755,306.41,1.4625,2.3508
lgb,12,0,5,204.12,306.385,179.4908,12.3805
lgb,12,0,6,215.705,306.56,2.4413,10.7998
lgb,12,0,7,222.66,307.175,13.8631,3.2136
lgb,13,0,0,338.43,168.91,44.0223,4.1443
lgb,13,0,1,336.715,167.6,149.9797,0.5197
lgb,13,0,2,336.27,167.605,29.6043,0.5061
lgb,13,0,3,334.06,169.47,135.0002,5.6286
lgb,13,0,4,332.185,171.66,60.1014,0.4614
lgb,13,0,5,332.05,172.3,119.6043,1.0121
lgb,13,0,6,333.26,174.115,43.2828,4.0111
lgb,13,0,7,336.665,173.57,135.3705,5.4661
