airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
lgf,0,0,0,161.1855,415.27,78.9457,19.2084
lgf,0,0,1,159.6855,425.349,168.9425,6.8094
lgf,0,0,2,154.5025,416.576,78.9457,19.2084
lgf,1,0,0,150.7955,388.8485,168.4382,10.2632
lgf,1,0,1,145.336,387.7665,78.4317,4.3085
lgf,1,0,2,146.507,385.328,168.4359,3.2724
lgf,1,0,3,146.6905,378.062,78.437,14.1634
lgf,1,0,4,144.4645,371.289,168.4374,1.6464
lgf,1,0,5,143.7855,372.078,78.4524,1.2738
lgf,1,0,6,141.5515,373.185,168.4408,4.8208
lgf,1,0,7,137.3415,364.6325,78.4378,18.4453
lgf,1,0,8,138.5825,354.9655,168.4478,6.3068
lgf,1,0,9,142.1755,354.8345,44.8285,1.4199
lgf,1,0,10,145.621,354.896,171.513,5.9491
lgf,1,0,11,148.871,354.1365,133.8609,0.889
lgf,1,0,12,149.535,355.6365,78.9355,3.71
lgf,1,0,13,149.4955,357.3395,16.5453,0.8252
lgf,1,0,14,146.0685,357.824,168.7683,6.1814
lgf,1,0,15,142.842,359.3615,101.7744,1.9112
lgf,1,0,16,142.094,360.435,165.9881,1.1399
lgf,1,0,17,142.248,363.952,78.1823,6.9043
lgf,1,0,18,146.336,366.764,170.4799,6.8564
lgf,1,0,19,150.478,365.278,129.6274,2.3864
lgf,2,0,0,143.866,335.4445,168.0825,3.385
lgf,2,0,1,142.708,338.154,78.0844,4.8239
lgf,2,0,2,142.5015,341.033,143.6216,1.7501
lgf,2,0,3,142.155,343.906,81.3526,4.7621
lgf,2,0,4,140.159,346.6175,171.3644,4.762
lgf,2,0,5,137.598,345.6125,81.3613,2.7563
lgf,2,0,6,138.34,344.1055,171.3423,1.9199
lgf,2,0,7,138.885,342.003,78.3416,3.9985
lgf,2,0,8,137.2295,340.1425,175.5451,2.5106
lgf,2,0,9,135.098,335.778,78.8433,9.0959
lgf,2,0,10,135.421,331.186,173.8322,2.42
