airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
lgu,0,0,0,292.28,160.87,2.526,1.3613
lgu,0,0,1,293.45,161.085,20.6836,1.0475
lgu,0,0,2,294.42,161.67,39.8065,1.2496
lgu,0,0,3,294.71,158.085,87.2705,7.9791
lgu,0,0,4,294.23,154.595,120.3653,1.1474
lgu,0,0,5,293.565,155.42,138.6521,0.9991
lgu,0,0,6,291.855,156.66,145.7195,3.2313
lgu,0,0,7,290.205,157.85,138.3668,0.8429
lgu,1,0,0,287.83,307.665,105.1251,0.3833
lgu,1,0,1,288.04,307.385,149.3005,0.3722
lgu,1,0,2,290.38,307.175,176.9802,4.366
lgu,1,0,3,296.115,306.87,176.9407,7.1202
lgu,1,0,4,300.07,306.73,7.1256,0.8062
lgu,1,0,5,300.775,306.965,31.2395,0.7134
lgu,1,0,6,301.45,307.525,45.3837,1.0536
lgu,1,0,7,301.615,303.53,87.3142,8.7496
lgu,1,0,8,301.29,299.74,101.6889,1.1846
lgu,1,0,9,300.795,301.025,118.0091,1.5971
lgu,1,0,10,299.88,302.405,128.6601,1.7289
lgu,1,0,11,298.71,303.55,143.276,1.572
lgu,1,0,12,297.26,304.325,159.5975,1.7498
lgu,1,0,13,295.53,304.77,171.2539,1.8414
lgu,1,0,14,293.775,304.84,4.735,1.6958
lgu,1,0,15,292.16,304.605,12.0953,1.575
lgu,1,0,16,290.64,303.97,32.0741,1.7702
lgu,1,0,17,289.375,302.94,47.3969,1.5216
lgu,1,0,18,288.415,301.68,57.5556,1.6589
lgu,1,0,19,287.78,300.3,74.389,1.4121
lgu,1,0,20,287.45,299.08,75.4654,1.1157
lgu,1,0,21,287.045,291.825,87.7401,13.4404
lgu,1,0,22,285.9,266.8,87.2484,36.6623
lgu,1,0,23,285.02,247.975,90.0,1.03
lgu,1,0,24,285.09,247.11,101.3109,0.7139
lgu,1,0,25,285.42,246.455,130.4449,0.8016
lgu,1,0,26,286.055,245.915,147.9259,0.8851
lgu,1,0,27,286.805,245.655,176.1869,0.7517
lgu,1,0,28,287.695,245.705,8.2855,1.0409
lgu,1,0,29,288.655,245.94,19.7762,0.9458
lgu,1,0,30,291.415,247.245,26.3171,5.1654
lgu,1,0,31,295.37,249.21,26.5648,3.6671
