airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
lit,0,0,0,176.55,346.705,137.3532,0.5166
lit,0,0,1,176.96,346.375,144.8339,0.5382
lit,0,0,2,177.42,346.095,152.4878,0.5412
lit,0,0,3,177.81,345.955,174.2897,0.3015
lit,0,0,4,178.105,345.93,176.0539,0.2907
lit,0,0,5,176.885,343.35,62.026,5.82
lit,0,0,6,175.015,341.115,146.4408,1.212
lit,0,0,7,174.305,341.555,152.879,0.4606
lit,0,0,8,173.89,341.745,157.9639,0.4531
lit,1,0,0,168.37,348.49,25.7693,6.4405
lit,1,0,1,171.53,350.175,47.6258,0.7716
lit,1,0,2,172.03,350.76,51.3407,0.7684
lit,1,0,3,172.485,351.365,54.8198,0.7463
lit,1,0,4,172.895,351.99,58.6429,0.7495
lit,1,0,5,174.575,351.66,156.3605,3.2421
lit,1,0,6,175.88,350.54,69.0442,1.0066
lit,1,0,7,175.625,349.835,72.3003,0.4934
lit,1,0,8,175.52,349.365,82.7253,0.4738
lit,1,0,9,175.5,348.89,92.3847,0.4804
lit,1,0,10,175.56,348.41,101.7691,0.4903
lit,1,0,11,175.7,347.94,111.3712,0.494
lit,1,0,12,175.915,347.495,120.1739,0.4974
lit,1,0,13,176.2,347.08,128.6585,0.5123
lit,1,0,14,175.02,344.355,62.0454,5.7171
lit,1,0,15,173.395,341.905,165.2572,0.5894
lit,1,0,16,172.82,342.03,170.217,0.5886
lit,1,0,17,172.23,342.09,178.0919,0.6003
lit,1,0,18,171.63,342.08,3.8134,0.6013
lit,1,0,19,171.04,342.0,11.6889,0.5923
lit,1,0,20,170.47,341.855,16.8881,0.5852
lit,1,0,21,169.93,341.65,24.7741,0.5727
lit,1,0,22,169.43,341.385,31.1399,0.5608
lit,1,0,23,168.98,341.065,39.805,0.5467
lit,1,0,24,168.585,340.695,46.5066,0.5376
lit,1,0,25,168.255,340.285,56.0046,0.5187
lit,1,0,26,167.995,339.845,62.9282,0.5054
lit,1,0,27,167.81,339.38,73.7397,0.5
lit,1,0,28,167.695,339.01,70.9049,0.2751
lit,1,0,29,165.725,340.985,132.4425,5.705
lit,1,0,30,164.265,344.365,69.963,2.7143
lit,2,0,0,157.02,324.59,69.8874,6.0489
lit,2,0,1,160.48,326.515,159.2886,5.1744
lit,2,0,2,162.88,325.545,70.0226,0.1171
lit,2,0,3,162.775,325.235,71.5645,0.5376
lit,2,0,4,162.64,324.72,79.1142,0.5295
lit,2,0,5,162.58,324.195,87.8385,0.5304
lit,2,0,6,162.59,323.67,94.3997,0.5215
lit,2,0,7,162.665,323.15,101.9445,0.5315
lit,2,0,8,162.815,322.635,110.4312,0.5442
lit,2,0,9,163.035,322.14,117.5115,0.5412
lit,2,0,10,163.32,321.67,124.8256,0.5604
lit,2,0,11,163.665,321.23,131.3772,0.5597
lit,2,0,12,164.065,320.825,137.7944,0.5805
lit,2,0,13,164.32,320.615,159.4452,0.0854
lit,2,0,14,163.42,318.155,68.9703,5.239
lit,2,0,15,162.405,315.74,158.1986,0.1615
lit,2,0,16,160.07,316.0,174.1887,4.5434
lit,2,0,17,157.065,315.15,55.4015,2.6241
lit,2,0,18,154.88,314.625,158.9227,3.0865
lit,3,0,0,178.69,314.735,157.7339,8.4717
lit,3,0,1,181.545,310.51,67.879,5.6564
lit,3,0,2,179.56,308.01,172.568,1.8556
lit,3,0,3,178.07,307.29,55.8407,2.0303
lit,3,0,4,175.545,307.485,152.1026,4.4241
lit,3,0,5,173.675,309.25,83.3587,1.4699
lit,3,0,6,173.03,310.545,142.2619,1.8462
lit,4,0,0,169.565,318.47,157.7445,11.2479
lit,4,0,1,173.535,313.725,64.7197,5.7839
lit,4,0,2,171.44,311.775,142.2871,2.1742
lit,4,0,3,166.53,314.075,158.016,8.7352
lit,5,0,0,160.48,326.515,159.2886,5.1744
lit,5,0,1,160.93,335.26,69.8702,16.6788
lit,5,0,2,165.725,340.985,132.4426,5.705
lit,6,0,0,161.91,287.225,137.328,0.8705
lit,6,0,1,162.455,286.865,163.8859,0.4684
lit,6,0,2,162.915,286.765,171.528,0.4752
lit,6,0,3,163.39,286.725,178.809,0.4801
lit,6,0,4,163.87,286.75,7.1246,0.4837
lit,6,0,5,164.34,286.835,13.4471,0.473
lit,6,0,6,164.785,286.975,21.5725,0.4624
lit,6,0,7,165.2,287.175,29.8972,0.4614
lit,6,0,8,165.57,287.425,38.456,0.4342
lit,6,0,9,167.205,285.985,132.9278,4.302
lit,6,0,10,168.575,284.025,76.1391,0.7931
lit,6,0,11,168.415,283.25,80.5373,0.7908
lit,6,0,12,168.32,282.47,85.6015,0.7823
lit,6,0,13,168.29,281.685,90.0,0.79
lit,6,0,14,168.325,280.9,95.1287,0.7831
lit,6,0,15,168.615,280.18,127.6938,0.8341
lit,6,0,16,167.785,278.485,51.5196,3.4874
lit,6,0,17,163.07,280.99,133.1672,10.612
lit,7,0,0,172.755,303.925,74.6203,4.0345
lit,7,0,1,173.44,307.195,83.5414,2.6669
lit,7,0,2,175.545,307.485,152.1027,4.4241
lit,7,0,3,176.71,305.28,55.9722,2.8235
lit,7,0,4,175.155,302.615,62.9009,3.3587
lit,7,0,5,171.665,293.155,71.1131,16.8365
lit,7,0,6,168.805,284.8,70.9062,0.8254
lit,7,0,7,167.205,285.985,132.9277,4.302
lit,7,0,8,165.845,287.665,45.0042,0.297
lit,8,0,0,103.095,348.635,142.9701,0.714
lit,8,0,1,103.65,348.195,140.1937,0.7029
lit,8,0,2,104.16,347.725,134.4097,0.6859
lit,8,0,3,104.62,347.22,130.2363,0.6812
lit,8,0,4,112.53,338.955,133.8502,22.2006
