airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
lna,0,0,0,81.755,218.52,178.0137,8.6552
lna,0,0,1,83.785,216.195,43.4622,6.3238
lna,0,0,2,73.765,214.265,178.1835,15.4578
lna,0,0,3,66.12,216.785,87.9861,4.5528
lna,1,0,0,186.24,418.74,118.2091,5.9235
lna,1,0,1,187.575,416.22,125.8375,0.222
lna,1,0,2,187.43,416.385,136.8494,0.2193
lna,1,0,3,187.265,416.525,142.5933,0.214
lna,1,0,4,187.085,416.64,152.2439,0.2147
lna,1,0,5,186.89,416.72,163.3012,0.2088
lna,1,0,6,186.685,416.765,171.8699,0.2121
lna,1,0,7,184.82,416.78,0.0,3.52
lna,1,0,8,181.495,419.73,117.9463,6.6789
lna,1,0,9,179.91,422.785,100.783,0.2138
lna,1,0,10,179.885,423.0,92.6051,0.2202
lna,1,0,11,179.89,423.215,84.5587,0.211
lna,1,0,12,179.925,423.425,76.6062,0.2159
lna,1,0,13,179.985,423.63,70.7131,0.2119
lna,1,0,14,180.075,423.825,59.9316,0.2195
lna,1,0,15,180.19,424.0,53.1257,0.2
lna,1,0,16,180.83,424.92,55.3759,2.0416
lna,1,0,17,181.775,426.08,41.2416,0.9708
lna,2,0,0,108.99,229.44,79.9923,0.3452
lna,2,0,1,109.02,229.79,90.0,0.36
lna,2,0,2,108.995,230.145,98.1299,0.3535
lna,2,0,3,108.92,230.49,106.3881,0.3544
lna,2,0,4,108.795,230.815,115.8214,0.3444
lna,2,0,5,108.62,231.11,125.5384,0.3441
lna,2,0,6,108.4,231.365,136.2211,0.3324
lna,2,0,7,108.145,231.575,144.8651,0.3302
lna,2,0,8,107.865,231.74,154.2284,0.322
lna,2,0,9,105.235,231.9,177.9259,4.9733
lna,2,0,10,102.805,233.285,87.568,2.5923
lna,2,0,11,105.675,234.505,178.4739,5.632
lna,2,0,12,109.325,234.475,3.0847,1.6724
lna,2,0,13,110.58,234.615,12.7454,0.8612
lna,2,0,14,111.405,234.88,22.7702,0.8785
lna,2,0,15,112.185,235.285,32.0741,0.8851
lna,2,0,16,112.895,235.815,41.367,0.8927
lna,3,0,0,96.625,222.78,88.4812,2.6409
lna,3,0,1,93.805,221.565,177.8406,5.574
lna,3,0,2,90.73,221.665,0.9887,0.5801
lna,3,0,3,90.155,221.6,11.8882,0.5825
lna,3,0,4,89.6,221.425,23.0714,0.5869
lna,3,0,5,89.085,221.15,33.1452,0.5852
