airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
lrf,0,0,0,310.6515,110.714,125.0528,0.9211
lrf,0,0,1,311.1,109.808,109.1793,1.1202
lrf,0,0,2,308.3465,107.033,37.4012,7.3955
lrf,0,0,3,305.046,105.007,148.7837,0.8489
lrf,0,0,4,304.336,105.56,136.1788,0.9619
lrf,0,0,5,306.0415,109.191,58.104,7.7691
lrf,0,0,6,308.4935,112.3755,164.1387,0.8306
lrf,0,0,7,309.308,112.024,150.1665,0.9568
lrf,1,0,0,262.71,338.192,108.6545,2.8075
lrf,1,0,1,281.947,282.8155,109.1688,114.438
lrf,1,0,2,300.9555,228.1175,108.6986,1.3756
lrf,1,0,3,301.667,227.623,17.7318,1.031
lrf,1,0,4,302.807,225.569,106.3587,4.6086
lrf,1,0,5,303.1395,223.2605,17.1225,0.6624
lrf,1,0,6,302.962,222.8025,111.085,0.7727
lrf,1,0,7,303.2705,222.226,128.1232,0.5491
lrf,1,0,8,304.168,219.6715,107.2918,4.8984
lrf,1,0,9,306.01,214.0825,108.9174,6.8722
lrf,1,0,10,308.4985,206.7765,108.7226,8.5642
lrf,1,0,11,311.2805,198.6305,108.9878,8.6518
lrf,1,0,12,313.826,191.239,109.0213,6.9833
lrf,1,0,13,317.844,179.763,109.4071,17.3349
lrf,1,0,14,306.93,166.83,19.031,29.1831
lrf,1,0,15,292.793,161.7015,47.2081,1.0098
lrf,1,0,16,292.164,160.8935,56.8272,1.0454
lrf,1,0,17,280.0915,194.288,109.2075,71.6527
lrf,1,0,18,267.071,231.6785,109.1254,7.5328
lrf,1,0,19,250.322,279.7335,109.2226,94.2476
lrf,1,0,20,233.912,326.799,109.2076,5.4409
lrf,2,0,0,209.71,535.908,99.621,4.5115
lrf,2,0,1,206.2405,532.9935,10.177,7.816
lrf,2,0,2,202.1745,532.2465,14.4348,0.4533
lrf,2,0,3,201.7345,532.107,20.6275,0.4712
lrf,2,0,4,201.2815,531.8945,29.1174,0.5323
lrf,2,0,5,200.7985,531.592,34.6294,0.6089
lrf,2,0,6,200.055,530.9855,41.3257,1.313
lrf,2,0,7,201.88,533.8655,55.0248,8.0876
lrf,3,0,0,198.6445,543.58,10.4661,4.5141
