airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
lvk,0,0,0,227.33,164.69,86.883,4.046
lvk,0,0,1,227.115,162.67,0.0,0.21
lvk,0,0,2,227.08,164.69,88.0153,4.0424
lvk,1,0,0,182.09,73.435,179.8006,20.1201
lvk,1,0,1,171.955,78.55,90.8459,10.1611
lvk,1,0,2,174.835,86.365,42.7858,8.0529
lvk,1,0,3,177.925,120.39,89.7528,62.5806
lvk,1,0,4,178.02,152.845,91.9665,2.3314
lvk,1,0,5,176.075,154.0,0.3006,3.81
lvk,1,0,6,173.925,154.045,167.3458,0.5022
lvk,1,0,7,172.775,154.89,138.8816,2.4026
lvk,1,0,8,171.14,156.82,122.6336,2.7074
lvk,1,0,9,170.245,159.27,97.1789,2.6407
lvk,1,0,10,170.115,161.625,88.0815,2.0912
lvk,1,0,11,170.295,164.4,85.2088,3.4722
lvk,1,0,12,170.26,168.62,94.1349,4.993
lvk,1,0,13,170.08,171.865,90.0,1.51
lvk,1,0,14,168.585,173.77,142.4315,3.7723
lvk,1,0,15,167.24,175.25,65.5559,0.725
lvk,1,0,16,170.395,176.19,11.4749,6.1326
lvk,1,0,17,173.37,170.965,89.7054,11.6701
lvk,1,0,18,173.835,164.71,139.6857,1.2983
lvk,1,0,19,175.52,165.14,35.5373,2.9248
lvk,1,0,20,177.395,167.25,61.4692,2.8683
lvk,1,0,21,178.51,169.125,55.0395,1.5008
lvk,1,0,22,178.98,170.425,86.658,1.3723
lvk,1,0,23,180.35,172.26,40.8489,3.5165
lvk,1,0,24,181.56,168.78,88.5153,9.2631
lvk,1,0,25,181.41,163.165,88.2556,1.9709
lvk,1,0,26,182.11,161.23,127.5397,2.3962
lvk,1,0,27,183.675,159.99,160.8471,1.7679
lvk,1,0,28,186.42,159.67,179.1002,3.8205
lvk,1,0,29,189.81,159.895,9.7761,3.0036
lvk,1,0,30,192.145,161.27,52.6419,2.8181
lvk,1,0,31,193.25,163.54,77.7353,2.3537
lvk,1,0,32,193.79,158.205,92.5604,12.983
lvk,1,0,33,193.545,152.935,113.7652,2.6551
lvk,1,0,34,192.75,154.555,122.6998,0.9625
lvk,1,0,35,191.77,155.645,136.4272,1.9876
lvk,1,0,36,189.72,156.42,176.1289,2.6661
lvk,1,0,37,187.305,156.64,173.1674,2.1855
lvk,1,0,38,185.34,156.69,5.1945,1.7673
lvk,1,0,39,183.44,156.2,21.8977,2.1986
lvk,1,0,40,182.015,154.515,72.3779,2.6756
lvk,1,0,41,181.17,117.355,89.2975,71.7754
lvk,1,0,42,180.73,80.57,90.0,1.8
lvk,1,0,43,181.655,78.4,126.067,3.1423
lvk,1,0,44,185.16,77.15,0.4446,5.1602
lvk,1,0,45,188.545,77.4,15.9441,1.6744
lvk,1,0,46,190.785,78.615,34.4665,3.4811
lvk,2,0,0,176.64,165.93,41.0354,2.8636
lvk,2,0,1,178.08,168.365,76.4607,3.0755
lvk,2,0,2,179.595,289.5,89.4469,239.2911
lvk,2,0,3,179.885,411.175,113.0284,4.4224
lvk,2,0,4,178.48,413.75,135.0,1.5274
lvk,2,0,5,177.18,414.76,148.2665,1.7872
lvk,2,0,6,176.565,422.005,88.774,13.5531
lvk,2,0,7,178.055,428.735,178.0838,2.6915
lvk,2,0,8,180.095,428.695,0.4113,1.39
lvk,2,0,9,181.105,428.675,175.4634,0.632
lvk,2,0,10,182.45,428.66,0.5559,2.0601
lvk,2,0,11,184.665,427.475,134.7594,3.3658
lvk,2,0,12,186.895,425.15,132.762,3.0783
lvk,2,0,13,188.225,422.67,101.9205,2.7595
lvk,2,0,14,192.23,421.195,178.0755,7.4442
lvk,2,0,15,196.6,419.015,107.5523,4.3107
lvk,2,0,16,196.52,415.955,54.0063,2.4843
lvk,2,0,17,195.215,415.755,125.5375,1.9785
lvk,2,0,18,193.835,417.155,143.5311,2.002
lvk,2,0,19,192.005,417.76,179.4409,2.0501
lvk,2,0,20,189.755,417.785,179.2985,2.4502
lvk,2,0,21,187.67,417.83,178.0022,1.721
lvk,2,0,22,186.05,417.405,30.9079,1.7716
lvk,2,0,23,184.725,415.94,60.7774,2.3146
lvk,2,0,24,183.81,376.765,89.4746,76.3332
lvk,2,0,25,183.71,337.6,104.0361,2.0616
lvk,2,0,26,184.805,335.915,140.9702,2.1755
lvk,2,0,27,187.545,335.25,0.6048,3.7902
lvk,2,0,28,190.535,335.865,28.5188,2.4924
lvk,2,0,29,192.38,337.235,45.9392,2.157
lvk,2,0,30,193.49,338.58,57.7243,1.3483
lvk,2,0,31,194.335,340.45,69.5408,2.775
lvk,2,0,32,195.53,342.355,40.4349,1.8656
lvk,2,0,33,196.165,334.855,89.4698,16.2107
lvk,2,0,34,195.955,325.785,82.0361,1.9488
lvk,2,0,35,195.045,325.8,128.3381,2.4988
lvk,2,0,36,193.315,327.92,129.953,2.9743
lvk,2,0,37,191.125,330.09,140.1717,3.2163
lvk,2,0,38,189.46,331.42,145.0986,1.0486
lvk,2,0,39,188.13,331.72,0.0,1.8
lvk,2,0,40,185.845,331.6,4.9517,2.7804
lvk,2,0,41,183.915,330.43,62.5683,2.366
lvk,2,0,42,183.05,309.08,89.0969,40.6051
lvk,2,0,43,183.415,287.73,123.1195,2.5074
lvk,2,0,44,185.33,286.36,165.4168,2.5419
lvk,2,0,45,187.485,286.25,12.7912,1.8971
lvk,2,0,46,189.715,287.235,30.7046,3.0356
lvk,2,0,47,191.97,289.075,48.2666,2.8543
lvk,2,0,48,193.535,291.15,58.6623,2.365
lvk,2,0,49,194.545,293.13,67.8428,2.0947
lvk,2,0,50,195.335,285.71,92.6955,16.7986
lvk,2,0,51,195.02,276.79,36.7413,1.772
lvk,2,0,52,193.49,277.89,116.7054,3.6493
lvk,2,0,53,191.525,280.59,136.9394,3.1343
lvk,2,0,54,189.025,282.21,157.9075,2.9247
lvk,2,0,55,186.115,282.785,179.0786,3.1104
lvk,2,0,56,183.625,281.87,45.1529,2.6517
lvk,2,0,57,182.595,264.605,89.6666,32.6505
lvk,2,0,58,183.005,247.415,120.2767,2.0033
lvk,2,0,59,184.46,246.175,158.4591,2.0427
lvk,2,0,60,186.905,245.945,5.54,3.004
lvk,2,0,61,189.865,247.1,34.5829,3.5588
lvk,2,0,62,192.165,249.325,55.5014,2.9485
lvk,2,0,63,193.9,252.325,63.2427,3.9981
lvk,2,0,64,195.16,245.465,92.3845,17.305
lvk,2,0,65,194.695,236.36,29.1434,1.8892
lvk,2,0,66,193.205,237.215,116.8259,2.9472
lvk,2,0,67,191.755,239.485,129.4197,2.4724
lvk,2,0,68,189.955,241.17,144.276,2.5005
lvk,2,0,69,187.61,242.16,168.9391,2.7104
lvk,2,0,70,185.305,242.47,177.0641,1.9526
lvk,2,0,71,183.35,241.49,46.4248,2.8435
lvk,2,0,72,181.875,201.32,89.2754,78.2863
lvk,2,0,73,182.11,161.23,127.5394,2.3962
lvk,2,0,74,183.675,159.99,160.8471,1.7679
