airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
lzu,0,0,0,227.23,265.44,116.5651,0.313
lzu,0,0,1,227.415,265.185,134.9981,0.3253
lzu,0,0,2,227.67,264.975,145.8398,0.3384
lzu,0,0,3,227.96,264.81,154.9858,0.3311
lzu,0,0,4,228.28,264.69,163.6093,0.3544
lzu,0,0,5,228.625,264.615,171.872,0.3536
lzu,0,0,6,228.975,264.585,178.3619,0.3501
lzu,0,0,7,229.325,264.605,8.1284,0.3535
lzu,0,0,8,229.665,264.68,16.8593,0.3448
lzu,0,0,9,229.985,264.805,25.8203,0.3444
lzu,0,0,10,230.32,265.065,45.7868,0.5163
lzu,0,0,11,231.105,264.06,116.949,2.6699
lzu,0,0,12,231.55,262.83,14.0388,0.3299
lzu,0,0,13,231.195,262.71,22.3067,0.4215
lzu,0,0,14,230.83,262.525,31.7007,0.3996
lzu,0,0,15,230.51,262.29,40.9152,0.397
lzu,0,0,16,230.235,262.015,49.2342,0.3829
lzu,0,0,17,230.015,261.705,60.0695,0.3808
lzu,0,0,18,229.855,261.37,69.0768,0.364
lzu,0,0,19,229.765,261.02,82.092,0.3634
lzu,0,0,20,229.745,260.665,91.6357,0.3501
lzu,0,0,21,229.885,260.22,116.5651,0.6037
lzu,0,0,22,229.04,259.38,30.1832,2.2674
lzu,0,0,23,226.62,261.665,116.7653,6.3952
lzu,1,0,0,230.915,258.19,116.9544,3.949
lzu,1,0,1,233.13,253.655,115.4392,6.1459
lzu,1,0,2,233.445,250.33,28.6905,2.2913
lzu,1,0,3,231.07,252.665,115.4016,6.3875
lzu,1,0,4,228.88,257.18,116.7056,3.6493
lzu,2,0,0,271.96,108.81,116.1469,4.9016
lzu,2,0,1,271.755,105.77,33.1723,3.0704
lzu,2,0,2,266.635,103.07,25.8737,8.5245
lzu,2,0,3,262.665,101.145,25.7092,0.2997
lzu,2,0,4,262.13,102.06,112.2033,2.117
lzu,2,0,5,265.615,104.975,26.4765,8.6804
lzu,2,0,6,269.755,107.205,49.1589,0.7799
lzu,2,0,7,270.22,107.825,57.1334,0.7739
lzu,2,0,8,270.575,108.495,67.202,0.7484
lzu,2,0,9,270.81,109.195,75.775,0.7325
lzu,2,0,10,270.925,109.915,86.0802,0.7317
lzu,3,0,0,206.535,306.595,116.469,2.6699
lzu,3,0,1,206.115,304.89,26.6776,2.2718
lzu,3,0,2,204.54,305.49,116.7714,2.4865
lzu,3,0,3,203.9,306.64,153.4284,0.1789
lzu,4,0,0,204.66,299.845,118.3162,2.4877
lzu,4,0,1,205.21,298.745,7.1331,0.0806
lzu,4,0,2,202.8,297.56,26.4681,5.295
lzu,4,0,3,199.87,297.49,116.771,2.4865
lzu,4,0,4,201.54,299.69,26.0489,4.9643
lzu,5,0,0,200.64,308.18,114.7176,2.7742
lzu,5,0,1,200.98,306.845,17.3563,0.5029
lzu,5,0,2,200.51,306.675,22.4401,0.4977
lzu,5,0,3,198.27,305.61,25.7614,4.4636
lzu,5,0,4,195.71,305.725,116.881,2.4329
lzu,5,0,5,197.03,307.74,26.4426,4.177
lzu,5,0,6,199.21,308.845,29.4433,0.712
lzu,6,0,0,202.0,313.11,29.8669,2.3294
lzu,6,0,1,204.475,310.74,116.4094,6.5875
lzu,6,0,2,204.88,307.235,27.6363,2.393
lzu,6,0,3,203.575,306.77,159.8303,0.522
lzu,6,0,4,203.07,306.915,168.0539,0.5315
lzu,6,0,5,202.545,306.995,174.6121,0.5324
lzu,6,0,6,202.015,307.01,2.1599,0.5304
lzu,6,0,7,201.485,306.96,8.5822,0.536
lzu,6,0,8,200.64,308.18,114.7173,2.7742
lzu,6,0,9,200.31,309.71,47.2031,0.7359
lzu,6,0,10,200.75,310.285,58.0792,0.7187
lzu,6,0,11,201.065,310.915,68.9623,0.6964
lzu,6,0,12,201.245,311.575,80.6765,0.679
lzu,7,0,0,206.115,304.89,26.6776,2.2718
lzu,7,0,1,208.175,303.295,116.4015,4.7002
lzu,7,0,2,209.72,300.19,116.5651,2.2361
lzu,7,0,3,209.21,298.715,25.1879,2.2322
lzu,7,0,4,208.145,298.345,117.6436,0.2371
lzu,7,0,5,207.63,298.56,166.5513,0.9459
lzu,7,0,6,206.69,298.725,173.4643,0.9663
lzu,7,0,7,205.73,298.765,1.7898,0.9605
lzu,7,0,8,204.66,299.845,118.3162,2.4877
lzu,7,0,9,204.28,301.085,34.6251,0.5104
lzu,7,0,10,204.67,301.405,44.1935,0.5021
lzu,7,0,11,204.99,301.775,54.3226,0.4801
lzu,7,0,12,205.23,302.185,65.0561,0.4742
lzu,7,0,13,205.39,302.625,75.0677,0.4657
lzu,7,0,14,205.465,303.075,86.1862,0.451
lzu,7,0,15,205.445,303.53,98.6536,0.4653
lzu,8,0,0,221.4,92.185,124.6864,4.147
lzu,8,0,1,223.66,88.985,125.8448,3.6886
lzu,8,0,2,224.99,87.39,158.1974,0.5385
lzu,8,0,3,225.505,87.23,167.2429,0.5434
lzu,8,0,4,226.045,87.145,174.8069,0.5523
lzu,8,0,5,226.595,87.135,3.1221,0.5508
lzu,8,0,6,227.14,87.205,11.5122,0.5511
lzu,8,0,7,227.665,87.35,19.4395,0.5408
lzu,8,0,8,228.63,87.695,19.7564,1.5088
lzu,8,0,9,229.985,86.62,115.8718,2.9563
lzu,8,0,10,229.205,84.595,25.9991,3.1709
lzu,8,0,11,227.33,83.82,10.0809,0.9141
lzu,8,0,12,226.415,83.725,1.8475,0.9305
lzu,8,0,13,225.49,83.75,175.0311,0.9235
lzu,8,0,14,224.585,83.9,166.1152,0.9168
lzu,8,0,15,223.72,84.17,159.145,0.8989
lzu,8,0,16,222.92,84.55,149.9311,0.8782
lzu,8,0,17,222.205,85.035,141.655,0.8543
lzu,8,0,18,221.59,85.61,132.0893,0.8355
lzu,8,0,19,220.56,87.495,115.4634,3.4889
lzu,8,0,20,218.905,90.89,116.4389,4.0652
lzu,9,0,0,262.13,102.06,112.2033,2.117
lzu,9,0,1,250.29,95.0,26.4151,27.3338
lzu,9,0,2,237.815,88.805,26.0764,0.5233
lzu,9,0,3,234.105,86.99,26.0682,7.7371
lzu,9,0,4,229.985,86.62,115.8715,2.9563
lzu,9,0,5,233.13,89.32,19.8737,8.06
lzu,10,0,0,226.17,265.05,28.1625,2.2459
lzu,10,0,1,219.24,276.33,116.7007,26.4393
lzu,10,0,2,210.75,293.19,116.7915,11.3146
lzu,10,0,3,209.21,298.715,25.1879,2.2322
lzu,10,0,4,211.665,296.28,116.4073,6.498
lzu,10,0,5,215.06,289.45,116.4481,8.7565
lzu,11,0,0,292.405,142.63,116.7859,4.6377
lzu,11,0,1,293.11,140.545,2.526,0.6807
lzu,11,0,2,292.44,140.465,11.1407,0.6727
lzu,11,0,3,291.8,140.29,19.5369,0.6579
lzu,11,0,4,291.28,140.01,38.9898,0.5404
lzu,11,0,5,290.885,139.65,45.7646,0.5304
lzu,11,0,6,290.045,140.74,117.0997,2.8757
lzu,11,0,7,289.575,142.04,6.1669,0.3721
lzu,11,0,8,289.935,142.105,14.4247,0.3614
lzu,11,0,9,290.295,142.285,36.1186,0.458
lzu,11,0,10,290.64,142.58,45.0,0.4526
lzu,11,0,11,290.93,142.915,53.3924,0.436
lzu,11,0,12,291.155,143.28,63.4331,0.4248
lzu,11,0,13,291.305,143.675,74.9837,0.4245
lzu,11,0,14,291.38,144.085,84.4267,0.412
lzu,12,0,0,286.66,143.665,115.1957,0.1879
lzu,12,0,1,286.78,143.41,115.2019,0.3758
lzu,12,0,2,286.975,143.08,125.71,0.3941
lzu,12,0,3,287.235,142.78,136.0061,0.4031
lzu,12,0,4,287.55,142.525,145.9212,0.4105
lzu,12,0,5,287.91,142.315,153.4349,0.4249
lzu,12,0,6,288.305,142.16,163.6869,0.4272
lzu,12,0,7,288.73,142.065,170.959,0.4455
lzu,12,0,8,289.17,142.025,178.6968,0.4401
lzu,12,0,9,290.045,140.74,117.0997,2.8757
lzu,12,0,10,290.51,139.21,52.767,0.628
lzu,12,0,11,290.185,138.685,63.851,0.6127
lzu,12,0,12,289.96,138.12,72.7597,0.6073
lzu,12,0,13,289.84,137.535,84.1935,0.593
lzu,12,0,14,288.79,136.715,27.2348,2.2944
lzu,12,0,15,287.17,137.42,116.0031,2.7371
lzu,12,0,16,285.95,139.875,116.8453,2.7459
lzu,12,0,17,284.95,141.87,116.2659,1.7173
lzu,13,0,0,165.62,176.79,20.5559,2.3923
lzu,13,0,1,162.325,182.805,108.675,13.5853
lzu,13,0,2,161.275,189.66,20.4722,2.4017
lzu,14,0,0,150.65,207.78,108.4328,0.1265
lzu,14,0,1,150.69,207.7,135.0,0.0566
lzu,14,0,2,150.875,207.5,132.5118,0.4884
lzu,14,0,3,151.24,207.17,143.128,0.5
lzu,14,0,4,151.67,206.895,151.4772,0.5236
