airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
mcc,0,compound,,UNLABELED,41.1,526.92,304.75,61.08,263.65,465.84,122818.7193,17912.8779,4936.481,172.925,294.0,0.566,817,16,0,1,rgb,207,207,207,0,none,,,,0.0,66.6617,3.5247,89.8706,150.5504,0.0,594.0,387.36,0.0,92126.5552
mcc,1,path,,UNLABELED,150.63,486.28,172.24,462.64,21.61,23.64,510.8604,510.8604,90.5,161.435,474.46,0.9141,5,1,0,0,none,,,,1,rgb,0,0,0,0.39,120.8282,1.4649,90.0,23.64,0.0,594.0,387.36,0.0,510.8604
mcc,2,path,,UNLABELED,18.04,549.11,369.32,44.72,351.28,504.39,177182.1276,177182.1276,1711.34,193.68,296.915,0.6964,5,1,0,0,none,,,,1,rgb,0,0,0,0.39,102.133,2.2278,90.0,504.39,0.0,594.0,387.36,0.0,177182.1276
mcc,3,path,,UNLABELED,268.94,426.04,280.04,414.87,11.1,11.17,123.987,121.6159,33.0921,274.49,420.455,0.9937,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,43.3734,1.0137,0.7791,11.031,0.0,594.0,387.36,0.0,121.6159
mcc,4,path,,UNLABELED,51.19,181.84,60.48,172.98,9.29,8.86,82.3096,81.0488,26.8008,55.835,177.41,1.0485,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,0.2232,1.1002,0.435,9.2203,0.0,594.0,387.36,0.0,81.0488
mcc,5,path,,UNLABELED,128.36,102.94,133.19,91.56,4.83,11.38,54.9654,52.9975,27.3024,130.775,97.25,0.4244,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,90.7093,5.8275,90.7598,11.311,0.0,594.0,387.36,0.0,52.9975
mcc,6,path,,UNLABELED,98.1,119.73,104.22,111.15,6.12,8.58,52.5095,52.5095,23.28,101.16,115.44,0.7133,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,90.0,1.9655,90.0,8.58,0.0,594.0,387.36,0.0,52.5095
mcc,7,path,,UNLABELED,155.02,114.83,163.67,84.06,8.65,30.77,266.1607,262.4731,69.9707,159.345,99.445,0.2811,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,89.7582,12.953,89.8696,30.7701,0.0,594.0,387.36,0.0,262.4731
mcc,8,path,,UNLABELED,154.88,79.45,163.6,48.68,8.72,30.77,268.3146,264.6275,70.1907,159.24,64.065,0.2834,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,89.9192,12.7408,89.7393,30.7703,0.0,594.0,387.36,0.0,264.6275
mcc,9,path,,UNLABELED,89.09,104.53,94.86,89.18,5.77,15.35,88.5695,88.5695,36.47,91.975,96.855,0.3759,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,90.0,7.0773,90.0,15.35,0.0,594.0,387.36,0.0,88.5695
mcc,10,path,,UNLABELED,270.82,193.66,275.36,187.03,4.54,6.63,30.1003,30.1003,17.8,273.09,190.345,0.6848,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,90.0,2.1326,90.0,6.63,0.0,594.0,387.36,0.0,30.1003
mcc,11,path,,UNLABELED,270.53,184.29,275.07,177.66,4.54,6.63,30.1003,30.1003,17.8,272.8,180.975,0.6848,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,90.0,2.1326,90.0,6.63,0.0,594.0,387.36,0.0,30.1003
mcc,12,path,,UNLABELED,263.39,143.44,269.45,137.53,6.06,5.91,35.8146,17.0919,13.6714,266.42,140.485,1.0254,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,42.3136,2.4112,42.1689,5.154,0.0,594.0,387.36,0.0,17.0919
mcc,13,path,,UNLABELED,271.75,136.01,282.42,130.75,10.67,5.26,56.1244,56.1244,26.6,277.085,133.38,2.0285,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,0.0,4.1149,0.0,10.67,0.0,594.0,387.36,0.0,56.1244
