airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
mcf,0,path,,UNLABELED,203.37,463.391,208.258,458.488,4.888,4.903,23.9659,11.9363,10.1568,205.814,460.9395,0.9969,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,46.3259,1.3057,46.3277,3.6928,0.0,593.0,387.0,0.0,11.9363
mcf,1,path,,UNLABELED,192.538,448.588,197.547,443.573,5.009,5.015,25.1201,12.4412,10.9773,195.0425,446.0805,0.9988,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,45.3502,1.4786,45.3438,3.8899,0.0,593.0,387.0,0.0,12.4412
mcf,2,path,,UNLABELED,134.431,428.771,138.123,425.138,3.692,3.633,13.413,5.5721,8.837,136.277,426.9545,1.0162,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,136.1235,5.7593,136.1189,3.6572,0.0,593.0,387.0,0.0,5.5721
mcf,3,path,,UNLABELED,147.02,416.437,150.607,412.85,3.587,3.587,12.8666,5.058,8.7816,148.8135,414.6435,1.0,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,134.996,7.3983,135.0,3.7095,0.0,593.0,387.0,0.0,5.058
mcf,4,path,,UNLABELED,119.558,450.303,125.502,444.335,5.944,5.968,35.4738,17.7345,12.8379,122.53,447.319,0.996,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,132.4728,1.1998,132.4712,4.4074,0.0,593.0,387.0,0.0,17.7345
mcf,5,path,,UNLABELED,128.759,399.727,130.644,397.843,1.885,1.884,3.5513,1.7757,5.3302,129.7015,398.785,1.0005,5,1,0,1,rgb,0,0,0,0,none,,,,0.0,0.0,1.4013,44.9699,1.3329,0.0,593.0,387.0,0.0,1.7757
mcf,6,path,,UNLABELED,125.303,396.468,127.188,394.584,1.885,1.884,3.5513,1.7757,5.3302,126.2455,395.526,1.0005,5,1,0,1,rgb,0,0,0,0,none,,,,0.0,0.0,1.4013,44.9696,1.3329,0.0,593.0,387.0,0.0,1.7757
mcf,7,path,,UNLABELED,108.362,461.071,115.84,453.664,7.478,7.407,55.3895,13.7119,19.5279,112.101,457.3675,1.0096,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,135.3828,34.9329,135.3825,9.0024,0.0,593.0,387.0,0.0,13.7119
mcf,8,path,,UNLABELED,110.672,416.824,114.826,411.384,4.154,5.44,22.5978,11.0071,12.1574,112.749,414.104,0.7636,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,115.7497,5.043,115.7508,4.9717,0.0,593.0,387.0,0.0,11.0071
mcf,9,path,,UNLABELED,112.696,406.8798,116.6771,402.371,3.9811,4.5088,17.9499,17.9499,16.9798,114.6866,404.6254,0.883,5,1,0,1,rgb,0,0,0,0,none,,,,0.0,116.588,1.5208,90.0,4.5088,0.0,593.0,387.0,0.0,17.9499
mcf,10,path,,UNLABELED,124.376,372.5667,125.8264,371.177,1.4504,1.3897,2.0156,2.0156,5.6802,125.1012,371.8719,1.0437,5,1,0,1,rgb,0,0,0,0,none,,,,0.0,142.1945,1.4152,0.0,1.4504,0.0,593.0,387.0,0.0,2.0156
mcf,11,path,,UNLABELED,116.897,412.168,127.94,402.327,11.043,9.841,108.6742,31.0888,29.0459,122.4185,407.2475,1.1221,7,1,0,1,rgb,230,230,230,0,none,,,,0.0,41.6392,9.1899,45.3689,9.9923,0.0,593.0,387.0,0.0,48.6214
mcf,12,path,,UNLABELED,148.658,420.328,153.769,415.394,5.111,4.934,25.2177,11.8757,11.5747,151.2135,417.861,1.0359,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,139.012,2.7905,139.0053,4.4543,0.0,593.0,387.0,0.0,11.8757
mcf,13,path,,UNLABELED,180.425,432.645,182.842,430.132,2.417,2.513,6.0739,2.9477,5.6014,181.6335,431.3885,0.9618,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,50.6351,2.231,50.6451,2.099,0.0,593.0,387.0,0.0,2.9477
mcf,14,path,,UNLABELED,139.639,427.656,147.623,419.469,7.984,8.187,65.3649,32.4667,17.6948,143.631,423.5625,0.9752,6,1,0,1,rgb,230,230,230,0,none,,,,0.0,84.6084,1.5551,46.5853,5.1886,0.0,593.0,387.0,0.0,32.4667
mcf,15,path,,UNLABELED,119.881,355.028,127.052,344.934,7.171,10.094,72.384,20.3585,27.4195,123.4665,349.981,0.7104,10,1,0,1,rgb,230,230,230,0,none,,,,0.0,117.4472,8.9221,112.5863,9.0555,0.0,593.0,387.0,0.0,33.9571
mcf,16,path,,UNLABELED,98.184,451.22,164.745,387.224,66.561,63.996,4259.6382,1531.6015,182.641,131.4645,419.222,1.0401,29,1,0,1,rgb,230,230,230,0,none,,,,0.0,143.1283,6.2862,135.284,28.9571,0.0,593.0,387.0,0.0,1810.8774
mcf,17,path,,UNLABELED,231.359,224.172,275.282,186.113,43.923,38.059,1671.6652,267.9396,97.1929,253.3205,205.1425,1.1541,15,1,0,1,rgb,230,230,230,0,none,,,,0.0,140.8476,109.6396,139.6923,25.2314,0.0,593.0,387.0,0.0,272.8973
mcf,18,path,,UNLABELED,225.245,360.868,237.068,343.769,11.823,17.099,202.1614,182.3086,46.4825,231.1565,352.3185,0.6914,10,1,0,1,rgb,230,230,230,0,none,,,,0.0,115.876,1.8713,90.2834,12.1291,0.0,593.0,387.0,0.0,190.957
mcf,19,path,,UNLABELED,193.759,350.444,199.04,342.535,5.281,7.909,41.7675,16.0189,19.6822,196.3995,346.4895,0.6677,13,1,0,1,rgb,230,230,230,0,none,,,,0.0,95.6368,2.2314,135.1327,5.1951,0.0,593.0,387.0,0.0,21.3771
mcf,20,path,,UNLABELED,174.949,427.718,181.359,421.205,6.41,6.513,41.7484,20.6047,13.0156,178.154,424.4615,0.9842,8,1,0,1,rgb,230,230,230,0,none,,,,0.0,42.7975,2.6999,45.2277,5.1584,0.0,593.0,387.0,0.0,20.6215
mcf,21,path,,UNLABELED,173.277,412.518,223.347,359.404,50.07,53.114,2659.4175,271.6683,152.9594,198.312,385.961,0.9427,13,1,0,1,rgb,230,230,230,0,none,,,,0.0,43.4628,48.9527,45.5188,53.4184,0.0,593.0,387.0,0.0,646.4249
mcf,22,path,,UNLABELED,235.776,302.637,240.721,298.555,4.945,4.082,20.1855,8.1704,10.7703,238.2485,300.596,1.2114,9,1,0,1,rgb,230,230,230,0,none,,,,0.0,105.0942,4.1144,117.2132,3.6365,0.0,593.0,387.0,0.0,8.1704
mcf,23,path,,UNLABELED,118.782,366.391,128.192,358.515,9.41,7.876,74.1131,58.1249,23.7972,123.487,362.453,1.1948,12,1,0,1,rgb,230,230,230,0,none,,,,0.0,155.5678,1.8922,179.9086,6.897,0.0,593.0,387.0,0.0,63.1365
mcf,24,path,,UNLABELED,128.721,438.367,136.654,430.341,7.933,8.026,63.6703,31.5273,17.4399,132.6875,434.354,0.9884,6,1,0,1,rgb,230,230,230,0,none,,,,0.0,8.2628,1.4904,46.0731,5.2859,0.0,593.0,387.0,0.0,31.5752
mcf,25,path,,UNLABELED,99.312,458.581,105.572,452.242,6.26,6.339,39.6822,19.9221,16.3846,102.442,455.4115,0.9875,6,1,0,1,rgb,230,230,230,0,none,,,,0.0,137.3982,1.2579,135.6353,4.5279,0.0,593.0,387.0,0.0,19.9221
mcf,26,path,,UNLABELED,110.447,359.337,142.649,352.256,32.202,7.081,228.0222,116.1107,69.0238,126.548,355.7965,4.5477,21,1,0,1,rgb,230,230,230,0,none,,,,0.0,179.0021,26.9492,1.4194,10.2131,0.0,593.0,387.0,0.0,160.9448
mcf,27,path,,UNLABELED,224.989,440.815,242.099,407.81,17.11,33.005,564.7157,208.6129,77.9285,233.544,424.3125,0.5184,14,1,0,1,rgb,230,230,230,0,none,,,,0.0,92.6395,2.8061,134.6181,20.7951,0.0,593.0,387.0,0.0,297.3862
mcf,28,path,,UNLABELED,158.704,417.898,164.295,411.955,5.591,5.943,33.2272,24.8469,14.654,161.4995,414.9265,0.9408,9,1,0,1,rgb,230,230,230,0,none,,,,0.0,15.7725,2.0398,0.3104,4.9821,0.0,593.0,387.0,0.0,25.531
mcf,29,path,,UNLABELED,213.378,366.805,223.391,358.165,10.013,8.64,86.5123,73.0381,26.7063,218.3845,362.485,1.1589,18,1,0,1,rgb,230,230,230,0,none,,,,0.0,3.9542,2.3447,0.3106,7.1941,0.0,593.0,387.0,0.0,78.3342
mcf,30,path,,UNLABELED,197.463,356.176,203.21,349.988,5.747,6.188,35.5624,15.5939,19.9594,200.3365,353.082,0.9287,9,1,0,1,rgb,230,230,230,0,none,,,,0.0,50.2159,2.1775,0.2991,5.7471,0.0,593.0,387.0,0.0,22.1964
mcf,31,path,,UNLABELED,185.758,438.633,192.177,431.235,6.419,7.398,47.4878,23.9284,14.473,188.9675,434.934,0.8677,8,1,0,1,rgb,230,230,230,0,none,,,,0.0,35.1672,1.9101,45.2363,5.1407,0.0,593.0,387.0,0.0,23.9466
mcf,32,path,,UNLABELED,229.973,256.494,252.349,231.607,22.376,24.887,556.8722,435.9431,90.211,241.161,244.0505,0.8991,22,1,0,1,rgb,230,230,230,0,none,,,,0.0,116.7822,1.5126,90.452,17.2375,0.0,593.0,387.0,0.0,482.0986
mcf,33,path,,UNLABELED,149.268,509.629,280.214,374.736,130.946,134.893,17663.6963,3136.5613,396.7892,214.741,442.1825,0.9707,34,1,0,1,rgb,230,230,230,0,none,,,,0.0,47.7058,22.9508,45.0059,68.8439,0.0,593.0,387.0,0.0,4002.7118
mcf,34,path,,UNLABELED,191.021,460.577,226.144,427.822,35.123,32.755,1150.4541,453.6792,86.4265,208.5825,444.1995,1.0723,12,1,0,1,rgb,230,230,230,0,none,,,,0.0,36.2501,4.2485,45.0318,20.3802,0.0,593.0,387.0,0.0,494.8995
mcf,35,path,,UNLABELED,154.601,234.367,160.931,228.236,6.33,6.131,38.8093,14.5836,18.6708,157.766,231.3015,1.0325,9,1,0,1,rgb,230,230,230,0,none,,,,0.0,135.181,1.6392,139.9189,6.9517,0.0,593.0,387.0,0.0,19.4914
mcf,36,path,,UNLABELED,103.852,450.788,106.026,443.926,2.174,6.862,14.918,11.4527,14.6106,104.939,447.357,0.3168,6,1,0,1,rgb,230,230,230,0,none,,,,0.0,88.4005,6.837,90.3787,3.7831,0.0,593.0,387.0,0.0,11.838
mcf,37,path,,UNLABELED,170.317,242.151,192.247,218.688,21.93,23.463,514.5437,57.5962,62.9359,181.282,230.4195,0.9347,8,1,0,1,rgb,230,230,230,0,none,,,,0.0,133.1904,68.8826,139.8525,15.2972,0.0,593.0,387.0,0.0,87.4975
mcf,38,path,,UNLABELED,139.6,362.265,148.267,354.999,8.667,7.266,62.9744,31.0042,24.1282,143.9335,358.632,1.1928,13,1,0,1,rgb,230,230,230,0,none,,,,0.0,33.2279,3.0216,44.9532,4.3098,0.0,593.0,387.0,0.0,36.1226
mcf,39,path,,UNLABELED,221.18,438.422,225.363,361.64,4.183,76.782,321.179,138.0607,141.3951,223.2715,400.031,0.0545,17,1,0,1,rgb,230,230,230,0,none,,,,0.0,90.9964,640.6207,90.2153,31.6622,0.0,593.0,387.0,0.0,217.54
mcf,40,path,,UNLABELED,241.009,169.835,246.35,164.003,5.341,5.832,31.1487,11.4079,13.9451,243.6795,166.919,0.9158,4,1,0,1,rgb,230,230,230,0,none,,,,0.0,49.8133,10.2243,49.595,6.0461,0.0,593.0,387.0,0.0,11.4079
mcf,41,path,,UNLABELED,304.915,110.163,307.584,107.492,2.669,2.671,7.129,3.5906,5.6937,306.2495,108.8275,0.9992,4,1,0,1,rgb,230,230,230,0,none,,,,0.0,129.7777,1.0054,140.229,1.9087,0.0,593.0,387.0,0.0,3.5906
mcf,42,path,,UNLABELED,87.77,311.746,98.033,300.35,10.263,11.396,116.9571,26.8188,25.2195,92.9015,306.048,0.9006,8,1,0,1,rgb,230,230,230,0,none,,,,0.0,50.1139,22.4964,50.3298,7.6351,0.0,593.0,387.0,0.0,29.2943
mcf,43,path,,UNLABELED,225.896,220.953,227.925,216.262,2.029,4.691,9.518,5.1387,11.2067,226.9105,218.6075,0.4325,13,1,0,1,rgb,230,230,230,0,none,,,,0.0,90.2496,6.2916,90.3297,4.6911,0.0,593.0,387.0,0.0,6.2792
mcf,44,path,,UNLABELED,145.557,377.841,161.843,360.967,16.286,16.874,274.8098,39.1316,36.3123,153.7,369.404,0.9652,11,1,0,1,rgb,230,230,230,0,none,,,,0.0,45.2068,30.753,45.1967,18.742,0.0,593.0,387.0,0.0,61.7691
mcf,45,path,,UNLABELED,171.972,366.533,180.441,358.091,8.469,8.442,71.4954,33.4915,26.3074,176.2065,362.312,1.0032,17,1,0,1,rgb,230,230,230,0,none,,,,0.0,131.6968,3.2074,135.1363,10.1074,0.0,593.0,387.0,0.0,41.367
mcf,46,path,,UNLABELED,162.188,376.91,173.278,365.237,11.09,11.673,129.4536,27.3174,30.7952,167.733,371.0735,0.9501,11,1,0,1,rgb,230,230,230,0,none,,,,0.0,130.6108,32.1063,135.0379,7.4621,0.0,593.0,387.0,0.0,33.2466
mcf,47,path,,UNLABELED,244.928,174.142,250.5,168.627,5.572,5.515,30.7297,15.9779,15.8233,247.714,171.3845,1.0103,11,1,0,1,rgb,230,230,230,0,none,,,,0.0,148.1608,1.3928,139.3383,2.8883,0.0,593.0,387.0,0.0,18.457
mcf,48,path,,UNLABELED,114.76,295.763,168.734,245.789,53.974,49.974,2697.2966,141.8706,148.7017,141.747,270.776,1.08,28,1,0,1,rgb,230,230,230,0,none,,,,0.0,142.9309,59.9805,150.9854,29.2454,0.0,593.0,387.0,0.0,416.5092
mcf,49,path,,UNLABELED,166.413,246.876,171.88,241.115,5.467,5.761,31.4954,16.2737,16.4471,169.1465,243.9955,0.949,11,1,0,1,rgb,230,230,230,0,none,,,,0.0,115.6882,1.9243,123.1797,3.3,0.0,593.0,387.0,0.0,19.205
mcf,50,path,,UNLABELED,281.391,143.58,310.952,118.35,29.561,25.23,745.8245,71.6116,72.1388,296.1715,130.965,1.1717,12,1,0,1,rgb,230,230,230,0,none,,,,0.0,140.1644,251.2874,139.7544,18.1545,0.0,593.0,387.0,0.0,73.813
mcf,51,path,,UNLABELED,223.912,214.586,225.916,196.256,2.004,18.33,36.7333,35.2245,22.1232,224.914,205.421,0.1093,5,1,0,1,rgb,230,230,230,0,none,,,,0.0,90.1355,75.8317,90.421,10.2073,0.0,593.0,387.0,0.0,35.2245
mcf,52,path,,UNLABELED,223.622,308.149,225.882,221.787,2.26,86.362,195.1776,160.3339,168.3252,224.752,264.968,0.0262,9,1,0,1,rgb,230,230,230,0,none,,,,0.0,90.3933,1692.7649,90.2127,77.5935,0.0,593.0,387.0,0.0,166.1707
mcf,53,path,,UNLABELED,225.607,190.855,246.495,172.642,20.888,18.213,380.4334,49.2974,53.5571,236.051,181.7485,1.1469,6,1,0,1,rgb,230,230,230,0,none,,,,0.0,139.6277,121.2602,139.7495,13.0748,0.0,593.0,387.0,0.0,49.6839
mcf,54,path,,UNLABELED,222.425,361.642,225.273,353.773,2.848,7.869,22.4109,18.819,12.9629,223.849,357.7075,0.3619,14,1,0,1,rgb,230,230,230,0,none,,,,0.0,86.9844,9.4145,90.3053,3.19,0.0,593.0,387.0,0.0,19.964
mcf,55,path,,UNLABELED,96.138,317.847,103.579,310.057,7.441,7.79,57.9655,32.8794,21.1231,99.8585,313.952,0.9552,12,1,0,1,rgb,230,230,230,0,none,,,,0.0,47.0407,2.0835,45.4848,3.7627,0.0,593.0,387.0,0.0,35.9027
mcf,56,path,,UNLABELED,220.768,196.3,226.818,189.366,6.05,6.934,41.9507,21.1231,19.1801,223.793,192.833,0.8725,13,1,0,1,rgb,230,230,230,0,none,,,,0.0,126.6796,2.813,139.2197,6.3905,0.0,593.0,387.0,0.0,24.4496
mcf,57,path,,UNLABELED,187.005,351.564,218.614,320.183,31.609,31.381,991.9217,78.9722,83.8769,202.8095,335.8735,1.0073,9,1,0,1,rgb,230,230,230,0,none,,,,0.0,135.4924,323.8543,135.1416,32.3325,0.0,593.0,387.0,0.0,79.658
mcf,58,path,,UNLABELED,103.556,454.606,105.272,452.41,1.716,2.196,3.7683,1.4693,4.7586,104.414,453.508,0.7814,4,1,0,1,rgb,230,230,230,0,none,,,,0.0,50.8103,8.3273,48.6218,2.2163,0.0,593.0,387.0,0.0,1.4693
mcf,59,path,,UNLABELED,103.807,454.193,109.039,450.778,5.232,3.415,17.8673,10.1809,12.3285,106.423,452.4855,1.5321,12,1,0,1,rgb,230,230,230,0,none,,,,0.0,22.9108,2.7684,176.4863,2.7902,0.0,593.0,387.0,0.0,11.3702
mcf,60,path,,UNLABELED,110.233,303.308,117.595,294.471,7.362,8.837,65.058,35.1125,23.6169,113.914,298.8895,0.8331,12,1,0,1,rgb,230,230,230,0,none,,,,0.0,108.4175,2.5749,119.7161,5.9148,0.0,593.0,387.0,0.0,40.0586
mcf,61,path,,UNLABELED,217.284,321.91,227.155,308.077,9.871,13.833,136.5457,55.5702,39.6438,222.2195,314.9935,0.7136,23,1,0,1,rgb,230,230,230,0,none,,,,0.0,113.0697,5.2597,135.3406,5.1146,0.0,593.0,387.0,0.0,84.5577
mcf,62,path,,UNLABELED,83.531,301.601,89.238,294.625,5.707,6.976,39.8121,15.3364,11.2935,86.3845,298.113,0.8181,4,1,0,1,rgb,230,230,230,0,none,,,,0.0,54.6374,8.8744,51.1828,6.7625,0.0,593.0,387.0,0.0,15.3364
mcf,63,path,,UNLABELED,115.823,353.933,168.37,301.371,52.547,52.562,2761.9751,131.9841,146.1569,142.0965,327.652,0.9997,5,1,0,1,rgb,230,230,230,0,none,,,,0.0,44.8968,1181.5146,45.3326,72.2272,0.0,593.0,387.0,0.0,155.7404
mcf,64,path,,UNLABELED,265.238,160.349,279.871,144.428,14.633,15.921,232.9718,83.7746,45.9726,272.5545,152.3885,0.9191,11,1,0,1,rgb,230,230,230,0,none,,,,0.0,127.9467,5.8279,139.5847,17.6748,0.0,593.0,387.0,0.0,99.0901
mcf,65,path,,UNLABELED,227.767,310.969,238.389,300.589,10.622,10.38,110.2565,23.9156,29.4947,233.078,305.779,1.0233,17,1,0,1,rgb,230,230,230,0,none,,,,0.0,137.6973,27.4118,135.4439,7.5755,0.0,593.0,387.0,0.0,30.4805
mcf,66,path,,UNLABELED,204.248,208.935,206.952,206.232,2.704,2.703,7.3089,3.6806,5.7958,205.6,207.5835,1.0004,4,1,0,1,rgb,230,230,230,0,none,,,,0.0,137.7615,1.0959,140.0577,1.9891,0.0,593.0,387.0,0.0,3.6806
mcf,67,path,,UNLABELED,148.248,357.996,166.1,355.952,17.852,2.044,36.4893,35.6474,37.6946,157.174,356.974,8.7339,6,1,0,1,rgb,230,230,230,0,none,,,,0.0,0.1936,54.3504,0.535,11.2445,0.0,593.0,387.0,0.0,35.7262
