airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
mcn,0,0,0,231.355,398.105,135.0,0.2687
mcn,0,0,1,231.16,398.105,43.532,0.2759
mcn,0,0,2,231.16,397.91,135.0,0.2828
mcn,0,0,3,231.355,397.91,46.468,0.2759
mcn,1,0,0,341.6,163.73,83.6609,0.7244
mcn,2,0,0,183.56,359.205,48.2961,17.5866
mcn,2,0,1,189.78,366.24,51.7888,1.1963
mcn,2,0,2,190.38,367.3,68.7029,1.2665
mcn,2,0,3,190.645,368.515,86.7944,1.252
mcn,2,0,4,190.54,369.725,103.4586,1.203
mcn,2,0,5,189.625,371.25,129.5045,2.4366
mcn,2,0,6,187.68,372.525,164.0223,2.434
mcn,2,0,7,182.26,372.86,0.0,8.5
mcn,2,0,8,178.005,372.85,63.4175,0.0224
mcn,2,0,9,177.3,372.775,5.3047,1.406
mcn,2,0,10,175.865,372.455,19.134,1.556
mcn,2,0,11,174.44,371.735,33.9762,1.6641
mcn,2,0,12,173.185,370.615,49.2193,1.73
mcn,2,0,13,172.26,369.175,65.3639,1.7272
mcn,2,0,14,171.765,367.57,80.6509,1.6621
mcn,2,0,15,171.7,365.98,95.1944,1.5463
mcn,2,0,16,172.0,364.545,109.0789,1.4073
mcn,2,0,17,172.235,363.865,108.4262,0.0316
mcn,2,0,18,174.975,358.245,116.0104,12.4734
mcn,2,0,19,176.38,351.15,48.2473,3.9945
mcn,2,0,20,169.36,362.74,113.5098,28.528
mcn,2,0,21,163.38,375.82,0.0,0.58
mcn,2,0,22,163.345,386.48,88.6297,21.3261
mcn,2,0,23,170.445,397.18,0.3348,13.6902
mcn,2,0,24,177.47,397.685,68.8386,0.9972
mcn,2,0,25,179.02,398.19,1.6724,2.7412
mcn,2,0,26,180.675,397.725,119.4389,1.1597
mcn,2,0,27,194.005,397.47,1.0979,26.0948
mcn,2,0,28,207.05,396.965,90.0,1.51
mcn,2,0,29,210.975,396.21,0.0,7.85
mcn,2,0,30,214.9,397.11,90.0,1.8
mcn,2,0,31,223.08,398.01,0.0,16.36
mcn,2,0,32,234.035,398.01,0.0,5.55
mcn,2,0,33,236.81,405.61,90.0,15.2
mcn,2,0,34,235.98,413.21,0.0,1.66
mcn,2,0,35,235.15,414.87,90.0,3.32
mcn,2,0,36,235.98,416.53,0.0,1.66
mcn,2,0,37,236.81,417.035,90.0,1.01
mcn,2,0,38,237.6,417.54,0.0,1.58
mcn,2,0,39,238.39,407.56,90.0,19.96
mcn,2,0,40,238.425,397.47,107.6482,0.2309
mcn,2,0,41,238.495,397.25,107.6482,0.2309
mcn,2,0,42,238.675,397.035,144.0922,0.3581
mcn,2,0,43,238.965,396.895,166.4286,0.2983
mcn,2,0,44,239.255,396.895,13.5721,0.2983
mcn,2,0,45,239.47,397.0,44.9969,0.198
mcn,2,0,46,239.615,397.145,45.0029,0.2121
mcn,2,0,47,239.725,397.29,63.4325,0.1565
mcn,2,0,48,239.76,397.47,90.0,0.22
mcn,2,0,49,239.76,406.115,90.0,17.07
mcn,2,0,50,243.76,414.65,0.0,8.0
mcn,2,0,51,247.725,409.285,89.6262,10.7302
mcn,2,0,52,246.825,403.885,2.3173,1.7314
mcn,2,0,53,245.96,400.855,90.0,5.99
mcn,2,0,54,249.92,397.86,0.0,7.92
mcn,2,0,55,253.88,386.37,90.0,22.98
mcn,2,0,56,238.535,374.88,0.0,30.69
mcn,2,0,57,222.58,374.435,36.111,1.5101
