airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
mcw,0,path,,UNLABELED,283.38,295.25,283.38,295.13,0.0,0.12,0.0,0.0,0.24,283.38,295.19,0.0,3,1,0,1,rgb,207,207,207,0,none,,,,0.0,90.0,1000000.0,90.0,0.12,0.0,594.0,387.36,0.0,0.0
mcw,1,path,,UNLABELED,157.98,498.19,283.38,226.7,125.4,271.49,34044.8431,1608.8063,750.4156,220.68,362.445,0.4619,80,1,0,1,rgb,207,207,207,0,none,,,,0.0,77.203,11.2308,90.087,177.8502,0.0,594.0,387.36,0.0,15820.3676
mcw,2,path,,UNLABELED,31.9,310.63,204.42,147.47,172.52,163.16,28148.3645,1699.3193,637.1864,118.16,229.05,1.0574,133,1,0,1,rgb,207,207,207,0,none,,,,0.0,139.6448,42.4804,145.1308,134.1078,0.0,594.0,387.36,0.0,7629.763
mcw,3,path,,UNLABELED,192.54,164.54,217.22,97.88,24.68,66.66,1645.1684,505.3594,282.2996,204.88,131.21,0.3702,86,1,0,1,rgb,207,207,207,0,none,,,,0.0,81.5372,6.6566,88.6153,19.0356,0.0,594.0,387.36,0.0,1065.2856
mcw,4,path,,UNLABELED,168.55,192.13,298.34,124.29,129.79,67.84,8804.9537,851.6454,410.7382,233.445,158.21,1.9132,93,1,0,1,rgb,207,207,207,0,none,,,,0.0,154.0946,31.1316,145.1256,43.8806,0.0,594.0,387.36,0.0,3172.5443
mcw,5,path,,UNLABELED,201.46,139.55,242.77,86.44,41.31,53.11,2193.9746,495.5706,347.0161,222.115,112.995,0.7778,120,1,0,1,rgb,207,207,207,0,none,,,,0.0,118.6286,2.1361,145.1674,12.658,0.0,594.0,387.36,0.0,1488.5582
mcw,6,path,,UNLABELED,140.15,191.81,146.05,176.76,5.9,15.05,88.7948,76.4728,30.0617,143.1,184.285,0.392,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,88.2723,7.3594,87.743,14.9816,0.0,594.0,387.36,0.0,76.6961
mcw,7,path,,UNLABELED,137.58,181.14,140.32,176.84,2.74,4.3,11.782,11.0002,9.4134,138.95,178.99,0.6372,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,86.9069,2.7578,87.849,4.263,0.0,594.0,387.36,0.0,11.0002
mcw,8,path,,UNLABELED,202.54,145.5,209.63,136.56,7.09,8.94,63.3844,11.7384,25.4388,206.085,141.03,0.7931,20,1,0,1,rgb,207,207,207,0,none,,,,0.0,118.6978,9.798,145.8651,7.5025,0.0,594.0,387.36,0.0,22.1518
mcw,9,path,,UNLABELED,228.72,91.81,235.2,86.24,6.48,5.57,36.0936,19.306,18.4313,231.96,89.025,1.1634,7,1,0,1,rgb,207,207,207,0,none,,,,0.0,28.9494,1.7477,179.7259,6.2701,0.0,594.0,387.36,0.0,27.3651
mcw,10,path,,UNLABELED,236.66,92.51,243.98,85.74,7.32,6.77,49.5564,25.8413,31.3423,240.32,89.125,1.0812,11,1,0,1,rgb,207,207,207,0,none,,,,0.0,36.2474,1.6368,0.9751,7.051,0.0,594.0,387.36,0.0,47.442
mcw,11,path,,UNLABELED,136.3,176.85,150.15,170.18,13.85,6.67,92.3797,72.2334,35.0006,143.225,173.515,2.0765,10,1,0,1,rgb,0,0,0,0,none,,,,0.0,4.9125,3.5246,179.0364,8.9213,0.0,594.0,387.36,0.0,80.6729
mcw,12,path,,UNLABELED,201.94,112.22,205.95,97.88,4.01,14.34,57.5033,52.4233,21.6537,203.945,105.05,0.2796,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,88.5651,15.2316,88.7999,14.3231,0.0,594.0,387.36,0.0,52.4233
mcw,13,path,,UNLABELED,228.8,91.74,232.73,87.68,3.93,4.06,15.9558,15.815,11.8501,230.765,89.71,0.968,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,83.1554,1.0779,89.8583,4.04,0.0,594.0,387.36,0.0,15.815
mcw,14,path,,UNLABELED,239.08,91.33,243.98,86.91,4.9,4.42,21.658,21.3221,13.7211,241.53,89.12,1.1086,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,177.6847,1.203,179.7659,4.9,0.0,594.0,387.36,0.0,21.3221
mcw,15,compound,,UNLABELED,121.61,356.63,124.76,351.78,3.15,4.85,15.2775,5.7317,22.446,123.185,354.205,0.6495,98,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.0002,2.6298,74.9817,0.4245,0.0,594.0,387.36,0.0,12.1943
mcw,16,path,,UNLABELED,125.57,352.46,126.25,351.78,0.68,0.68,0.4624,0.353,2.1208,125.91,352.12,1.0,17,1,0,1,rgb,0,0,0,0,none,,,,0.0,89.4956,1.0976,12.0943,0.1432,0.0,594.0,387.36,0.0,0.353
mcw,17,path,,UNLABELED,127.63,356.46,128.94,351.86,1.31,4.6,6.026,2.6724,11.5921,128.285,354.16,0.2848,7,1,0,1,rgb,0,0,0,0,none,,,,0.0,95.2382,23.0276,90.0,4.6,0.0,594.0,387.36,0.0,4.3084
mcw,18,compound,,UNLABELED,130.79,356.47,132.86,354.4,2.07,2.07,4.2849,2.408,10.0275,131.825,355.435,1.0,34,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.0725,1.1219,10.7846,0.4275,0.0,594.0,387.36,0.0,3.3609
mcw,19,path,,UNLABELED,134.96,356.63,141.43,351.69,6.47,4.94,31.9618,9.0333,33.0822,138.195,354.16,1.3097,11,1,0,1,rgb,0,0,0,0,none,,,,0.0,153.1347,1.2617,67.9712,5.1457,0.0,594.0,387.36,0.0,22.2296
mcw,20,compound,,UNLABELED,92.31,363.0,96.73,358.17,4.42,4.83,21.3486,5.978,22.3264,94.52,360.585,0.9151,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.2601,1.2394,114.5868,5.3116,0.0,594.0,387.36,0.0,10.6743
mcw,21,path,,UNLABELED,97.2,362.98,101.2,357.98,4.0,5.0,20.0,7.4636,27.5151,99.2,360.48,0.8,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,67.6247,1.7603,133.053,4.9951,0.0,594.0,387.36,0.0,19.18
mcw,22,path,,UNLABELED,102.08,362.98,106.08,357.98,4.0,5.0,20.0,7.4643,27.5151,104.08,360.48,0.8,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,67.5825,1.7601,132.969,4.9882,0.0,594.0,387.36,0.0,19.18
mcw,23,path,,UNLABELED,106.88,362.76,110.29,358.08,3.41,4.68,15.9588,6.0934,22.135,108.585,360.42,0.7286,51,1,0,1,rgb,0,0,0,0,none,,,,0.0,105.4495,1.3736,90.0,2.9,0.0,594.0,387.36,0.0,14.7568
mcw,24,compound,,UNLABELED,110.63,363.0,115.06,358.17,4.43,4.83,21.3969,5.9962,22.3465,112.845,360.585,0.9172,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.3937,1.2342,114.6848,5.3158,0.0,594.0,387.36,0.0,10.6985
