airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
mfr,0,0,0,266.89,294.045,132.2743,0.7433
mfr,0,0,1,266.365,294.55,140.0901,0.717
mfr,0,0,2,265.8,294.965,147.466,0.688
mfr,0,0,3,265.205,295.29,155.3437,0.6712
mfr,0,0,4,264.585,295.515,164.9005,0.6525
mfr,0,0,5,263.95,295.64,172.8736,0.645
mfr,0,0,6,263.31,295.66,3.5772,0.6412
mfr,0,0,7,262.67,295.575,11.4822,0.6531
mfr,0,0,8,262.045,295.39,21.4765,0.6555
mfr,0,0,9,256.51,293.945,14.2165,10.7905
mfr,0,0,10,242.055,288.765,22.6794,19.9962
mfr,0,0,11,232.02,286.855,112.6094,4.2138
mfr,0,0,12,235.49,290.28,19.0751,9.0573
mfr,0,0,13,252.57,296.64,20.8694,27.3974
mfr,1,0,0,280.68,117.58,23.9632,1.1819
mfr,1,0,1,276.805,115.855,24.0023,7.3014
mfr,1,0,2,272.575,116.59,111.9571,4.7872
mfr,1,0,3,273.1,118.955,5.8306,2.8548
mfr,1,0,4,276.945,120.84,35.6605,5.9693
mfr,2,0,0,272.575,116.59,111.9571,4.7872
mfr,2,0,1,273.44,114.36,18.4262,0.0632
mfr,2,0,2,272.995,114.185,21.6829,0.8932
mfr,2,0,3,272.155,113.91,14.511,0.878
mfr,2,0,4,271.3,113.74,7.9433,0.8683
mfr,2,0,5,270.435,113.675,0.6592,0.8701
mfr,2,0,6,269.57,113.72,173.3672,0.8658
mfr,2,0,7,268.715,113.87,166.7588,0.8732
mfr,2,0,8,267.87,114.12,160.3468,0.892
mfr,2,0,9,267.045,114.47,153.7189,0.9034
mfr,2,0,10,266.245,114.92,147.6691,0.9349
mfr,2,0,11,265.48,115.465,141.4343,0.9464
mfr,2,0,12,264.755,116.105,135.818,0.99
mfr,2,0,13,263.65,117.445,127.008,2.492
mfr,2,0,14,262.36,119.85,110.9555,3.0197
mfr,2,0,15,263.795,122.135,23.8953,4.3203
mfr,2,0,16,267.42,120.78,126.4981,5.5481
mfr,3,0,0,246.295,157.63,108.1622,4.6518
mfr,3,0,1,246.83,155.41,3.0112,0.3805
mfr,3,0,2,246.45,155.355,13.3238,0.3905
mfr,3,0,3,246.13,155.295,6.5814,0.2617
mfr,3,0,4,245.875,155.235,19.7981,0.2657
mfr,3,0,5,245.63,155.12,30.2601,0.2778
mfr,3,0,6,245.405,154.955,42.137,0.2832
mfr,3,0,7,245.205,154.74,51.631,0.3061
mfr,3,0,8,245.03,154.48,60.2568,0.3225
mfr,3,0,9,244.895,154.185,70.4631,0.3289
mfr,3,0,10,244.8,153.865,76.3734,0.3396
mfr,3,0,11,244.74,153.53,83.2887,0.3423
mfr,3,0,12,244.82,152.575,97.2603,1.5827
mfr,3,0,13,242.95,156.735,111.7215,10.6459
mfr,3,0,14,241.145,161.38,118.8107,0.6848
mfr,3,0,15,241.505,160.82,126.8704,0.65
mfr,3,0,16,241.92,160.33,133.7277,0.6365
mfr,3,0,17,242.38,159.915,142.3739,0.606
mfr,3,0,18,242.875,159.585,150.3753,0.5867
mfr,3,0,19,243.395,159.345,160.2774,0.563
mfr,3,0,20,243.935,159.205,170.7071,0.5573
mfr,3,0,21,244.485,159.16,0.0,0.55
mfr,3,0,22,244.91,159.24,28.0728,0.34
mfr,3,0,23,245.195,159.435,40.4248,0.3547
mfr,4,0,0,251.335,153.79,20.3331,3.9139
mfr,4,0,1,249.26,153.645,114.1612,1.1727
mfr,4,0,2,248.855,154.39,128.1565,0.5341
mfr,4,0,3,248.505,154.77,137.4206,0.5025
mfr,4,0,4,248.115,155.065,148.6263,0.4802
mfr,4,0,5,247.69,155.27,160.0166,0.4682
mfr,4,0,6,247.245,155.385,171.1572,0.4554
mfr,4,0,7,246.295,157.63,108.1625,4.6518
mfr,4,0,8,245.66,160.005,61.3897,0.3759
mfr,4,0,9,245.825,160.35,67.3801,0.39
mfr,4,0,10,245.95,160.725,75.6183,0.4026
mfr,4,0,11,246.025,161.125,83.0462,0.413
mfr,4,0,12,246.05,161.535,90.0,0.41
mfr,4,0,13,246.02,161.945,98.3252,0.4144
mfr,4,0,14,245.94,162.345,104.3817,0.4026
mfr,4,0,15,245.815,162.72,112.6199,0.39
mfr,4,0,16,245.585,163.325,110.0378,0.9048
mfr,4,0,17,247.63,164.51,19.0575,4.6552
mfr,4,0,18,249.925,164.405,96.2676,1.7404
mfr,5,0,0,251.335,153.79,20.3331,3.9139
mfr,5,0,1,253.94,152.255,109.1691,4.69
mfr,5,0,2,256.525,145.295,110.9322,10.1605
mfr,5,0,3,261.98,131.88,112.7745,18.8062
mfr,5,0,4,265.695,123.11,126.8671,0.25
mfr,5,0,5,263.795,122.135,23.8953,4.3203
mfr,5,0,6,258.43,130.085,111.0136,18.9074
mfr,5,0,7,254.035,141.945,108.3215,6.3941
mfr,5,0,8,252.515,146.295,111.387,2.8245
mfr,6,0,0,246.74,168.255,18.2085,5.6004
mfr,6,0,1,249.615,167.2,96.3564,3.8839
mfr,6,0,2,247.63,164.51,19.058,4.6551
mfr,7,0,0,252.71,171.88,35.5843,2.8527
mfr,7,0,1,250.54,173.87,109.7051,5.9908
mfr,7,0,2,250.865,176.825,5.7741,2.6836
mfr,7,0,3,254.54,178.705,36.7127,5.838
mfr,7,0,4,258.265,176.885,111.231,7.6492
mfr,8,0,0,250.54,173.87,109.7053,5.9908
mfr,8,0,1,250.455,170.265,35.6361,2.6946
mfr,8,0,2,249.38,169.305,96.5186,0.3523
mfr,8,0,3,246.74,168.255,18.2085,5.6004
mfr,8,0,4,242.045,172.875,110.3215,11.7194
mfr,8,0,5,242.12,179.1,19.0844,4.4654
mfr,8,0,6,245.44,178.11,125.1259,4.2059
mfr,9,0,0,213.7,250.27,22.0112,4.0556
mfr,9,0,1,211.73,249.84,105.2557,0.6841
mfr,9,0,2,211.505,250.445,116.1477,0.6127
mfr,9,0,3,211.21,250.97,122.6186,0.5936
mfr,9,0,4,210.86,251.43,132.1391,0.5664
mfr,9,0,5,210.46,251.81,141.0067,0.5404
mfr,9,0,6,210.025,252.11,149.9834,0.5197
mfr,9,0,7,209.56,252.32,161.5645,0.506
mfr,9,0,8,207.555,253.15,156.9779,3.8355
mfr,9,0,9,204.68,256.785,111.0441,6.1824
mfr,9,0,10,203.745,259.59,155.4318,0.3848
mfr,9,0,11,204.105,259.47,167.7973,0.3786
mfr,9,0,12,204.48,259.43,0.0,0.38
mfr,9,0,13,204.855,259.47,12.2027,0.3786
mfr,9,0,14,205.215,259.59,24.5682,0.3848
mfr,9,0,15,205.555,259.79,36.0261,0.408
mfr,9,0,16,205.87,260.06,44.9985,0.4243
mfr,9,0,17,206.15,260.395,54.9044,0.4522
mfr,9,0,18,206.38,260.79,64.5377,0.4652
mfr,9,0,19,206.56,261.23,70.8203,0.487
mfr,9,0,20,206.69,261.705,78.4652,0.5001
mfr,9,0,21,206.755,262.2,86.5665,0.5009
mfr,9,0,22,206.275,264.5,103.5751,4.2178
mfr,9,0,23,207.72,267.095,15.6919,4.0302
mfr,9,0,24,209.665,267.63,116.5301,0.0224
mfr,9,0,25,211.1,263.26,108.1585,9.177
mfr,10,0,0,213.7,250.27,22.0112,4.0556
mfr,10,0,1,226.56,222.615,111.1273,60.9253
mfr,10,0,2,240.16,188.04,113.0412,13.3881
mfr,10,0,3,243.505,180.855,125.2728,2.511
mfr,10,0,4,242.12,179.1,19.0844,4.4654
mfr,10,0,5,239.73,179.12,110.4722,1.6011
mfr,10,0,6,226.775,210.6,112.4144,66.4828
mfr,11,0,0,198.66,259.405,68.339,4.5514
mfr,11,0,1,201.52,260.605,155.6307,4.4352
mfr,11,0,2,203.555,259.68,146.3234,0.036
mfr,11,0,3,204.68,256.785,111.0441,6.1824
mfr,12,0,0,194.625,256.665,57.3401,0.4633
mfr,12,0,1,194.4,256.255,65.0561,0.4742
mfr,12,0,2,194.22,255.805,71.1998,0.4965
mfr,12,0,3,194.095,255.325,79.5925,0.4982
mfr,12,0,4,194.29,253.46,98.4269,3.2754
mfr,12,0,5,193.325,252.71,144.1712,2.9725
mfr,12,0,6,190.31,254.415,155.2347,3.9866
mfr,12,0,7,187.12,256.46,138.7555,3.6707
mfr,12,0,8,185.915,257.61,161.0756,0.37
mfr,12,0,9,186.27,257.535,175.2366,0.3612
mfr,12,0,10,186.63,257.54,6.3415,0.3622
mfr,12,0,11,186.985,257.625,20.3724,0.3734
mfr,12,0,12,187.325,257.785,29.9317,0.3808
mfr,12,0,13,187.64,258.015,41.9904,0.4036
mfr,12,0,14,187.92,258.31,50.9031,0.4123
mfr,12,0,15,188.16,258.665,60.5733,0.4478
