airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
mhk,0,0,0,148.815,486.535,37.5013,15.0629
mhk,0,0,1,157.22,487.825,126.4081,8.1883
mhk,0,0,2,157.125,482.645,36.7426,6.302
mhk,0,0,3,153.375,482.23,129.8055,3.827
mhk,0,0,4,151.66,483.89,158.806,1.0511
mhk,0,0,5,150.415,484.155,174.3269,1.5174
mhk,0,0,6,149.135,484.115,12.3551,1.0749
mhk,0,0,7,147.48,483.135,37.4335,2.8461
mhk,0,0,8,145.895,481.63,54.5899,1.5705
mhk,0,0,9,145.33,480.535,76.409,0.9362
mhk,0,0,10,145.275,479.025,92.9843,2.1129
mhk,1,0,0,100.215,153.845,140.0581,16.682
mhk,1,0,1,96.41,162.3,50.1218,8.0791
mhk,1,0,2,98.785,164.525,76.1951,1.8021
mhk,1,0,3,98.595,163.085,92.5337,1.1311
mhk,1,0,4,98.81,161.945,108.2853,1.2111
mhk,1,0,5,99.33,160.795,119.8523,1.3259
mhk,1,0,6,101.23,158.87,139.3085,4.1412
mhk,1,0,7,103.34,157.07,140.1945,1.4058
mhk,1,0,8,104.415,156.49,166.3419,1.1011
mhk,1,0,9,105.525,156.33,177.0135,1.1516
mhk,1,0,10,106.595,156.405,11.9756,1.012
mhk,1,0,11,107.76,156.82,24.8303,1.4765
mhk,1,0,12,109.645,158.45,47.3717,3.5881
mhk,1,0,13,111.53,160.63,52.079,2.1804
mhk,1,0,14,112.505,162.15,65.1974,1.4541
mhk,1,0,15,112.925,163.3,76.7916,1.0066
mhk,1,0,16,112.975,164.57,94.7635,1.5654
mhk,1,0,17,112.4,166.405,115.7996,2.3436
mhk,1,0,18,109.97,169.775,129.6714,6.0152
mhk,1,0,19,107.025,172.93,140.6651,2.6505
mhk,1,0,20,107.86,176.0,50.1691,5.8077
mhk,1,0,21,109.735,177.57,91.3019,1.3203
mhk,1,0,22,109.94,176.25,106.0598,1.3736
mhk,1,0,23,110.555,175.15,134.0066,1.2235
mhk,1,0,24,112.765,173.255,140.8156,4.6058
mhk,1,0,25,115.335,171.215,143.3061,1.958
mhk,1,0,26,116.92,170.375,162.32,1.6793
mhk,1,0,27,118.455,170.15,2.3372,1.4712
mhk,1,0,28,119.875,170.365,15.1133,1.4191
mhk,1,0,29,121.39,171.2,38.0653,2.1085
mhk,1,0,30,123.865,173.35,42.3602,4.4524
mhk,1,0,31,126.565,174.21,148.7576,2.4679
mhk,2,0,0,166.515,245.89,66.6443,1.4378
mhk,2,0,1,165.96,244.45,70.9067,1.6508
mhk,2,0,2,165.595,242.725,84.2593,1.8995
mhk,2,0,3,165.54,240.955,92.7758,1.652
mhk,2,0,4,165.71,239.545,102.5287,1.1985
mhk,2,0,5,166.51,238.335,136.9904,1.8325
mhk,2,0,6,168.555,236.655,142.5017,3.4662
mhk,2,0,7,170.495,235.295,151.6392,1.2841
mhk,2,0,8,171.87,234.935,176.115,1.6237
mhk,2,0,9,173.33,234.965,7.4509,1.3111
mhk,2,0,10,174.565,235.35,27.1497,1.3149
