airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
mib,0,0,0,238.1675,421.155,147.3911,0.7942
mib,0,0,1,238.3545,420.702,58.3185,0.5617
mib,0,0,2,238.2995,420.4005,145.9559,0.2233
mib,0,0,3,238.313,420.2125,57.8087,0.2966
mib,0,0,4,238.365,420.002,147.0219,0.3123
mib,0,0,5,237.8905,418.9735,57.3095,2.2422
mib,0,0,6,237.062,418.176,146.7862,0.5331
mib,0,0,7,236.4175,418.6005,146.5463,1.0104
mib,0,0,8,235.7785,419.0175,147.5109,0.5157
mib,0,0,9,236.191,420.094,56.1127,2.2599
mib,0,0,10,237.101,420.857,147.9952,0.6604
mib,1,0,0,238.3595,416.5395,179.8837,2.465
mib,1,0,1,239.5645,414.5405,89.211,3.9934
mib,1,0,2,238.712,412.549,179.6529,1.65
mib,1,0,3,237.892,412.6715,87.561,0.2352
mib,1,0,4,237.4235,412.785,0.4837,0.947
mib,1,0,5,236.9595,413.7915,89.4614,2.0211
mib,1,0,6,236.9765,415.6285,89.4801,1.6531
mib,2,0,0,214.352,404.225,57.5642,3.4716
mib,2,0,1,215.3585,405.692,1.5224,0.1511
mib,2,0,2,215.494,405.7045,9.9248,0.1218
mib,2,0,3,215.603,405.7265,13.2042,0.1007
mib,2,0,4,215.6695,405.7555,45.0,0.0495
mib,2,0,5,216.367,406.7545,55.2851,2.3881
mib,2,0,6,218.032,409.1935,55.9489,3.5183
mib,2,0,7,219.4925,411.3475,55.6784,1.6867
mib,2,0,8,220.168,412.333,55.3147,0.7029
mib,2,0,9,220.8425,413.3065,55.2704,1.6658
mib,2,0,10,222.1055,415.13,55.306,2.7706
mib,2,0,11,225.1845,414.715,145.8448,5.5358
mib,2,0,12,228.1325,414.13,55.8418,2.342
mib,2,0,13,226.502,416.6525,145.8245,5.5311
mib,2,0,14,224.402,418.463,53.8138,0.6369
mib,2,0,15,225.0655,419.394,54.7976,1.6497
mib,2,0,16,225.7405,420.367,56.288,0.7189
mib,2,0,17,226.1,420.8975,55.3492,0.5628
mib,2,0,18,226.9105,420.6495,143.605,1.6163
mib,2,0,19,230.318,418.336,146.3676,6.6226
mib,2,0,20,234.4525,415.5315,144.8336,3.3701
mib,2,0,21,234.3335,412.418,55.0726,5.2276
mib,2,0,22,229.522,405.4735,55.3784,11.6694
mib,2,0,23,224.244,397.857,55.1106,6.8637
mib,2,0,24,220.93,393.0845,55.3879,4.7569
mib,2,0,25,219.04,390.2955,57.0477,1.9818
mib,2,0,26,217.51,390.1385,145.7597,2.3975
mib,2,0,27,215.1535,391.7675,145.0459,3.3321
mib,2,0,28,211.672,394.187,145.3036,5.1473
mib,2,0,29,209.8675,396.119,56.2959,1.1227
mib,2,0,30,210.1725,396.742,92.3861,0.3123
mib,2,0,31,210.53,397.4125,54.7206,1.2605
mib,2,0,32,210.7575,398.0195,145.8754,0.3298
mib,2,0,33,210.4855,398.203,146.1161,0.3264
mib,2,0,34,211.438,399.849,55.0204,3.7957
mib,2,0,35,212.745,401.724,55.613,0.7755
mib,3,0,0,166.912,358.738,145.5312,5.5092
mib,3,0,1,169.5075,356.957,145.6223,0.7863
mib,3,0,2,169.5135,356.2275,57.8884,1.1983
mib,3,0,3,169.014,355.833,148.0233,0.4268
mib,3,0,4,168.749,355.8145,57.4304,0.3121
mib,3,0,5,171.032,354.068,145.6943,5.7309
mib,3,0,6,172.962,351.821,55.3382,1.5367
mib,3,0,7,171.072,349.0785,55.454,5.1246
mib,3,0,8,168.762,345.7265,55.3829,3.0171
mib,3,0,9,165.6645,346.0495,145.0741,5.4653
mib,3,0,10,163.165,347.8005,144.2434,0.6383
mib,3,0,11,160.6265,349.5915,144.859,5.5751
mib,3,0,12,159.926,353.4915,55.4772,5.5723
mib,4,0,0,126.189,234.3395,59.3217,2.1011
mib,4,0,1,125.593,233.4565,161.1301,0.1268
mib,4,0,2,125.4715,233.4935,164.9863,0.1273
mib,4,0,3,125.348,233.5225,168.604,0.1265
mib,4,0,4,123.784,232.596,32.0121,3.5427
mib,4,0,5,122.18,231.59,33.2996,0.2441
mib,4,0,6,121.972,231.464,29.1031,0.2426
mib,4,0,7,120.027,231.6455,172.549,3.7093
mib,4,0,8,118.1115,231.9635,134.6282,0.2178
mib,4,0,9,117.9645,232.124,130.3468,0.2178
mib,4,0,10,117.846,232.2605,131.8918,0.1438
mib,4,0,11,120.5545,234.878,42.9278,7.5292
mib,4,0,12,123.5145,237.3315,151.4976,0.4631
mib,4,0,13,123.9135,237.097,147.6156,0.463
mib,5,0,0,124.207,288.0785,145.289,3.9074
mib,5,0,1,125.3925,286.405,53.1461,1.4022
mib,5,0,2,122.684,282.514,55.5075,8.0806
mib,5,0,3,120.0375,278.62,57.5591,1.3366
mib,5,0,4,117.4205,279.5775,146.0328,5.4464
mib,5,0,5,116.653,283.2505,55.2779,5.2353
mib,5,0,6,118.894,286.487,55.3462,2.638
mib,5,0,7,119.9445,288.007,55.363,1.0574
mib,5,0,8,120.8045,289.245,55.1324,1.9574
mib,6,0,0,160.58,320.675,55.3657,5.1167
mib,6,0,1,161.8215,322.917,147.1884,0.5057
mib,6,0,2,163.0715,325.164,55.2731,5.1346
mib,6,0,3,164.7415,327.1395,147.0474,0.4946
mib,6,0,4,165.7315,328.1365,55.3338,2.7514
mib,6,0,5,166.7345,329.593,55.8447,0.7855
mib,6,0,6,167.3015,329.683,145.8547,0.8374
mib,6,0,7,167.566,329.325,56.3099,0.2957
mib,6,0,8,167.5445,329.1635,147.5307,0.1434
mib,6,0,9,169.379,331.722,55.6631,6.2901
mib,6,0,10,171.0885,334.358,148.8423,0.1508
mib,6,0,11,170.9695,334.3105,57.7889,0.2045
mib,6,0,12,170.6125,334.4135,147.935,0.7139
mib,6,0,13,171.3065,336.1305,56.8808,3.6476
mib,6,0,14,173.1215,338.8255,54.967,2.8517
mib,6,0,15,174.918,341.392,55.0436,3.4139
mib,6,0,16,176.8885,344.226,55.3308,3.4896
mib,6,0,17,181.5265,343.1365,145.2974,8.8686
mib,6,0,18,186.3675,339.7855,145.3424,2.9068
mib,6,0,19,190.1085,337.199,145.3393,6.1894
mib,6,0,20,192.112,334.592,57.3846,2.0111
mib,6,0,21,191.31,333.339,57.3639,0.9642
mib,6,0,22,190.8275,333.0725,147.914,0.5252
mib,6,0,23,186.4715,327.247,55.2796,14.5144
mib,6,0,24,166.1955,297.849,55.4379,56.91
mib,6,0,25,148.999,272.896,55.2618,3.6994
mib,6,0,26,145.9265,272.749,145.7761,4.8824
mib,6,0,27,140.7,276.357,145.1352,7.8196
mib,6,0,28,135.4435,280.0005,145.4886,4.972
mib,6,0,29,134.405,282.8675,55.2978,3.5482
mib,6,0,30,138.642,288.9665,55.1852,11.3044
mib,6,0,31,146.008,299.599,55.3651,14.5651
mib,6,0,32,152.9575,309.639,55.228,9.856
mib,6,0,33,157.255,315.852,55.5172,5.2529
mib,7,0,0,269.5005,468.096,81.9116,0.2061
mib,7,0,1,269.952,467.5885,138.9714,1.2355
mib,7,0,2,271.6565,467.584,17.941,2.6036
mib,7,0,3,273.488,466.101,107.4717,3.9502
mib,7,0,4,271.4445,463.4155,16.9093,5.5113
mib,7,0,5,267.327,461.8795,26.3789,3.3063
