airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
mkt,0,0,0,113.025,136.7,49.1847,0.2907
mkt,0,0,1,113.2,136.94,58.3941,0.3053
mkt,0,0,2,113.36,137.385,75.7491,0.65
mkt,0,0,3,113.385,138.015,99.9042,0.6395
mkt,0,0,4,113.175,138.58,121.7993,0.5883
mkt,0,0,5,111.55,140.425,132.6645,4.3382
mkt,0,0,6,109.845,142.395,122.0741,0.8851
mkt,0,0,7,109.535,143.24,99.0666,0.9519
mkt,0,0,8,109.575,144.175,76.1085,0.958
mkt,0,0,9,109.955,144.995,53.2604,0.886
mkt,0,0,10,116.255,150.84,42.2925,16.317
mkt,0,0,11,125.055,153.325,132.6183,8.1671
mkt,0,0,12,120.96,143.995,42.6765,18.6618
mkt,0,0,13,113.515,137.13,42.7091,1.5923
mkt,1,0,0,149.735,186.285,152.5187,5.8727
mkt,1,0,1,145.12,186.96,18.691,4.2438
mkt,1,0,2,142.44,185.72,39.8892,1.7464
mkt,1,0,3,137.93,181.625,42.6319,10.4387
mkt,1,0,4,132.035,176.31,40.8984,5.4374
mkt,1,0,5,128.03,172.635,44.1805,5.4382
mkt,1,0,6,125.775,170.39,48.9306,0.9285
mkt,1,0,7,124.88,169.05,59.2065,2.3049
mkt,1,0,8,124.08,166.845,80.1939,2.466
mkt,1,0,9,124.13,164.42,102.1271,2.4753
mkt,1,0,10,125.015,162.245,122.93,2.2994
mkt,1,0,11,124.695,160.595,35.9371,2.3343
mkt,1,0,12,123.335,160.29,137.5217,1.1254
mkt,1,0,13,122.42,160.99,147.3802,1.1873
mkt,1,0,14,120.73,161.655,163.8323,2.478
mkt,1,0,15,118.305,161.875,5.7795,2.4826
mkt,1,0,16,116.52,161.52,22.6949,1.1923
mkt,1,0,17,115.495,160.99,32.2745,1.1236
mkt,1,0,18,112.9,159.055,37.6405,5.3545
mkt,1,0,19,109.985,156.755,39.9114,2.0729
mkt,1,0,20,108.43,155.39,42.6466,2.0665
mkt,1,0,21,94.25,142.345,42.6108,36.4689
mkt,1,0,22,80.4,129.075,65.068,2.0401
