airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
mls,0,path,,UNLABELED,133.76,418.45,144.01,406.81,10.25,11.64,119.31,35.7572,40.1189,138.885,412.63,0.8806,21,1,0,1,rgb,207,207,207,0,none,,,,0.0,158.3495,1.2225,43.8349,7.999,0.0,594.0,387.36,0.0,64.4128
mls,1,path,,UNLABELED,246.68,307.3,259.42,298.81,12.74,8.49,108.1624,22.4213,31.7125,253.05,303.055,1.5006,21,1,0,1,rgb,207,207,207,0,none,,,,0.0,36.4974,26.0598,38.4538,5.6442,0.0,594.0,387.36,0.0,32.2608
mls,2,path,,UNLABELED,39.87,157.21,52.36,142.77,12.49,14.44,180.3557,77.074,25.9617,46.115,149.99,0.865,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,122.2528,3.5099,128.42,8.207,0.0,594.0,387.36,0.0,83.201
mls,3,path,,UNLABELED,246.21,315.8,259.69,307.26,13.48,8.54,115.1193,24.9886,33.3127,252.95,311.53,1.5785,19,1,0,1,rgb,207,207,207,0,none,,,,0.0,145.9276,15.705,136.1125,7.2846,0.0,594.0,387.36,0.0,47.1252
mls,4,path,,UNLABELED,259.69,343.22,342.45,230.0,82.76,113.22,9370.0884,1102.2965,433.0668,301.07,286.61,0.731,93,1,0,1,rgb,207,207,207,0,none,,,,0.0,91.553,5.1724,0.2084,57.7404,0.0,594.0,387.36,0.0,5261.7802
mls,5,compound,,UNLABELED,279.13,415.89,282.28,411.03,3.15,4.86,15.309,5.7307,22.4344,280.705,413.46,0.6481,98,2,0,1,rgb,0,0,0,0,none,,,,0.0,89.9959,2.6331,105.0163,0.4245,0.0,594.0,387.36,0.0,12.1792
mls,6,path,,UNLABELED,283.01,411.72,283.69,411.03,0.68,0.69,0.4692,0.3557,2.1291,283.35,411.375,0.9855,17,1,0,1,rgb,0,0,0,0,none,,,,0.0,90.212,1.1306,53.967,0.136,0.0,594.0,387.36,0.0,0.3557
mls,7,path,,UNLABELED,285.0,415.72,286.32,411.12,1.32,4.6,6.0719,2.7183,11.612,285.66,413.42,0.287,7,1,0,1,rgb,0,0,0,0,none,,,,0.0,95.2763,22.6608,90.0,4.6,0.0,594.0,387.36,0.0,4.3543
mls,8,compound,,UNLABELED,288.09,415.73,290.16,413.65,2.07,2.08,4.3056,2.4066,10.0333,289.125,414.69,0.9952,34,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.1036,1.1173,10.7842,0.4276,0.0,594.0,387.36,0.0,3.3622
mls,9,path,,UNLABELED,292.12,415.89,298.59,410.95,6.47,4.94,31.9618,9.0042,33.0946,295.355,413.42,1.3097,11,1,0,1,rgb,0,0,0,0,none,,,,0.0,153.117,1.2644,67.9712,5.1457,0.0,594.0,387.36,0.0,22.2297
mls,10,compound,,UNLABELED,250.36,422.25,254.79,417.42,4.43,4.83,21.3969,5.9903,22.3405,252.575,419.835,0.9172,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,89.888,1.2328,65.3152,5.3158,0.0,594.0,387.36,0.0,10.6984
mls,11,path,,UNLABELED,255.18,422.24,259.19,417.23,4.01,5.01,20.0902,7.517,27.5692,257.185,419.735,0.8004,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,67.6042,1.7609,133.053,4.9951,0.0,594.0,387.36,0.0,19.2681
mls,12,path,,UNLABELED,260.0,422.24,264.0,417.23,4.0,5.01,20.04,7.4867,27.5523,262.0,419.735,0.7984,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,67.7473,1.7657,133.053,4.9951,0.0,594.0,387.36,0.0,19.22
mls,13,path,,UNLABELED,264.72,422.02,268.13,417.34,3.41,4.68,15.9588,6.0967,22.1481,266.425,419.68,0.7286,51,1,0,1,rgb,0,0,0,0,none,,,,0.0,105.5359,1.3773,90.0,2.91,0.0,594.0,387.36,0.0,14.7685
mls,14,compound,,UNLABELED,268.4,422.25,272.83,417.42,4.43,4.83,21.3969,5.9962,22.3466,270.615,419.835,0.9172,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.394,1.2342,114.6848,5.3158,0.0,594.0,387.36,0.0,10.6984
mls,15,path,,UNLABELED,273.22,422.02,275.22,417.42,2.0,4.6,9.2,3.474,13.2,274.22,419.72,0.4348,7,1,0,1,rgb,0,0,0,0,none,,,,0.0,100.4862,10.2887,90.0,4.6,0.0,594.0,387.36,0.0,6.337
