airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
mot,0,path,,UNLABELED,216.82,299.13,353.75,280.72,136.93,18.41,2520.8817,453.2954,349.5983,285.285,289.925,7.4378,66,1,0,1,rgb,207,207,207,0,none,,,,0.0,3.328,98.354,179.7398,68.2707,0.0,594.0,387.36,0.0,1661.4191
mot,1,path,,UNLABELED,86.97,265.55,92.54,265.55,5.57,0.0,0.0,0.0,5.57,89.755,265.55,0.0,2,1,0,0,none,,,,1,rgb,207,207,207,0.39,0.0,1000000.0,0.0,5.57,0.0,594.0,387.36,0.0,0.0
mot,2,path,,UNLABELED,92.54,267.85,92.54,265.55,0.0,2.3,0.0,0.0,2.3,92.54,266.7,0.0,2,1,0,0,none,,,,1,rgb,207,207,207,0.39,90.0,1000000.0,90.0,2.3,0.0,594.0,387.36,0.0,0.0
mot,3,path,,UNLABELED,92.54,267.85,96.1,267.85,3.56,0.0,0.0,0.0,3.56,94.32,267.85,0.0,2,1,0,0,none,,,,1,rgb,207,207,207,0.39,0.0,1000000.0,0.0,3.56,0.0,594.0,387.36,0.0,0.0
mot,4,path,,UNLABELED,96.1,268.42,96.1,267.85,0.0,0.57,0.0,0.0,0.57,96.1,268.135,0.0,2,1,0,0,none,,,,1,rgb,207,207,207,0.39,90.0,1000000.0,90.0,0.57,0.0,594.0,387.36,0.0,0.0
mot,5,path,,UNLABELED,96.1,268.42,98.12,268.42,2.02,0.0,0.0,0.0,2.02,97.11,268.42,0.0,2,1,0,0,none,,,,1,rgb,207,207,207,0.39,0.0,1000000.0,0.0,2.02,0.0,594.0,387.36,0.0,0.0
mot,6,path,,UNLABELED,98.12,268.42,98.12,266.8,0.0,1.62,0.0,0.0,1.62,98.12,267.61,0.0,2,1,0,0,none,,,,1,rgb,207,207,207,0.39,90.0,1000000.0,90.0,1.62,0.0,594.0,387.36,0.0,0.0
mot,7,path,,UNLABELED,106.35,265.11,107.76,263.69,1.41,1.42,2.0022,0.0,2.0011,107.055,264.4,0.993,2,1,0,0,none,,,,1,rgb,207,207,207,0.39,45.2027,1000000.0,45.2027,2.0011,0.0,594.0,387.36,0.0,0.0
mot,8,path,,UNLABELED,107.76,265.11,111.94,260.93,4.18,4.18,17.4724,0.0,5.9114,109.85,263.02,1.0,2,1,0,0,none,,,,1,rgb,207,207,207,0.39,135.0001,1000000.0,135.0001,5.9114,0.0,594.0,387.36,0.0,0.0
mot,9,path,,UNLABELED,98.12,266.9,106.35,263.69,8.23,3.21,26.4182,4.2038,9.0032,102.235,265.295,2.5639,3,1,0,0,none,,,,1,rgb,207,207,207,0.39,159.2964,63.5705,147.051,4.5045,0.0,594.0,387.36,0.0,4.2038
