airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
mto,0,compound,,UNLABELED,29.9,383.27,341.3,219.1,311.4,164.17,51122.5364,4885.849,2117.3736,185.6,301.185,1.8968,521,4,0,1,rgb,207,207,207,0,none,,,,0.0,176.0672,3.5161,155.0525,119.3015,0.0,594.0,387.36,0.0,46393.4714
mto,1,path,,UNLABELED,225.7,389.57,229.84,345.26,4.14,44.31,183.4434,43.0824,45.9823,227.77,367.415,0.0934,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,94.2991,2037.3303,94.0744,43.7706,0.0,594.0,387.36,0.0,44.034
mto,2,compound,,UNLABELED,198.27,441.36,201.42,436.51,3.15,4.85,15.2776,5.7287,22.4374,199.845,438.935,0.6495,98,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.0142,2.6312,105.0183,0.4245,0.0,594.0,387.36,0.0,12.1817
mto,3,path,,UNLABELED,202.15,437.19,202.83,436.51,0.68,0.68,0.4624,0.352,2.1179,202.49,436.85,1.0,17,1,0,1,rgb,0,0,0,0,none,,,,0.0,90.0,1.1337,143.9722,0.136,0.0,594.0,387.36,0.0,0.352
mto,4,path,,UNLABELED,204.14,441.19,205.45,436.59,1.31,4.6,6.026,2.6724,11.5921,204.795,438.89,0.2848,7,1,0,1,rgb,0,0,0,0,none,,,,0.0,95.2382,23.0277,90.0,4.6,0.0,594.0,387.36,0.0,4.3084
mto,5,compound,,UNLABELED,207.23,441.2,209.3,439.13,2.07,2.07,4.2849,2.4075,10.0291,208.265,440.165,1.0,34,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.0724,1.1234,10.7846,0.4275,0.0,594.0,387.36,0.0,3.3609
mto,6,path,,UNLABELED,211.25,441.36,217.72,436.42,6.47,4.94,31.9618,9.0181,33.0758,214.485,438.89,1.3097,11,1,0,1,rgb,0,0,0,0,none,,,,0.0,153.2204,1.2653,112.0289,5.1457,0.0,594.0,387.36,0.0,22.2296
mto,7,compound,,UNLABELED,169.5,447.73,173.93,442.89,4.43,4.84,21.4411,5.9858,22.377,171.715,445.31,0.9153,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,89.8147,1.2385,65.3601,5.3248,0.0,594.0,387.36,0.0,10.7206
mto,8,path,,UNLABELED,174.32,447.71,178.32,442.7,4.0,5.01,20.04,7.4874,27.5525,176.32,445.205,0.7984,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,67.7082,1.7662,132.8908,4.9956,0.0,594.0,387.36,0.0,19.22
mto,9,path,,UNLABELED,179.13,447.71,183.14,442.7,4.01,5.01,20.0901,7.517,27.5693,181.135,445.205,0.8004,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,67.6074,1.7616,132.9747,5.0024,0.0,594.0,387.36,0.0,19.2681
