airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
mui,0,path,,UNLABELED,261.164,359.312,300.53,347.886,39.366,11.426,449.7957,0.0,40.9907,280.847,353.599,3.4453,2,1,0,0,none,,,,1,rgb,0,0,0,0.6,163.8146,1000000.0,163.8146,40.9907,0.0,593.0,387.0,0.0,0.0
mui,1,compound,,UNLABELED,289.57,217.048,292.597,212.605,3.027,4.443,13.449,2.5694,13.2812,291.0835,214.8265,0.6813,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,88.8623,33.8004,90.0,4.238,0.0,593.0,387.0,0.0,3.1119
mui,2,path,,UNLABELED,291.331,217.935,295.704,211.564,4.373,6.371,27.8603,0.3167,9.0068,293.5175,214.7495,0.6864,8,1,0,1,rgb,0,0,0,0,none,,,,0.0,89.9371,189.8298,89.8623,4.151,0.0,593.0,387.0,0.0,1.0309
mui,3,path,,UNLABELED,296.533,217.047,300.221,212.431,3.688,4.616,17.0237,6.358,20.9509,298.377,214.739,0.799,8,1,0,1,rgb,0,0,0,0,none,,,,0.0,78.842,1.5655,132.9755,4.6033,0.0,593.0,387.0,0.0,16.3249
mui,4,path,,UNLABELED,302.909,218.031,306.571,212.606,3.662,5.425,19.8662,2.5041,13.545,304.74,215.3185,0.675,10,1,0,1,rgb,0,0,0,0,none,,,,0.0,119.8796,2.9973,51.1085,2.9705,0.0,593.0,387.0,0.0,7.3162
mui,5,compound,,UNLABELED,306.139,217.061,309.198,212.606,3.059,4.455,13.6278,4.3772,18.3428,307.6685,214.8335,0.6866,15,2,0,1,rgb,0,0,0,0,none,,,,0.0,84.154,2.3547,56.0929,4.6124,0.0,593.0,387.0,0.0,7.076
mui,6,path,,UNLABELED,311.845,216.843,313.926,212.605,2.081,4.238,8.8193,3.7491,14.067,312.8855,214.724,0.491,10,1,0,1,rgb,0,0,0,0,none,,,,0.0,74.6848,3.8399,90.0,4.238,0.0,593.0,387.0,0.0,7.1011
mui,7,path,,UNLABELED,314.503,217.471,317.25,211.89,2.747,5.581,15.331,2.5639,12.2447,315.8765,214.6805,0.4922,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,66.5918,184.6958,66.6401,5.9192,0.0,593.0,387.0,0.0,2.5639
mui,8,compound,,UNLABELED,318.069,216.96,321.094,212.514,3.025,4.446,13.4492,4.7651,17.5311,319.5815,214.737,0.6804,19,3,0,1,rgb,0,0,0,0,none,,,,0.0,89.0381,6.596,90.0,4.237,0.0,593.0,387.0,0.0,5.4989
mui,9,path,,UNLABELED,321.072,217.471,323.819,211.89,2.747,5.581,15.331,2.5639,12.2447,322.4455,214.6805,0.4922,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,66.5918,184.6958,66.6401,5.9192,0.0,593.0,387.0,0.0,2.5639
mui,10,path,,UNLABELED,324.167,217.0,330.131,212.448,5.964,4.552,27.1481,7.6581,27.3072,327.149,214.724,1.3102,10,1,0,1,rgb,0,0,0,0,none,,,,0.0,177.831,1.0696,111.9812,4.7395,0.0,593.0,387.0,0.0,18.8832
mui,11,path,,UNLABELED,330.42,217.471,333.167,211.89,2.747,5.581,15.331,2.5639,12.2447,331.7935,214.6805,0.4922,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,66.5918,184.6958,66.6401,5.9192,0.0,593.0,387.0,0.0,2.5639
mui,12,path,,UNLABELED,333.602,216.843,336.174,212.605,2.572,4.238,10.9001,3.2796,9.853,334.888,214.724,0.6069,8,1,0,1,rgb,0,0,0,0,none,,,,0.0,89.9926,3.3821,90.0,3.767,0.0,593.0,387.0,0.0,7.0898
mui,13,compound,,UNLABELED,272.3,223.534,275.141,219.081,2.841,4.453,12.651,4.6127,18.6322,273.7205,221.3075,0.638,16,2,0,1,rgb,0,0,0,0,none,,,,0.0,104.5586,6.6088,90.0,4.237,0.0,593.0,387.0,0.0,7.0779
mui,14,path,,UNLABELED,275.113,221.896,279.35,219.003,4.237,2.893,12.2577,4.1028,16.9509,277.2315,220.4495,1.4646,10,1,0,1,rgb,0,0,0,0,none,,,,0.0,0.041,1.3175,116.0624,3.0568,0.0,593.0,387.0,0.0,8.2583
mui,15,path,,UNLABELED,279.386,221.749,282.289,217.591,2.903,4.158,12.0707,3.4735,12.4056,280.8375,219.67,0.6982,8,1,0,1,rgb,0,0,0,0,none,,,,0.0,73.1347,4.4375,62.6248,4.6823,0.0,593.0,387.0,0.0,7.2411
mui,16,compound,,UNLABELED,284.012,223.476,287.731,219.003,3.719,4.473,16.635,1.143,17.7118,285.8715,221.2395,0.8314,18,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.0002,110.3612,87.6691,4.4017,0.0,593.0,387.0,0.0,2.7442
mui,17,path,,UNLABELED,287.981,223.319,291.042,219.003,3.061,4.316,13.2113,3.5261,13.2793,289.5115,221.161,0.7092,6,1,0,1,rgb,0,0,0,0,none,,,,0.0,67.4695,3.5777,58.4504,5.0646,0.0,593.0,387.0,0.0,7.433
mui,18,path,,UNLABELED,291.541,221.1216,292.7963,220.729,1.2553,0.3926,0.4929,0.4929,3.2959,292.1686,220.9253,3.1971,5,1,0,1,rgb,0,0,0,0,none,,,,0.0,176.7039,10.5768,0.0,1.2553,0.0,593.0,387.0,0.0,0.4929
mui,19,path,,UNLABELED,293.587,224.507,297.248,219.082,3.661,5.425,19.8609,2.5054,13.5444,295.4175,221.7945,0.6748,10,1,0,1,rgb,0,0,0,0,none,,,,0.0,119.8765,2.9981,51.1355,2.9706,0.0,593.0,387.0,0.0,7.3173
mui,20,path,,UNLABELED,296.944,223.319,301.32,217.514,4.376,5.805,25.4028,0.3375,13.7961,299.132,220.4165,0.7538,17,1,0,1,rgb,0,0,0,0,none,,,,0.0,61.8347,3.5203,59.8588,2.7961,0.0,593.0,387.0,0.0,6.9359
mui,21,path,,UNLABELED,133.208,461.697,136.269,457.46,3.061,4.237,12.9695,5.5805,20.166,134.7385,459.5785,0.7224,12,1,0,1,rgb,0,0,0,0,none,,,,0.0,89.9997,2.1204,90.0,4.237,0.0,593.0,387.0,0.0,12.9695
mui,22,compound,,UNLABELED,136.768,461.917,140.848,457.461,4.08,4.456,18.1805,5.0932,20.5942,138.808,459.689,0.9156,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.1813,1.2372,65.4012,4.9008,0.0,593.0,387.0,0.0,9.0903
mui,23,path,,UNLABELED,141.426,461.901,145.114,457.285,3.688,4.616,17.0238,6.3581,20.9509,143.27,459.593,0.799,8,1,0,1,rgb,0,0,0,0,none,,,,0.0,78.8419,1.5655,132.9754,4.6033,0.0,593.0,387.0,0.0,16.3249
mui,24,path,,UNLABELED,145.348,462.738,149.923,456.758,4.575,5.98,27.3586,1.3152,18.5842,147.6355,459.748,0.7651,20,1,0,1,rgb,0,0,0,0,none,,,,0.0,18.939,3.7899,35.6417,4.2268,0.0,593.0,387.0,0.0,7.5516
mui,25,compound,,UNLABELED,150.231,461.917,154.311,457.461,4.08,4.456,18.1805,5.0932,20.5942,152.271,459.689,0.9156,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.1813,1.2372,65.4012,4.9008,0.0,593.0,387.0,0.0,9.0903
mui,26,compound,,UNLABELED,154.889,461.914,157.73,457.46,2.841,4.454,12.6537,4.6127,18.6321,156.3095,459.687,0.6379,16,2,0,1,rgb,0,0,0,0,none,,,,0.0,104.5588,6.6088,90.0,4.237,0.0,593.0,387.0,0.0,7.0779
mui,27,path,,UNLABELED,157.191,462.631,161.362,456.561,4.171,6.07,25.3179,1.3812,12.5911,159.2765,459.596,0.6871,23,1,0,1,rgb,0,0,0,0,none,,,,0.0,56.0131,5.2429,28.5564,2.7028,0.0,593.0,387.0,0.0,5.2611
mui,28,path,,UNLABELED,273.622,193.478,278.29,188.921,4.668,4.557,21.2722,7.0614,26.5797,275.956,191.1995,1.0244,12,1,0,1,rgb,0,0,0,0,none,,,,0.0,89.7971,1.2717,101.0046,4.5629,0.0,593.0,387.0,0.0,17.1911
mui,29,path,,UNLABELED,278.966,193.2362,279.5157,188.999,0.5497,4.2372,2.3293,2.3293,9.5739,279.2409,191.1176,0.1297,5,1,0,1,rgb,0,0,0,0,none,,,,0.0,91.2593,61.1696,90.0,4.2372,0.0,593.0,387.0,0.0,2.3293
