airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
mvn,0,0,0,128.905,356.38,30.5415,5.3526
mvn,0,0,1,127.155,354.04,119.5241,2.2525
mvn,0,0,2,129.12,352.715,166.2509,2.9032
mvn,0,0,3,131.595,352.075,164.5172,2.2102
mvn,0,0,4,133.255,351.52,156.3964,1.2987
mvn,0,0,5,134.7,350.745,148.7891,1.9877
mvn,1,0,0,138.715,362.17,31.2311,6.9818
mvn,1,0,1,142.34,364.275,24.7472,1.4094
mvn,1,0,2,143.575,364.7,12.3245,1.2181
mvn,1,0,3,144.765,364.745,171.87,1.2021
mvn,1,0,4,145.875,364.445,157.3402,1.1162
mvn,1,0,5,146.985,363.805,144.4627,1.4624
mvn,1,0,6,148.305,362.315,124.245,2.5767
mvn,1,0,7,155.595,349.815,119.8608,26.3711
mvn,1,0,8,168.985,326.605,120.0973,27.2199
mvn,1,0,9,180.37,306.765,119.4841,18.5297
mvn,1,0,10,185.445,298.06,128.8232,1.643
mvn,1,0,11,186.47,297.125,149.9538,1.1783
mvn,1,0,12,187.365,296.785,173.3336,0.7752
mvn,1,0,13,188.155,296.765,3.5314,0.8115
mvn,1,0,14,186.36,294.945,39.9845,5.7425
mvn,1,0,15,184.29,293.6,75.4261,1.0332
mvn,1,0,16,184.42,294.44,90.0,0.68
mvn,1,0,17,184.335,295.205,101.3097,0.8668
mvn,1,0,18,182.8,298.19,119.5274,5.8843
mvn,1,0,19,177.725,307.065,119.8572,14.5629
mvn,1,0,20,169.115,321.825,120.5529,19.6131
mvn,1,0,21,157.775,341.365,119.8032,25.5723
mvn,1,0,22,149.03,356.64,119.7596,9.6301
mvn,1,0,23,146.175,361.375,129.9578,1.4481
mvn,1,0,24,145.325,362.145,150.8193,0.8819
mvn,1,0,25,144.64,362.4,172.4053,0.6053
mvn,1,0,26,143.955,362.4,5.9316,0.7741
mvn,1,0,27,142.975,362.06,26.7575,1.3327
mvn,1,0,28,140.63,360.65,32.3864,4.1447
mvn,1,0,29,138.54,359.07,54.1178,1.1602
mvn,1,0,30,138.16,358.215,84.0684,0.7741
mvn,1,0,31,138.075,357.705,70.2019,0.2657
mvn,1,0,32,138.095,356.86,95.1581,1.4459
mvn,2,0,0,213.375,209.875,30.6076,5.5189
mvn,2,0,1,210.395,209.675,116.6602,2.6967
mvn,2,0,2,210.9,214.325,72.1407,7.2388
mvn,3,0,0,271.125,319.115,128.7446,7.398
mvn,3,0,1,267.81,323.365,126.2264,3.3842
mvn,3,0,2,266.645,325.115,113.198,0.8377
mvn,3,0,3,266.67,326.025,70.1047,1.1167
mvn,3,0,4,281.275,338.655,40.0219,37.6469
mvn,3,0,5,319.995,371.065,39.8762,63.3412
mvn,3,0,6,338.16,398.875,129.2873,19.3932
mvn,3,0,7,328.89,403.76,39.9313,8.1637
mvn,3,0,8,327.185,401.415,10.9227,2.9026
mvn,3,0,9,329.54,401.58,173.2544,1.873
mvn,3,0,10,331.405,400.92,149.5346,2.1695
mvn,3,0,11,334.695,397.63,130.6787,7.226
mvn,3,0,12,337.49,394.12,119.7449,1.7737
mvn,3,0,13,338.04,392.525,97.5947,1.6646
mvn,3,0,14,337.765,390.825,66.2508,1.9119
mvn,3,0,15,332.5,385.28,43.7403,13.509
mvn,3,0,16,323.065,376.88,39.3134,11.7747
mvn,3,0,17,317.635,372.875,17.4473,1.8344
mvn,3,0,18,315.605,372.655,177.2737,2.3126
mvn,3,0,19,313.685,373.095,153.2852,1.7128
mvn,3,0,20,310.34,376.555,129.9975,8.028
mvn,3,0,21,306.99,380.78,123.805,2.768
mvn,3,0,22,305.81,383.015,110.7008,2.3198
mvn,3,0,23,303.905,382.845,40.0123,3.9039
mvn,3,0,24,303.33,380.94,144.7578,2.2529
mvn,3,0,25,307.54,376.005,127.517,10.8047
mvn,3,0,26,310.995,370.79,100.0603,1.889
mvn,3,0,27,311.16,369.145,90.0,1.43
mvn,3,0,28,310.665,367.44,63.4351,2.2137
mvn,3,0,29,308.965,365.245,45.0,3.4083
mvn,3,0,30,287.35,347.025,39.8166,53.1443
mvn,3,0,31,254.655,319.69,40.0319,32.0888
mvn,3,0,32,241.6,308.93,29.7451,1.7737
mvn,3,0,33,240.005,308.49,0.0,1.65
mvn,3,0,34,238.58,308.82,151.189,1.3695
mvn,3,0,35,237.045,310.415,126.4694,3.1461
mvn,3,0,36,234.465,313.6,130.589,5.0566
mvn,3,0,37,231.78,316.835,128.3395,3.3531
mvn,3,0,38,230.41,318.865,114.7754,1.575
mvn,3,0,39,229.925,320.185,104.37,1.2491
mvn,3,0,40,226.185,317.79,39.9233,9.3493
mvn,3,0,41,223.375,314.55,162.7929,1.6226
mvn,3,0,42,225.03,313.98,159.4448,1.8797
mvn,3,0,43,226.84,313.595,176.615,1.8633
mvn,3,0,44,228.87,313.375,171.4696,2.2246
mvn,3,0,45,230.735,312.88,156.6658,1.6663
mvn,3,0,46,232.545,311.4,132.261,3.1078
mvn,3,0,47,234.575,308.55,120.0886,3.9295
mvn,3,0,48,235.67,306.08,98.1301,1.5556
mvn,3,0,49,235.45,304.43,69.4436,1.8797
mvn,3,0,50,234.63,303.005,48.0419,1.4658
mvn,3,0,51,228.38,297.685,39.6585,14.9637
mvn,3,0,52,213.62,285.335,40.0862,23.5271
mvn,3,0,53,203.745,277.265,29.4972,2.0106
mvn,3,0,54,202.1,276.55,15.9455,1.6016
mvn,3,0,55,200.725,276.385,174.8063,1.215
mvn,3,0,56,199.355,276.825,153.2847,1.7128
mvn,3,0,57,198.04,277.975,125.7142,1.8844
mvn,3,0,58,195.57,281.98,120.6508,7.5323
mvn,3,0,59,193.54,286.1,97.125,1.7737
mvn,3,0,60,193.54,287.855,82.8347,1.7638
mvn,3,0,61,193.735,289.71,85.0425,1.9674
mvn,3,0,62,189.06,286.705,39.9356,12.4158
mvn,3,0,63,185.465,282.875,7.5785,2.3505
mvn,3,0,64,187.615,282.865,170.4909,1.9974
mvn,3,0,65,189.535,282.37,160.5598,1.983
mvn,3,0,66,191.13,281.49,140.1944,1.7183
mvn,3,0,67,192.775,279.46,123.6455,3.5556
mvn,3,0,68,194.86,276.0,119.0545,4.5301
mvn,3,0,69,196.065,273.365,99.1083,1.3267
mvn,3,0,70,196.065,271.94,82.2341,1.5543
mvn,3,0,71,195.575,270.51,59.7441,1.5282
