airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
ndz,0,0,0,186.4615,255.376,88.8499,0.5481
ndz,0,0,1,192.542,254.855,177.676,12.182
ndz,0,0,2,198.851,260.1045,87.6767,11.002
ndz,0,0,3,198.263,265.7,173.0403,1.634
ndz,1,0,0,182.33,251.824,42.7708,11.2713
ndz,1,0,1,186.203,249.243,87.6408,12.8269
ndz,1,0,2,184.7885,244.654,122.3129,4.3046
ndz,1,0,3,182.862,246.837,154.8702,1.7143
ndz,2,0,0,196.7315,209.483,87.5934,90.3297
ndz,2,0,1,188.749,164.6135,177.596,12.1827
ndz,2,0,2,184.559,209.994,87.594,90.3296
ndz,3,0,0,266.599,262.665,177.8983,115.3456
ndz,3,0,1,209.1815,270.6745,87.8965,11.797
ndz,3,0,2,267.032,274.4535,177.8978,115.3456
ndz,4,0,0,276.859,323.5405,133.6269,23.2245
ndz,4,0,1,269.441,332.5115,43.5918,1.6403
ndz,4,0,2,278.0465,324.672,133.6269,23.2231
ndz,5,0,0,173.937,340.1795,87.8063,60.8176
ndz,5,0,1,166.1765,302.333,48.5153,19.9163
ndz,5,0,2,143.477,295.601,177.4115,32.2389
ndz,5,0,3,127.374,291.234,90.0,10.19
ndz,5,0,4,139.791,285.229,175.8085,24.9006
ndz,5,0,5,152.0135,282.4995,83.8985,3.6597
ndz,5,0,6,154.1475,280.1345,166.8153,4.7831
ndz,5,0,7,156.088,272.6745,86.7883,13.8508
ndz,5,0,8,135.5225,267.0335,176.3886,40.4353
ndz,5,0,9,113.793,267.9435,13.1817,3.188
ndz,5,0,10,111.8525,267.034,54.5669,1.3402
ndz,5,0,11,110.2725,263.739,66.5666,5.9922
ndz,5,0,12,99.0805,271.993,132.2674,29.7372
ndz,5,0,13,104.7345,282.566,178.4266,31.3208
ndz,5,0,14,120.389,284.3195,90.0,4.367
ndz,5,0,15,121.359,286.685,10.6272,1.9739
ndz,5,0,16,122.717,291.9615,85.6447,10.2185
ndz,5,0,17,108.748,297.602,177.8221,28.7348
ndz,5,0,18,93.033,298.512,164.9952,2.8119
ndz,5,0,19,90.317,299.422,158.0966,2.9273
ndz,5,0,20,86.2425,299.968,0.0,5.433
ndz,5,0,21,82.362,299.058,38.0179,2.955
ndz,5,0,22,80.9415,295.191,85.0424,5.9362
ndz,5,0,23,78.364,294.788,132.2636,6.9022
ndz,5,0,24,86.575,307.7525,44.6676,29.6177
ndz,5,0,25,116.3145,317.799,178.9143,38.4219
ndz,5,0,26,136.492,326.715,84.0328,18.6611
ndz,5,0,27,145.417,335.449,176.0737,15.9474
ndz,5,0,28,154.536,354.19,86.5463,38.6442
ndz,6,0,0,203.233,341.999,87.468,79.0452
ndz,6,0,1,201.487,301.059,90.0,2.912
ndz,6,0,2,202.457,298.3295,127.2959,3.2017
ndz,6,0,3,204.979,297.056,0.0,3.104
ndz,6,0,4,207.9285,296.832,170.8938,2.8307
ndz,6,0,5,188.5245,277.338,42.8113,56.711
ndz,6,0,6,167.9195,260.2765,84.9156,4.4344
ndz,6,0,7,167.34,263.3945,130.4709,2.3911
ndz,6,0,8,164.624,265.032,159.431,4.1442
ndz,6,0,9,159.1915,265.76,0.0,6.985
ndz,6,0,10,156.087,272.674,86.788,13.8498
ndz,6,0,11,159.1915,279.588,0.0,5.433
ndz,6,0,12,163.072,280.316,32.0229,2.7458
ndz,6,0,13,165.4,282.136,43.1721,3.1921
ndz,6,0,14,166.564,285.593,90.0,4.73
ndz,6,0,15,163.072,291.4155,135.2845,9.8282
ndz,6,0,16,166.176,302.333,48.5175,19.9157
ndz,6,0,17,176.0705,305.608,128.2442,10.6573
ndz,6,0,18,181.503,301.059,170.3202,4.3296
ndz,6,0,19,184.607,300.695,0.0,1.94
ndz,6,0,20,186.9355,302.3325,50.3201,4.2553
ndz,6,0,21,188.488,305.244,81.3417,2.5774
ndz,6,0,22,187.5175,307.0635,154.8997,2.5719
ndz,6,0,23,186.9355,329.8075,88.4969,44.4123
ndz,6,0,24,186.1595,352.916,146.1834,3.2702
ndz,6,0,25,184.025,354.008,166.8007,1.5941
ndz,6,0,26,181.115,354.19,0.0,4.268
ndz,6,0,27,176.705,353.615,14.1782,4.695
ndz,6,0,28,174.5175,355.3445,87.8007,4.6124
ndz,6,0,29,179.3155,358.467,9.8535,9.56
ndz,6,0,30,185.771,360.3765,32.0113,4.1182
ndz,6,0,31,188.293,371.6575,85.6449,20.438
ndz,7,0,0,247.0195,383.1095,152.834,80.5507
ndz,7,0,1,209.635,402.408,149.6152,3.5982
ndz,7,0,2,198.9645,403.5,178.8566,18.2406
ndz,7,0,3,182.8615,398.041,38.9259,17.956
ndz,7,0,4,185.7715,428.0635,74.4938,74.0212
ndz,7,0,5,195.084,466.274,102.8713,5.2253
ndz,7,0,6,192.95,468.4575,13.1818,3.188
ndz,7,0,7,191.98,466.0925,106.2135,4.1688
ndz,7,0,8,181.503,425.6985,73.9309,79.9071
ndz,7,0,9,169.086,386.032,43.1719,3.7241
ndz,7,0,10,162.8775,390.035,132.5885,14.3351
ndz,7,0,11,158.027,398.405,90.0,6.186
ndz,7,0,12,149.6845,401.862,177.5017,16.7009
ndz,7,0,13,140.76,394.22,85.8422,16.0543
ndz,7,0,14,146.7745,385.85,176.8416,13.2131
ndz,7,0,15,154.341,386.9415,56.3189,3.4982
ndz,7,0,16,156.669,387.8515,158.1149,2.9269
ndz,7,0,17,161.1315,385.1225,144.88,7.5909
ndz,7,0,18,163.848,382.029,66.9079,1.9785
ndz,7,0,19,159.5795,377.298,44.5573,10.8919
ndz,7,0,20,165.4,372.0215,171.4672,19.6192
ndz,7,0,21,173.3545,371.6575,147.9961,4.119
ndz,7,0,22,171.608,373.477,90.0,1.456
ndz,7,0,23,171.414,377.48,93.3901,6.5615
ndz,7,0,24,178.399,387.3055,42.379,19.4368
ndz,7,0,25,186.936,393.674,172.3667,2.7403
ndz,7,0,26,188.682,387.6695,93.8125,11.6708
ndz,7,0,27,197.0245,381.665,178.6892,15.9132
ndz,7,0,28,204.979,387.124,90.0,11.282
ndz,7,0,29,205.561,394.0385,65.4392,2.8004
ndz,7,0,30,207.695,396.0395,25.1149,3.4281
ndz,7,0,31,244.4495,379.262,153.5604,78.6293
ndz,8,0,0,293.6615,354.1355,3.2746,1.9081
ndz,8,0,1,309.6395,313.2645,110.1603,87.1932
