airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
nel,0,0,0,230.1455,428.321,95.0532,5.915
nel,0,0,1,221.2455,424.5425,5.1928,18.3965
nel,0,0,2,211.8935,426.6785,93.691,5.9494
nel,1,0,0,115.353,443.6135,100.9837,15.8086
nel,1,0,1,130.8775,454.8455,11.5246,34.7618
nel,1,0,2,148.227,456.6815,101.0302,3.3346
nel,1,0,3,149.037,452.7625,102.1401,4.6694
nel,1,0,4,149.6185,448.4975,92.6137,3.9691
nel,1,0,5,150.566,441.6795,100.0503,9.8217
nel,1,0,6,150.6555,436.656,13.7639,1.5804
nel,1,0,7,150.096,434.9775,97.9443,3.0099
nel,1,0,8,142.105,432.1795,9.0607,16.6052
nel,1,0,9,132.583,430.728,6.212,2.6616
nel,1,0,10,130.928,431.859,104.595,2.635
nel,1,0,11,130.0645,433.73,131.726,1.5971
nel,1,0,12,128.8385,434.587,159.4033,1.4839
nel,1,0,13,126.4005,434.6785,5.5528,3.5034
nel,2,0,0,195.326,265.7,130.5504,24.4264
nel,2,0,1,187.2875,275.2335,111.2337,0.5439
nel,2,0,2,187.1465,275.7425,99.4446,0.518
nel,2,0,3,187.1375,276.2925,83.5101,0.5928
nel,2,0,4,187.298,276.9995,72.8879,0.8632
nel,2,0,5,187.636,277.766,59.2036,0.8242
nel,2,0,6,188.2025,278.5125,47.8314,1.0591
nel,2,0,7,192.5935,282.2215,39.4144,10.4469
nel,2,0,8,203.035,290.3805,37.0868,16.0607
nel,2,0,9,209.8705,295.556,37.7867,1.0869
nel,2,0,10,212.744,292.8025,128.3734,7.8739
nel,2,0,11,215.6785,289.145,130.6633,1.5055
nel,2,0,12,219.4845,284.363,128.2149,10.7191
nel,2,0,13,225.098,276.6525,123.2916,8.3731
nel,2,0,14,218.7485,265.7225,40.6713,22.8028
nel,2,0,15,209.6835,257.913,42.2323,1.1277
nel,2,0,16,209.0065,257.2755,44.8911,0.7326
nel,2,0,17,208.595,256.85,47.6908,0.4516
nel,2,0,18,208.268,256.4325,55.0617,0.6112
nel,2,0,19,207.9675,255.962,60.2981,0.5066
nel,3,0,0,209.91,413.911,4.803,5.5655
nel,3,0,1,222.055,414.921,4.7394,18.8083
nel,3,0,2,231.559,414.7935,98.3027,1.8282
nel,3,0,3,231.7995,413.6195,111.9291,0.581
nel,3,0,4,233.702,412.744,161.3355,3.7872
nel,3,0,5,235.8285,412.22,13.8524,0.6849
nel,3,0,6,236.378,412.4215,28.8423,0.4955
nel,3,0,7,237.2465,414.0925,67.2218,3.3655
nel,3,0,8,237.363,421.2545,95.4471,11.2719
nel,3,0,9,236.5805,429.371,95.6403,5.0364
nel,3,0,10,241.053,432.3505,5.7286,9.4874
nel,3,0,11,246.271,432.8435,2.2424,0.9968
nel,3,0,12,247.129,432.816,172.5623,0.7261
nel,3,0,13,247.907,432.668,166.4164,0.8601
nel,3,0,14,248.6345,432.407,152.6623,0.6968
nel,3,0,15,249.1855,432.087,146.474,0.5794
nel,3,0,16,249.623,431.749,137.7563,0.5295
nel,3,0,17,249.9995,431.383,133.8329,0.5212
nel,3,0,18,250.3125,430.9755,121.1173,0.5128
nel,3,0,19,250.564,430.4705,112.6276,0.6186
nel,3,0,20,250.786,429.8895,109.2159,0.6259
nel,3,0,21,250.9475,429.28,100.5538,0.6388
nel,3,0,22,251.62,421.6245,94.7807,14.7343
nel,3,0,23,252.3065,411.6625,91.5848,5.243
nel,3,0,24,248.925,409.1835,177.654,6.9138
nel,3,0,25,243.492,407.7205,39.0339,5.0954
nel,3,0,26,242.972,390.302,95.2712,31.7623
nel,3,0,27,229.101,373.0375,5.4051,30.7969
