airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
nfl,0,0,0,193.935,550.638,0.0,352.57
nfl,0,0,1,370.22,297.0025,90.0,507.271
nfl,0,0,2,193.935,43.367,0.0,352.57
nfl,0,0,3,17.65,297.0025,90.0,507.271
nfl,1,0,0,237.815,203.7095,34.7115,2.4111
nfl,1,0,1,236.116,201.9275,57.1263,2.6088
nfl,1,0,2,235.192,199.5455,80.4689,2.609
nfl,1,0,3,235.245,197.0845,102.9,2.4098
nfl,1,0,4,260.3255,160.6435,125.128,86.24
nfl,1,0,5,286.533,124.0955,137.4487,3.79
nfl,1,0,6,289.8235,122.859,1.3606,3.79
nfl,1,0,7,301.7785,129.976,35.1052,24.5949
nfl,1,0,8,285.8215,173.7045,125.3658,89.9024
nfl,1,0,9,254.4895,210.361,0.0,10.629
nfl,1,0,10,248.4215,210.2845,5.7966,1.5147
nfl,1,0,11,246.96,209.937,20.9461,1.5162
nfl,1,0,12,242.5285,207.031,35.2857,9.1231
nfl,2,0,0,178.157,382.363,34.8602,1.4941
nfl,2,0,1,177.71,384.3105,124.8818,3.707
nfl,2,0,2,165.1965,377.7615,35.1664,28.0214
nfl,2,0,3,237.58,250.7085,125.1689,291.1063
nfl,2,0,4,330.1375,137.8415,35.0456,21.3034
nfl,3,0,0,160.94,366.1165,51.019,3.6213
nfl,3,0,1,159.8055,362.8985,90.1425,3.621
nfl,3,0,2,178.5305,334.4225,125.0708,65.1615
nfl,3,0,3,198.336,307.3125,157.722,2.345
nfl,3,0,4,200.5535,307.1715,15.0021,2.3449
nfl,3,0,5,207.7835,311.7385,34.9621,14.8805
nfl,3,0,6,214.537,316.677,45.818,1.8825
nfl,3,0,7,215.264,318.291,85.676,1.8834
nfl,3,0,8,196.164,346.516,125.0917,66.6949
nfl,3,0,9,176.171,374.613,135.386,2.3095
nfl,3,0,10,174.735,375.501,172.8517,1.2376
nfl,3,0,11,173.584,375.4095,17.421,1.1256
nfl,3,0,12,167.5625,371.3825,35.1274,13.4116
nfl,4,0,0,228.5,263.515,125.0858,90.0657
nfl,4,0,1,265.351,227.1795,2.6863,21.9561
nfl,4,0,2,276.9455,228.4255,49.331,1.9288
nfl,4,0,3,277.5305,230.1205,92.5852,1.929
nfl,4,0,4,248.9,271.7615,125.0985,99.4359
nfl,4,0,5,219.5165,313.0555,142.2597,2.0144
nfl,4,0,6,217.7155,313.603,3.9295,2.0137
nfl,4,0,7,210.0135,308.8245,35.1139,16.3751
nfl,4,0,8,202.9655,302.24,79.4117,3.815
nfl,5,0,0,265.9685,213.7765,179.7958,4.769
nfl,5,0,1,269.595,214.9285,43.0572,3.3996
nfl,5,0,2,271.2215,216.6025,53.1745,1.283
nfl,5,0,3,272.035,218.0325,64.9165,2.0239
nfl,5,0,4,272.7155,219.601,68.9067,1.3976
nfl,5,0,5,272.9895,221.282,88.747,2.0585
nfl,5,0,6,272.1025,222.793,152.0784,2.0586
nfl,5,0,7,267.5805,223.11,2.615,7.2325
nfl,5,0,8,260.5635,222.834,1.8675,6.8126
nfl,5,0,9,260.371,218.2535,125.7028,11.0079
nfl,6,0,0,274.8005,218.506,62.5022,8.462
nfl,6,0,1,269.257,212.5125,31.968,8.4635
nfl,6,0,2,290.4265,175.405,125.379,85.5276
nfl,6,0,3,315.455,140.3505,145.1222,0.6558
nfl,6,0,4,315.898,140.1625,179.8342,0.348
nfl,6,0,5,316.22,140.224,22.7343,0.3209
nfl,6,0,6,324.4045,145.7235,34.0823,19.4064
