airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
ngf,0,path,,UNLABELED,178.151,238.498,183.671,232.75,5.52,5.748,31.729,15.2302,15.5489,180.911,235.624,0.9603,5,1,0,1,rgb,230,230,230,0,none,,,,0.0,58.1719,5.7083,62.1073,6.0793,0.0,593.0,387.0,0.0,15.2302
ngf,1,path,,UNLABELED,146.686,260.099,182.405,232.637,35.719,27.462,980.9152,421.8561,83.8716,164.5455,246.368,1.3007,24,1,0,1,rgb,230,230,230,0,none,,,,0.0,35.2854,10.2898,28.004,15.9392,0.0,593.0,387.0,0.0,439.2947
ngf,2,path,,UNLABELED,218.71,244.48,228.053,234.257,9.343,10.223,95.5134,50.1707,29.959,223.3815,239.3685,0.9139,16,1,0,1,rgb,230,230,230,0,none,,,,0.0,65.2984,2.3285,64.5466,4.4721,0.0,593.0,387.0,0.0,52.8376
ngf,3,path,,UNLABELED,311.334,349.375,315.55,344.898,4.216,4.477,18.8751,11.4502,12.3012,313.442,347.1365,0.9417,10,1,0,1,rgb,230,230,230,0,none,,,,0.0,137.4632,1.8659,128.4276,2.8108,0.0,593.0,387.0,0.0,11.4502
ngf,4,path,,UNLABELED,92.468,264.966,108.942,249.052,16.474,15.914,262.1667,138.5319,39.2118,100.705,257.009,1.0352,10,1,0,1,rgb,230,230,230,0,none,,,,0.0,29.5319,1.8414,37.744,9.7805,0.0,593.0,387.0,0.0,138.5319
ngf,5,path,,UNLABELED,150.963,313.356,156.05,307.48,5.087,5.876,29.8913,17.1878,16.6763,153.5065,310.418,0.8657,19,1,0,1,rgb,230,230,230,0,none,,,,0.0,126.2174,1.4611,150.5228,4.1985,0.0,593.0,387.0,0.0,18.4817
ngf,6,path,,UNLABELED,173.733,232.75,269.922,163.308,96.189,69.442,6679.5589,1278.5316,346.7894,221.8275,198.029,1.3852,70,1,0,1,rgb,230,230,230,0,none,,,,0.0,155.0575,15.6944,152.5608,51.9177,0.0,593.0,387.0,0.0,2390.063
ngf,7,path,,UNLABELED,169.525,232.92,172.967,230.034,3.442,2.886,9.9337,5.0317,7.677,171.246,231.477,1.1926,4,1,0,1,rgb,230,230,230,0,none,,,,0.0,27.8894,3.1929,28.0407,3.0568,0.0,593.0,387.0,0.0,5.0317
ngf,8,path,,UNLABELED,123.538,228.166,142.095,222.214,18.557,5.952,110.4512,42.6588,31.2272,132.8165,225.19,3.1178,5,1,0,1,rgb,230,230,230,0,none,,,,0.0,174.6081,17.6562,173.8974,18.6628,0.0,593.0,387.0,0.0,42.6588
ngf,9,path,,UNLABELED,169.178,218.56,251.947,168.087,82.769,50.473,4177.5989,897.5968,179.6078,210.5625,193.3235,1.6399,13,1,0,1,rgb,230,230,230,0,none,,,,0.0,150.6124,49.6468,152.4551,29.7852,0.0,593.0,387.0,0.0,939.9079
ngf,10,path,,UNLABELED,188.801,259.69,192.654,254.669,3.853,5.021,19.3459,15.9192,11.4607,190.7275,257.1795,0.7674,4,1,0,1,rgb,230,230,230,0,none,,,,0.0,83.462,1.9598,83.645,4.716,0.0,593.0,387.0,0.0,15.9192
ngf,11,path,,UNLABELED,195.471,264.878,199.351,259.584,3.88,5.294,20.5408,16.8189,11.6738,197.411,262.231,0.7329,4,1,0,1,rgb,230,230,230,0,none,,,,0.0,81.4725,2.399,84.4219,5.072,0.0,593.0,387.0,0.0,16.8189
ngf,12,path,,UNLABELED,187.393,293.483,249.121,237.597,61.728,55.886,3449.73,1031.8672,154.982,218.257,265.54,1.1045,42,1,0,1,rgb,230,230,230,0,none,,,,0.0,35.0823,9.4144,38.8296,25.6568,0.0,593.0,387.0,0.0,1282.6484
ngf,13,path,,UNLABELED,136.767,297.776,140.479,294.048,3.712,3.728,13.8383,10.0401,11.2902,138.623,295.912,0.9957,10,1,0,1,rgb,230,230,230,0,none,,,,0.0,165.4909,1.2356,163.7203,2.5648,0.0,593.0,387.0,0.0,10.1505
ngf,14,path,,UNLABELED,143.84,335.044,149.057,329.8,5.217,5.244,27.358,17.7059,12.6042,146.4485,332.422,0.9948,4,1,0,1,rgb,230,230,230,0,none,,,,0.0,75.0018,1.0174,72.9829,4.2302,0.0,593.0,387.0,0.0,17.7059
ngf,15,path,,UNLABELED,132.297,272.57,139.413,266.228,7.116,6.342,45.1297,24.9444,19.5303,135.855,269.399,1.122,9,1,0,1,rgb,230,230,230,0,none,,,,0.0,31.4767,1.5808,31.1222,5.2122,0.0,593.0,387.0,0.0,25.1131
ngf,16,path,,UNLABELED,302.845,361.442,312.397,353.209,9.552,8.233,78.6416,26.3572,22.6912,307.621,357.3255,1.1602,4,1,0,1,rgb,230,230,230,0,none,,,,0.0,38.1884,14.5399,38.2476,10.0733,0.0,593.0,387.0,0.0,26.3572
ngf,17,path,,UNLABELED,283.181,351.435,299.745,337.932,16.564,13.503,223.6637,48.3021,40.439,291.463,344.6835,1.2267,9,1,0,1,rgb,230,230,230,0,none,,,,0.0,34.7565,46.8518,38.3581,18.5667,0.0,593.0,387.0,0.0,53.9017
