airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
ngu,0,0,0,201.2985,186.59,90.4505,24.8008
ngu,0,0,1,193.359,174.1675,0.1604,16.0741
ngu,0,0,2,184.842,174.368,155.0807,1.0586
ngu,0,0,3,184.061,175.1175,119.7567,1.2129
ngu,0,0,4,183.7445,176.8345,90.7461,2.3812
ngu,0,0,5,183.6905,185.894,90.2803,15.7382
ngu,0,0,6,187.822,194.547,10.6478,8.4861
ngu,0,0,7,192.6735,195.2855,176.1802,1.366
ngu,0,0,8,195.5105,195.166,178.0336,4.3135
ngu,0,0,9,198.142,195.2165,14.6588,0.984
ngu,0,0,10,199.0725,195.6125,30.8525,1.0588
ngu,0,0,11,199.969,196.3815,48.3805,1.331
ngu,1,0,0,218.3835,195.1775,89.7446,4.711
ngu,1,0,1,218.288,184.035,89.4458,17.5748
ngu,1,0,2,217.909,174.827,55.0717,1.027
ngu,1,0,3,213.8385,174.474,178.9683,7.5542
ngu,1,0,4,209.953,185.4285,90.5737,21.7741
ngu,1,0,5,213.761,196.503,2.7477,7.843
ngu,2,0,0,225.8335,482.414,90.622,12.6187
ngu,2,0,1,229.5985,488.747,0.3587,7.6671
ngu,2,0,2,233.5055,479.9115,90.4753,17.7196
ngu,2,0,3,230.3015,467.732,45.369,9.3305
ngu,2,0,4,226.7385,463.998,55.4095,1.0058
ngu,2,0,5,226.2525,462.917,73.2692,1.393
ngu,3,0,0,264.4765,266.3965,143.7181,6.3725
ngu,3,0,1,261.3045,268.7045,145.0048,1.4734
ngu,3,0,2,248.016,273.6945,160.1975,26.9645
ngu,3,0,3,234.6175,278.5175,160.2982,1.5157
ngu,3,0,4,233.915,281.164,89.7366,4.7821
ngu,3,0,5,238.782,283.697,1.675,9.7162
ngu,3,0,6,243.699,283.233,95.7477,1.2181
ngu,3,0,7,260.253,282.9785,1.2209,32.9935
ngu,3,0,8,275.0885,278.8595,69.657,9.5358
ngu,3,0,9,271.7915,271.442,60.9116,6.7447
ngu,4,0,0,263.3965,260.1925,45.393,4.9485
ngu,4,0,1,259.424,256.6105,39.1642,5.7652
ngu,4,0,2,254.3945,252.854,34.7139,6.7992
ngu,4,0,3,243.4555,259.5625,133.2942,23.7538
ngu,4,0,4,235.7215,268.584,42.5641,1.1147
ngu,4,0,5,235.065,270.009,135.5146,2.9912
ngu,4,0,6,233.999,273.2345,89.9737,4.355
ngu,4,0,7,246.83,270.77,160.1095,27.2879
ngu,4,0,8,260.1455,265.7965,145.6739,1.1758
ngu,5,0,0,287.8115,285.939,91.3767,9.1987
ngu,5,0,1,283.7335,276.171,50.9871,13.3075
ngu,5,0,2,279.584,275.695,89.524,9.3883
ngu,5,0,3,283.2725,284.7275,49.9298,11.3387
ngu,6,0,0,243.3425,240.0705,133.2023,1.9384
ngu,6,0,1,246.245,244.1685,43.5634,9.8425
ngu,6,0,2,250.54,246.716,130.8185,2.2305
ngu,7,0,0,240.306,243.303,133.214,2.1323
ngu,7,0,1,243.2935,247.6035,43.4654,10.244
ngu,7,0,2,247.669,250.2355,126.4299,2.2161
ngu,8,0,0,178.9605,474.9145,90.6298,15.3759
ngu,8,0,1,179.1475,457.865,90.6272,18.7251
ngu,8,0,2,178.681,450.158,108.9733,3.5002
ngu,8,0,3,177.6145,452.763,117.6403,2.1448
ngu,8,0,4,176.388,454.682,126.9548,2.4252
ngu,8,0,5,173.597,457.7425,134.5931,5.8741
ngu,8,0,6,171.5225,468.603,90.0817,17.538
ngu,9,0,0,180.6055,258.077,90.0215,2.68
ngu,9,0,1,180.6145,234.959,90.0224,43.556
ngu,9,0,2,179.4005,212.9745,9.5875,2.4796
ngu,9,0,3,170.37,212.6505,0.8622,15.6178
ngu,9,0,4,162.6485,216.262,88.6711,7.46
ngu,9,0,5,163.144,220.684,59.4514,1.6094
ngu,9,0,6,163.0215,221.691,149.4255,1.2347
ngu,9,0,7,162.5975,222.1865,59.3593,0.4219
ngu,9,0,8,162.4125,222.5405,149.4705,0.6792
ngu,9,0,9,162.009,222.5245,59.5068,0.4375
ngu,9,0,10,161.5465,222.5435,149.4469,0.8163
ngu,9,0,11,161.297,222.9245,59.5488,0.4025
ngu,9,0,12,161.089,223.281,149.4463,0.72
ngu,9,0,13,160.6785,223.293,59.5564,0.3967
ngu,9,0,14,160.102,223.403,149.4462,1.1055
ngu,9,0,15,159.3215,223.1685,59.4305,1.1974
ngu,9,0,16,156.7285,224.07,148.2348,5.3834
ngu,9,0,17,152.453,226.221,159.7259,4.2365
ngu,9,0,18,149.192,226.9415,0.6073,2.5481
ngu,9,0,19,147.908,227.163,92.4372,0.4704
ngu,9,0,20,147.6175,227.4195,175.617,0.5627
ngu,9,0,21,147.332,227.1815,88.8967,0.5191
ngu,9,0,22,144.0625,226.887,0.6143,6.5294
ngu,9,0,23,140.793,227.3145,90.62,0.925
ngu,9,0,24,138.4135,227.7245,1.2664,4.7502
ngu,9,0,25,136.0375,227.9785,90.281,0.613
ngu,9,0,26,133.835,228.2745,0.2737,4.402
ngu,9,0,27,131.6355,227.9625,90.2842,0.603
ngu,9,0,28,131.662,227.222,93.2596,0.8794
ngu,9,0,29,130.1145,226.7695,0.492,3.1451
ngu,9,0,30,128.503,227.716,92.3264,1.9216
ngu,9,0,31,128.3515,234.5,91.1066,11.6502
ngu,9,0,32,128.312,241.6465,86.8406,2.649
ngu,9,0,33,128.3425,248.7355,90.4223,11.5333
