airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
nrb,0,path,,UNLABELED,331.102,426.247,343.466,415.825,12.364,10.422,128.8574,56.7368,30.5277,337.284,421.036,1.1863,7,1,0,1,rgb,230,230,230,0,none,,,,0.0,38.2452,3.0967,10.6767,12.5818,0.0,593.0,387.0,0.0,57.3263
nrb,1,path,,UNLABELED,277.213,292.501,294.779,275.403,17.566,17.098,300.3435,162.7972,46.0434,285.996,283.952,1.0274,13,1,0,1,rgb,230,230,230,0,none,,,,0.0,69.8337,1.7412,135.6186,10.2183,0.0,593.0,387.0,0.0,165.6599
nrb,2,path,,UNLABELED,218.699,315.258,282.135,250.248,63.436,65.01,4123.9753,1999.1341,192.5777,250.417,282.753,0.9758,41,1,0,1,rgb,230,230,230,0,none,,,,0.0,49.4952,5.9177,47.1554,34.989,0.0,593.0,387.0,0.0,2122.4938
nrb,3,path,,UNLABELED,189.745,378.437,215.122,356.294,25.377,22.143,561.923,297.1151,57.6705,202.4335,367.3655,1.1461,14,1,0,1,rgb,230,230,230,0,none,,,,0.0,32.787,1.1943,47.5656,14.9434,0.0,593.0,387.0,0.0,327.8928
nrb,4,path,,UNLABELED,279.755,353.802,317.888,270.691,38.133,83.111,3169.2723,1118.5415,196.9686,298.8215,312.2465,0.4588,39,1,0,1,rgb,230,230,230,0,none,,,,0.0,108.3251,10.2691,130.2457,23.1881,0.0,593.0,387.0,0.0,1764.973
nrb,5,path,,UNLABELED,71.275,164.657,82.078,151.853,10.803,12.804,138.3218,62.6513,32.1719,76.6765,158.255,0.8437,7,1,0,1,rgb,230,230,230,0,none,,,,0.0,77.614,1.7217,44.868,10.427,0.0,593.0,387.0,0.0,69.4945
nrb,6,path,,UNLABELED,129.78,226.918,140.101,216.863,10.321,10.055,103.7776,36.4701,30.7851,134.9405,221.8905,1.0265,10,1,0,1,rgb,230,230,230,0,none,,,,0.0,36.4823,1.1775,47.043,9.9567,0.0,593.0,387.0,0.0,51.56
nrb,7,path,,UNLABELED,237.154,342.421,247.945,331.963,10.791,10.458,112.8522,38.2451,27.6813,242.5495,337.192,1.0318,9,1,0,1,rgb,230,230,230,0,none,,,,0.0,39.4224,1.1303,46.9474,10.0503,0.0,593.0,387.0,0.0,55.6946
nrb,8,path,,UNLABELED,249.189,310.947,255.871,304.618,6.682,6.329,42.2905,16.8466,20.1245,252.53,307.7825,1.0558,14,1,0,1,rgb,230,230,230,0,none,,,,0.0,42.3582,4.501,46.8224,8.4719,0.0,593.0,387.0,0.0,19.7001
nrb,9,path,,UNLABELED,290.077,293.839,299.484,285.745,9.407,8.094,76.1406,26.1042,19.9243,294.7805,289.792,1.1622,19,1,0,1,rgb,230,230,230,0,none,,,,0.0,16.8797,1.668,132.7694,4.8141,0.0,593.0,387.0,0.0,38.7314
nrb,10,path,,UNLABELED,271.902,290.301,281.645,282.55,9.743,7.751,75.5182,27.2178,27.3971,276.7735,286.4255,1.257,13,1,0,1,rgb,230,230,230,0,none,,,,0.0,29.0771,4.4767,46.885,9.0714,0.0,593.0,387.0,0.0,36.122
nrb,11,path,,UNLABELED,216.289,275.508,222.938,270.787,6.649,4.721,31.3897,13.2866,17.2671,219.6135,273.1475,1.4084,13,1,0,1,rgb,230,230,230,0,none,,,,0.0,28.0223,4.8232,46.9947,6.2164,0.0,593.0,387.0,0.0,15.8819
nrb,12,path,,UNLABELED,327.977,421.277,332.256,417.484,4.279,3.793,16.2302,11.3358,10.458,330.1165,419.3805,1.1281,4,1,0,1,rgb,230,230,230,0,none,,,,0.0,178.0297,1.2771,9.5127,3.9209,0.0,593.0,387.0,0.0,11.3358
nrb,13,path,,UNLABELED,206.6,272.231,223.113,260.417,16.513,11.814,195.0845,48.1707,38.9688,214.8565,266.324,1.3977,9,1,0,1,rgb,230,230,230,0,none,,,,0.0,0.4092,6.3935,7.113,12.34,0.0,593.0,387.0,0.0,69.8037
nrb,14,path,,UNLABELED,77.454,156.75,93.081,145.559,15.627,11.191,174.8814,72.2444,34.1103,85.2675,151.1545,1.3964,8,1,0,1,rgb,230,230,230,0,none,,,,0.0,174.7281,4.5222,3.1932,10.1257,0.0,593.0,387.0,0.0,80.1055
nrb,15,path,,UNLABELED,299.743,379.485,303.462,375.996,3.719,3.489,12.9756,6.1378,8.257,301.6025,377.7405,1.0659,4,1,0,1,rgb,230,230,230,0,none,,,,0.0,140.105,2.6418,138.5353,3.188,0.0,593.0,387.0,0.0,6.1378
nrb,16,path,,UNLABELED,137.981,219.167,144.521,212.695,6.54,6.472,42.3269,18.6551,17.8683,141.251,215.931,1.0105,7,1,0,1,rgb,230,230,230,0,none,,,,0.0,143.5986,2.0813,136.7336,4.4179,0.0,593.0,387.0,0.0,19.7896
nrb,17,path,,UNLABELED,142.047,215.456,150.803,206.659,8.756,8.797,77.0266,45.0566,26.3642,146.425,211.0575,0.9953,17,1,0,1,rgb,230,230,230,0,none,,,,0.0,48.9341,2.6166,49.032,4.7465,0.0,593.0,387.0,0.0,47.0062
nrb,18,path,,UNLABELED,200.462,276.333,208.627,268.495,8.165,7.838,63.9973,36.7396,20.5158,204.5445,272.414,1.0417,13,1,0,1,rgb,230,230,230,0,none,,,,0.0,54.051,1.6483,47.0834,6.8656,0.0,593.0,387.0,0.0,38.3074
nrb,19,path,,UNLABELED,213.276,278.327,218.571,273.199,5.295,5.128,27.1527,13.2865,11.5492,215.9235,275.763,1.0326,5,1,0,1,rgb,230,230,230,0,none,,,,0.0,125.3991,1.4486,137.3334,4.0989,0.0,593.0,387.0,0.0,13.4106
nrb,20,path,,UNLABELED,207.452,284.225,215.582,275.977,8.13,8.248,67.0563,39.1856,21.3707,211.517,280.101,0.9857,10,1,0,1,rgb,230,230,230,0,none,,,,0.0,50.1278,1.8488,46.975,7.4071,0.0,593.0,387.0,0.0,40.6336
nrb,21,path,,UNLABELED,245.816,314.173,251.402,308.619,5.586,5.554,31.0247,14.7543,11.8736,248.609,311.396,1.0058,6,1,0,1,rgb,230,230,230,0,none,,,,0.0,136.2767,1.5186,136.538,3.899,0.0,593.0,387.0,0.0,15.1284
nrb,22,path,,UNLABELED,239.957,319.274,248.092,311.413,8.135,7.861,63.9491,37.3051,20.5949,244.0245,315.3435,1.0349,10,1,0,1,rgb,230,230,230,0,none,,,,0.0,42.9011,2.3187,47.104,7.569,0.0,593.0,387.0,0.0,38.3113
nrb,23,path,,UNLABELED,245.54,334.117,251.428,327.823,5.888,6.294,37.0589,16.591,17.1119,248.484,330.97,0.9355,12,1,0,1,rgb,230,230,230,0,none,,,,0.0,115.1572,1.1293,47.142,3.7078,0.0,593.0,387.0,0.0,17.8469
nrb,24,path,,UNLABELED,247.985,330.633,258.622,320.039,10.637,10.594,112.6884,82.3082,35.9144,253.3035,325.336,1.0041,21,1,0,1,rgb,230,230,230,0,none,,,,0.0,69.1311,1.6539,179.728,5.6891,0.0,593.0,387.0,0.0,90.9135
nrb,25,path,,UNLABELED,321.807,420.63,329.169,413.388,7.362,7.242,53.3156,28.5334,20.603,325.488,417.009,1.0166,8,1,0,1,rgb,230,230,230,0,none,,,,0.0,30.0876,1.5269,108.3866,6.3692,0.0,593.0,387.0,0.0,30.7086
nrb,26,path,,UNLABELED,276.102,358.28,284.001,348.603,7.899,9.677,76.4385,38.7648,22.1017,280.0515,353.4415,0.8163,9,1,0,1,rgb,230,230,230,0,none,,,,0.0,57.4719,2.9594,47.1564,7.8367,0.0,593.0,387.0,0.0,40.3564
nrb,27,path,,UNLABELED,279.755,351.589,289.27,337.142,9.515,14.447,137.4635,54.4651,38.5664,284.5125,344.3655,0.6586,11,1,0,1,rgb,230,230,230,0,none,,,,0.0,64.6359,2.9436,45.9316,9.5253,0.0,593.0,387.0,0.0,69.4199
nrb,28,path,,UNLABELED,301.122,384.159,307.857,377.414,6.735,6.745,45.4274,19.9793,12.6737,304.4895,380.7865,0.9985,6,1,0,1,rgb,230,230,230,0,none,,,,0.0,38.7603,4.078,47.1628,5.0212,0.0,593.0,387.0,0.0,20.0702
