airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
nrs,0,path,,UNLABELED,124.162,240.56,128.272,240.046,4.11,0.514,2.1126,1.2504,11.643,126.217,240.303,7.996,8,1,0,1,rgb,230,230,230,0,none,,,,0.0,0.0001,61.1965,0.0,4.11,0.0,593.0,387.0,0.0,2.1126
nrs,1,path,,UNLABELED,113.974,270.628,128.306,213.424,14.332,57.204,819.8475,361.2107,129.2652,121.14,242.026,0.2505,13,1,0,1,rgb,230,230,230,0,none,,,,0.0,80.7143,17.8852,73.452,42.7747,0.0,593.0,387.0,0.0,367.4722
nrs,2,path,,UNLABELED,124.161,306.348,128.09,305.834,3.929,0.514,2.0195,0.2498,8.372,126.1255,306.091,7.6438,5,1,0,1,rgb,230,230,230,0,none,,,,0.0,176.0013,42.2558,0.0,3.929,0.0,593.0,387.0,0.0,1.1347
nrs,3,compound,,UNLABELED,104.101,407.498,128.302,254.606,24.201,152.892,3700.1387,1577.0271,390.9895,116.2015,331.052,0.1583,55,4,0,1,rgb,230,230,230,0,none,,,,0.0,86.2233,67.2589,90.004,100.889,0.0,593.0,387.0,0.0,2341.9368
nrs,4,path,,UNLABELED,127.548,405.029,128.27,404.952,0.722,0.077,0.0556,0.0548,0.8578,127.909,404.9905,9.377,4,1,0,1,rgb,230,230,230,0,none,,,,0.0,0.0926,85.4456,0.0,0.701,0.0,593.0,387.0,0.0,0.0548
nrs,5,path,,UNLABELED,127.568,407.499,128.295,404.952,0.727,2.547,1.8517,0.913,5.9009,127.9315,406.2255,0.2854,6,1,0,1,rgb,230,230,230,0,none,,,,0.0,85.1316,9.1599,90.0,2.547,0.0,593.0,387.0,0.0,0.94
nrs,6,path,,UNLABELED,127.431,404.592,128.27,404.515,0.839,0.077,0.0646,0.0638,0.9955,127.8505,404.5535,10.8967,4,1,0,1,rgb,230,230,230,0,none,,,,0.0,0.0647,115.9748,0.0,0.839,0.0,593.0,387.0,0.0,0.0638
nrs,7,compound,,UNLABELED,104.101,404.592,128.302,254.606,24.201,149.986,3629.8116,1576.0795,384.3995,116.2015,329.599,0.1614,53,4,0,1,rgb,230,230,230,0,none,,,,0.0,86.2992,57.0562,90.0035,97.983,0.0,593.0,387.0,0.0,2340.576
nrs,8,path,,UNLABELED,124.648,339.241,124.648,339.241,0.0,0.0,0.0,0.0,0.0,124.648,339.241,0.0,2,1,0,0,none,,,,1,rgb,230,230,230,0.6,0.0,1000000.0,0.0,0.0,0.0,593.0,387.0,0.0,0.0
nrs,9,path,,UNLABELED,124.161,339.241,128.271,338.727,4.11,0.514,2.1126,0.2503,8.761,126.216,338.984,7.996,5,1,0,1,rgb,230,230,230,0,none,,,,0.0,176.1886,46.3864,0.0,4.11,0.0,593.0,387.0,0.0,1.1814
nrs,10,path,,UNLABELED,121.226,362.027,121.43,361.398,0.204,0.629,0.1283,0.0,0.6613,121.328,361.7125,0.3243,2,1,0,0,none,,,,1,rgb,230,230,230,0.6,72.0306,1000000.0,72.0306,0.6613,0.0,593.0,387.0,0.0,0.0
nrs,11,path,,UNLABELED,121.226,362.027,121.458,361.398,0.232,0.629,0.1459,0.0451,1.1899,121.342,361.7125,0.3688,5,1,0,1,rgb,230,230,230,0,none,,,,0.0,72.0161,27.8392,72.0306,0.6613,0.0,593.0,387.0,0.0,0.0451
nrs,12,path,,UNLABELED,116.999,364.564,121.871,359.328,4.872,5.236,25.5098,16.5805,12.5341,119.435,361.946,0.9305,6,1,0,1,rgb,0,0,0,0,none,,,,0.0,27.7717,1.0806,74.0871,4.3549,0.0,593.0,387.0,0.0,16.6535
nrs,13,path,,UNLABELED,128.298,138.817,266.448,106.668,138.15,32.149,4441.3823,4274.0164,307.7958,197.373,122.7425,4.2972,11,1,0,1,rgb,230,230,230,0,none,,,,0.0,1.4604,10.8972,179.3462,41.8047,0.0,593.0,387.0,0.0,4286.427
nrs,14,path,,UNLABELED,115.85,138.828,128.301,108.436,12.451,30.392,378.4104,253.4498,70.1543,122.0755,123.632,0.4097,6,1,0,1,rgb,230,230,230,0,none,,,,0.0,85.8357,11.0395,74.8495,31.3673,0.0,593.0,387.0,0.0,253.5217
nrs,15,path,,UNLABELED,73.775,139.277,90.747,91.886,16.972,47.391,804.3199,491.1089,67.0878,82.261,115.5815,0.3581,9,1,0,1,rgb,230,230,230,0,none,,,,0.0,83.1997,23.0524,89.8271,23.8631,0.0,593.0,387.0,0.0,498.076
nrs,16,path,,UNLABELED,91.521,197.708,105.962,185.323,14.441,12.385,178.8519,89.0974,44.8104,98.7415,191.5155,1.166,13,1,0,1,rgb,230,230,230,0,none,,,,0.0,155.9778,1.4485,74.4401,10.2071,0.0,593.0,387.0,0.0,121.6966
nrs,17,compound,,UNLABELED,140.289,207.387,268.595,165.919,128.306,41.468,5320.5955,2004.324,412.1061,204.442,186.653,3.0941,39,5,0,1,rgb,230,230,230,0,none,,,,0.0,164.6965,79.6795,164.9844,90.8977,0.0,593.0,387.0,0.0,2200.133
nrs,18,path,,UNLABELED,142.683,217.052,180.959,207.386,38.276,9.666,369.9753,184.2835,85.6331,161.821,212.219,3.9599,11,1,0,1,rgb,230,230,230,0,none,,,,0.0,171.9858,23.491,164.917,37.1457,0.0,593.0,387.0,0.0,184.9701
nrs,19,path,,UNLABELED,174.835,312.905,205.16,240.702,30.325,72.203,2189.5558,867.755,160.8357,189.9975,276.8035,0.42,9,1,0,1,rgb,230,230,230,0,none,,,,0.0,73.5135,17.6362,75.0267,43.6739,0.0,593.0,387.0,0.0,933.9428
nrs,20,path,,UNLABELED,174.835,312.905,205.16,240.702,30.325,72.203,2189.5569,867.7499,151.2839,189.9975,276.8035,0.42,9,1,0,1,rgb,230,230,230,0,none,,,,0.0,73.5135,17.6359,75.0267,43.6739,0.0,593.0,387.0,0.0,933.9464
nrs,21,path,,UNLABELED,171.645,318.568,192.657,309.608,21.012,8.96,188.2673,71.6663,45.2586,182.151,314.088,2.3451,4,1,0,1,rgb,230,230,230,0,none,,,,0.0,164.3068,37.1863,164.3812,20.9184,0.0,593.0,387.0,0.0,71.6663
nrs,22,path,,UNLABELED,128.296,443.828,167.659,306.405,39.363,137.423,5409.3805,2669.777,221.862,147.9775,375.1165,0.2864,13,1,0,1,rgb,230,230,230,0,none,,,,0.0,82.8049,8.7781,74.8404,35.5055,0.0,593.0,387.0,0.0,3170.7242
nrs,23,compound,,UNLABELED,104.1,407.499,128.301,254.607,24.201,152.892,3700.1399,1581.6778,378.6748,116.2005,331.053,0.1583,50,3,0,1,rgb,230,230,230,0,none,,,,0.0,85.8714,64.3371,90.004,100.889,0.0,593.0,387.0,0.0,2341.9284
nrs,24,path,,UNLABELED,154.993,207.387,162.526,200.102,7.533,7.285,54.8779,37.8555,23.4146,158.7595,203.7445,1.034,5,1,0,1,rgb,230,230,230,0,none,,,,0.0,111.349,1.2471,75.1861,6.1639,0.0,593.0,387.0,0.0,37.8555
nrs,25,path,,UNLABELED,179.703,200.963,187.188,193.471,7.485,7.492,56.0774,37.1722,18.2859,183.4455,197.217,0.9991,4,1,0,1,rgb,230,230,230,0,none,,,,0.0,74.945,1.0032,74.7111,6.1019,0.0,593.0,387.0,0.0,37.1722
nrs,26,path,,UNLABELED,204.439,194.322,212.011,186.772,7.572,7.55,57.1686,38.0628,18.5247,208.225,190.547,1.0029,4,1,0,1,rgb,230,230,230,0,none,,,,0.0,164.3853,1.0105,164.9325,6.1857,0.0,593.0,387.0,0.0,38.0628
nrs,27,path,,UNLABELED,229.229,187.581,236.707,180.106,7.478,7.475,55.8982,37.4665,18.3315,232.968,183.8435,1.0004,4,1,0,1,rgb,230,230,230,0,none,,,,0.0,151.4281,1.0154,165.2588,6.1308,0.0,593.0,387.0,0.0,37.4665
