airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
oaj,0,path,,UNLABELED,77.24,190.18,89.47,177.94,12.23,12.24,149.6951,74.8594,34.6078,83.355,184.06,0.9992,8,1,0,1,rgb,207,207,207,0,none,,,,0.0,90.0132,1.1829,45.608,8.6625,0.0,594.0,387.36,0.0,74.8823
oaj,1,path,,UNLABELED,88.7,190.6,102.39,177.17,13.69,13.43,183.8565,48.8408,42.7413,95.545,183.885,1.0194,16,1,0,1,rgb,207,207,207,0,none,,,,0.0,130.2958,2.7033,135.5053,8.0189,0.0,594.0,387.36,0.0,89.4311
oaj,2,path,,UNLABELED,100.97,195.49,120.89,176.78,19.92,18.71,372.703,120.3427,60.1826,110.93,186.135,1.0647,13,1,0,1,rgb,207,207,207,0,none,,,,0.0,41.1486,10.9046,45.5998,23.6399,0.0,594.0,387.36,0.0,136.757
oaj,3,path,,UNLABELED,141.61,250.25,168.05,221.6,26.44,28.65,757.5059,100.9061,110.2192,154.83,235.925,0.9229,23,1,0,1,rgb,207,207,207,0,none,,,,0.0,42.6036,2.5533,45.7104,35.9309,0.0,594.0,387.36,0.0,337.8936
oaj,4,path,,UNLABELED,174.42,271.56,209.09,232.67,34.67,38.89,1348.3167,395.2485,207.7732,191.755,252.115,0.8915,58,1,0,1,rgb,207,207,207,0,none,,,,0.0,52.6724,6.8868,135.663,14.6664,0.0,594.0,387.36,0.0,645.9587
oaj,5,path,,UNLABELED,230.48,348.01,294.01,274.83,63.53,73.18,4649.126,1180.473,273.9389,262.245,311.42,0.8681,47,1,0,1,rgb,207,207,207,0,none,,,,0.0,51.9864,6.4733,45.6199,24.835,0.0,594.0,387.36,0.0,2004.5424
oaj,6,path,,UNLABELED,223.6,306.41,234.25,298.33,10.65,8.08,86.0518,24.9879,30.5715,228.925,302.37,1.3181,17,1,0,1,rgb,207,207,207,0,none,,,,0.0,10.8111,2.4397,45.6253,8.4221,0.0,594.0,387.36,0.0,43.9119
oaj,7,path,,UNLABELED,241.12,335.98,259.29,318.28,18.17,17.7,321.6089,46.5541,68.5523,250.205,327.13,1.0266,19,1,0,1,rgb,207,207,207,0,none,,,,0.0,41.6093,6.0305,45.6051,24.7713,0.0,594.0,387.36,0.0,113.4743
oaj,8,path,,UNLABELED,263.48,347.75,275.2,335.24,11.72,12.51,146.6172,30.677,43.6674,269.34,341.495,0.9369,27,1,0,1,rgb,207,207,207,0,none,,,,0.0,24.2168,2.6229,45.5948,12.2619,0.0,594.0,387.36,0.0,68.4846
oaj,9,path,,UNLABELED,189.6,300.99,214.4,275.08,24.8,25.91,642.5682,101.1617,97.3219,202.0,288.035,0.9572,22,1,0,1,rgb,207,207,207,0,none,,,,0.0,33.9737,1.9043,45.6062,27.4019,0.0,594.0,387.36,0.0,297.2601
