airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
olf,0,compound,,UNLABELED,152.3,327.2,218.6,237.09,66.3,90.11,5974.2923,989.5562,399.9288,185.45,282.145,0.7358,91,2,0,1,rgb,207,207,207,0,none,,,,0.0,62.8005,9.5232,60.0196,63.9578,0.0,594.0,387.36,0.0,2856.4035
olf,1,path,,UNLABELED,26.87,538.41,50.51,516.79,23.64,21.62,511.0969,511.0969,90.52,38.69,527.6,1.0934,5,1,0,0,none,,,,1,rgb,0,0,0,0.39,30.8901,1.4643,0.0,23.64,0.0,594.0,387.36,0.0,511.0969
olf,2,compound,,UNLABELED,174.56,373.82,179.41,370.67,4.85,3.15,15.2776,5.7243,22.4426,176.985,372.245,1.5397,98,2,0,1,rgb,0,0,0,0,none,,,,0.0,0.0119,2.6302,15.0183,0.4245,0.0,594.0,387.36,0.0,12.1861
olf,3,path,,UNLABELED,178.73,375.23,179.41,374.55,0.68,0.68,0.4624,0.3554,2.1288,179.07,374.89,1.0,17,1,0,1,rgb,0,0,0,0,none,,,,0.0,0.4688,1.1119,77.9057,0.1432,0.0,594.0,387.36,0.0,0.3554
olf,4,path,,UNLABELED,174.73,377.86,179.33,376.54,4.6,1.32,6.072,2.6775,11.6121,177.03,377.2,3.4849,7,1,0,1,rgb,0,0,0,0,none,,,,0.0,5.2992,22.6556,0.0,4.6,0.0,594.0,387.36,0.0,4.3339
olf,5,compound,,UNLABELED,174.72,381.7,176.79,379.63,2.07,2.07,4.2849,2.4101,10.019,175.755,380.665,1.0,34,2,0,1,rgb,0,0,0,0,none,,,,0.0,0.1384,1.1229,79.4604,0.4374,0.0,594.0,387.36,0.0,3.3588
olf,6,path,,UNLABELED,174.56,390.13,179.5,383.66,4.94,6.47,31.9618,9.0173,33.0759,177.03,386.895,0.7635,11,1,0,1,rgb,0,0,0,0,none,,,,0.0,63.2432,1.2644,157.9711,5.1457,0.0,594.0,387.36,0.0,22.2296
olf,7,compound,,UNLABELED,168.19,346.33,173.03,341.91,4.84,4.42,21.3928,5.9737,22.3628,170.61,344.12,1.095,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,0.1809,1.2451,155.4579,5.3207,0.0,594.0,387.36,0.0,10.6964
olf,8,path,,UNLABELED,168.21,350.73,173.22,346.73,5.01,4.0,20.04,7.4866,27.5524,170.715,348.73,1.2525,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,157.7503,1.7664,42.9748,5.0024,0.0,594.0,387.36,0.0,19.22
olf,9,path,,UNLABELED,168.21,355.54,173.22,351.54,5.01,4.0,20.04,7.4866,27.5524,170.715,353.54,1.2525,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,157.7503,1.7664,42.9748,5.0024,0.0,594.0,387.36,0.0,19.22
olf,10,path,,UNLABELED,168.43,359.67,173.11,356.26,4.68,3.41,15.9588,6.0914,22.1406,170.77,357.965,1.3724,51,1,0,1,rgb,0,0,0,0,none,,,,0.0,15.6057,1.3772,0.0,2.9,0.0,594.0,387.36,0.0,14.7602
olf,11,compound,,UNLABELED,168.19,364.37,173.03,359.94,4.84,4.43,21.4411,5.9858,22.377,170.61,362.155,1.0926,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,0.4827,1.2381,24.6399,5.3248,0.0,594.0,387.36,0.0,10.7206
olf,12,path,,UNLABELED,168.43,366.76,173.03,364.76,4.6,2.0,9.2,3.474,13.2,170.73,365.76,2.3,7,1,0,1,rgb,0,0,0,0,none,,,,0.0,10.4862,10.2887,0.0,4.6,0.0,594.0,387.36,0.0,6.337
