airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
oth,0,path,,UNLABELED,195.53,339.8,202.82,331.99,7.29,7.81,56.9349,30.1433,22.1215,199.175,335.895,0.9334,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,136.5112,1.79,120.3026,6.243,0.0,594.0,387.36,0.0,30.1433
oth,1,path,,UNLABELED,188.53,351.93,197.48,341.52,8.95,10.41,93.1695,46.3979,28.3764,193.005,346.725,0.8597,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,127.3912,3.3415,119.2686,9.102,0.0,594.0,387.36,0.0,46.3979
oth,2,path,,UNLABELED,203.59,369.15,256.39,331.49,52.8,37.66,1988.4477,152.3392,154.7827,229.99,350.32,1.402,17,1,0,1,rgb,207,207,207,0,none,,,,0.0,33.9318,25.9407,29.6555,59.6422,0.0,594.0,387.36,0.0,434.6596
oth,3,path,,UNLABELED,252.4,342.56,259.97,237.49,7.57,105.07,795.3807,495.7912,217.1827,256.185,290.025,0.072,9,1,0,1,rgb,207,207,207,0,none,,,,0.0,91.2006,231.2608,91.2662,56.1137,0.0,594.0,387.36,0.0,553.7713
oth,4,compound,,UNLABELED,70.34,334.06,277.07,184.77,206.73,149.29,30862.7188,2065.6727,1214.268,173.705,259.415,1.3848,289,8,0,1,rgb,207,207,207,0,none,,,,0.0,139.2302,4.6704,29.0998,108.3004,0.0,594.0,387.36,0.0,14501.3048
oth,5,path,,UNLABELED,292.29,207.57,313.91,183.93,21.62,23.64,511.097,511.097,90.52,303.1,195.75,0.9146,5,1,0,0,none,,,,1,rgb,0,0,0,0.39,120.89,1.4643,90.0,23.64,0.0,594.0,387.36,0.0,511.097
oth,6,compound,,UNLABELED,75.3,145.4,78.45,140.55,3.15,4.85,15.2775,5.7271,22.4396,76.875,142.975,0.6495,98,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.0036,2.6323,74.9817,0.4245,0.0,594.0,387.36,0.0,12.1847
oth,7,path,,UNLABELED,79.19,141.23,79.87,140.55,0.68,0.68,0.4624,0.3564,2.1321,79.53,140.89,1.0,17,1,0,1,rgb,0,0,0,0,none,,,,0.0,89.5298,1.1185,77.9069,0.1432,0.0,594.0,387.36,0.0,0.3564
oth,8,path,,UNLABELED,81.18,145.23,82.49,140.63,1.31,4.6,6.026,2.675,11.5968,81.835,142.93,0.2848,7,1,0,1,rgb,0,0,0,0,none,,,,0.0,95.2736,22.9107,90.0,4.6,0.0,594.0,387.36,0.0,4.311
oth,9,compound,,UNLABELED,84.26,145.24,86.34,143.16,2.08,2.08,4.3264,2.4142,10.01,85.3,144.2,1.0,34,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.1626,1.1207,10.5374,0.4374,0.0,594.0,387.36,0.0,3.3589
oth,10,path,,UNLABELED,88.29,145.4,94.76,140.46,6.47,4.94,31.9618,9.0344,33.082,91.525,142.93,1.3097,11,1,0,1,rgb,0,0,0,0,none,,,,0.0,153.0438,1.2652,112.0289,5.1456,0.0,594.0,387.36,0.0,22.2296
oth,11,compound,,UNLABELED,46.54,151.77,50.97,146.93,4.43,4.84,21.4412,6.0266,22.3464,48.755,149.35,0.9153,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.3633,1.2384,114.6399,5.3248,0.0,594.0,387.36,0.0,10.7206
oth,12,path,,UNLABELED,51.36,151.75,55.36,146.74,4.0,5.01,20.04,7.4696,27.5697,53.36,149.245,0.7984,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,67.8026,1.7655,132.9748,5.0024,0.0,594.0,387.36,0.0,19.22
oth,13,path,,UNLABELED,56.17,151.75,60.17,146.74,4.0,5.01,20.04,7.4703,27.5697,58.17,149.245,0.7984,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,67.7607,1.7653,132.8909,4.9956,0.0,594.0,387.36,0.0,19.22
oth,14,path,,UNLABELED,60.9,151.53,64.3,146.85,3.4,4.68,15.912,6.0343,22.1227,62.6,149.19,0.7265,51,1,0,1,rgb,0,0,0,0,none,,,,0.0,105.4084,1.376,90.0,2.91,0.0,594.0,387.36,0.0,14.7322
oth,15,compound,,UNLABELED,64.57,151.77,69.0,146.93,4.43,4.84,21.4412,6.0207,22.3405,66.785,149.35,0.9153,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,89.8664,1.237,65.3601,5.3248,0.0,594.0,387.36,0.0,10.7206
oth,16,path,,UNLABELED,69.39,151.53,71.39,146.93,2.0,4.6,9.2,3.474,13.2,70.39,149.23,0.4348,7,1,0,1,rgb,0,0,0,0,none,,,,0.0,100.4862,10.2887,90.0,4.6,0.0,594.0,387.36,0.0,6.337
