airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
otm,0,path,,UNLABELED,50.73,408.65,79.74,379.55,29.01,29.1,844.1912,266.3606,82.4921,65.235,394.1,0.9969,8,1,0,1,rgb,207,207,207,0,none,,,,0.0,139.1889,20.3078,135.1952,33.2059,0.0,594.0,387.36,0.0,266.5686
otm,1,path,,UNLABELED,78.81,398.01,183.26,306.66,104.45,91.35,9541.5093,287.7107,299.4432,131.035,352.335,1.1434,45,1,0,1,rgb,207,207,207,0,none,,,,0.0,140.4898,107.7348,135.0144,112.6138,0.0,594.0,387.36,0.0,1927.0291
otm,2,path,,UNLABELED,143.58,280.39,181.88,253.99,38.3,26.4,1011.121,116.4902,115.1673,162.73,267.19,1.4508,35,1,0,1,rgb,207,207,207,0,none,,,,0.0,23.7631,5.6396,44.8026,26.6793,0.0,594.0,387.36,0.0,495.1793
otm,3,path,,UNLABELED,212.1,442.89,332.44,267.03,120.34,175.86,21162.9937,2022.588,584.8479,272.27,354.96,0.6843,135,1,0,1,rgb,207,207,207,0,none,,,,0.0,57.6206,23.1649,44.9896,77.5979,0.0,594.0,387.36,0.0,7294.8674
otm,4,path,,UNLABELED,178.78,309.84,316.59,160.95,137.81,148.89,20518.5283,621.7786,498.2366,247.685,235.395,0.9256,141,1,0,1,rgb,207,207,207,0,none,,,,0.0,132.8087,45.5028,134.9652,81.4234,0.0,594.0,387.36,0.0,5139.9809
otm,5,compound,,UNLABELED,321.37,438.49,325.63,433.87,4.26,4.62,19.6812,6.5818,23.6738,323.5,436.18,0.9221,77,3,0,1,rgb,0,0,0,0,none,,,,0.0,53.2252,4.6702,47.1145,4.5993,0.0,594.0,387.36,0.0,10.496
otm,6,compound,,UNLABELED,204.71,399.57,207.86,394.72,3.15,4.85,15.2776,5.7299,22.4414,206.285,397.145,0.6495,98,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.0036,2.6331,74.9817,0.4245,0.0,594.0,387.36,0.0,12.1875
otm,7,path,,UNLABELED,208.6,395.4,209.28,394.72,0.68,0.68,0.4624,0.3564,2.1321,208.94,395.06,1.0,17,1,0,1,rgb,0,0,0,0,none,,,,0.0,89.5297,1.1185,12.0943,0.1432,0.0,594.0,387.36,0.0,0.3564
otm,8,path,,UNLABELED,210.59,399.4,211.9,394.8,1.31,4.6,6.026,2.6749,11.5968,211.245,397.1,0.2848,7,1,0,1,rgb,0,0,0,0,none,,,,0.0,95.2736,22.9108,90.0,4.6,0.0,594.0,387.36,0.0,4.3109
otm,9,compound,,UNLABELED,213.67,399.41,215.75,397.33,2.08,2.08,4.3264,2.4141,10.01,214.71,398.37,1.0,34,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.1626,1.1207,10.5396,0.4374,0.0,594.0,387.36,0.0,3.3589
otm,10,path,,UNLABELED,217.7,399.57,224.17,394.63,6.47,4.94,31.9618,9.0345,33.0821,220.935,397.1,1.3097,11,1,0,1,rgb,0,0,0,0,none,,,,0.0,153.0435,1.2652,112.0289,5.1457,0.0,594.0,387.36,0.0,22.2296
otm,11,compound,,UNLABELED,175.95,405.94,180.38,401.1,4.43,4.84,21.4411,6.0184,22.3647,178.165,403.52,0.9153,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.408,1.2376,114.6399,5.3248,0.0,594.0,387.36,0.0,10.7206
otm,12,path,,UNLABELED,180.77,405.92,184.77,400.91,4.0,5.01,20.04,7.4696,27.5696,182.77,403.415,0.7984,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,67.8026,1.7655,132.9748,5.0024,0.0,594.0,387.36,0.0,19.22
otm,13,path,,UNLABELED,185.58,405.92,189.58,400.91,4.0,5.01,20.04,7.4703,27.5697,187.58,403.415,0.7984,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,67.7606,1.7653,132.8908,4.9956,0.0,594.0,387.36,0.0,19.22
otm,14,path,,UNLABELED,190.31,405.7,193.71,401.02,3.4,4.68,15.9119,6.0328,22.1241,192.01,403.36,0.7265,51,1,0,1,rgb,0,0,0,0,none,,,,0.0,105.4199,1.3759,90.0,2.91,0.0,594.0,387.36,0.0,14.7324
