airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
owb,0,0,0,168.355,347.03,92.6011,0.2202
owb,0,0,1,168.36,347.12,116.5476,0.0447
owb,0,0,2,168.37,347.055,90.0,0.09
owb,0,0,3,168.365,346.965,83.663,0.0905
owb,1,0,0,168.5,343.785,92.557,6.2763
owb,1,0,1,168.63,340.645,26.5476,0.0224
owb,1,0,2,168.49,341.045,107.7957,0.8507
owb,1,0,3,168.035,341.725,139.7632,0.8515
owb,1,0,4,167.295,342.065,171.098,0.8401
owb,1,0,5,166.485,341.97,22.0513,0.8524
owb,1,0,6,166.07,341.845,119.7382,0.0806
owb,1,0,7,154.95,333.16,38.1527,28.2311
owb,1,0,8,143.885,324.435,171.8856,0.0707
owb,1,0,9,143.45,323.88,49.4847,1.4469
owb,1,0,10,142.755,322.64,71.9397,1.4515
owb,1,0,11,142.47,321.935,14.0362,0.1237
owb,1,0,12,141.87,316.91,83.8481,10.078
owb,1,0,13,142.23,305.995,98.666,11.9464
owb,1,0,14,143.14,300.09,0.0,0.02
owb,1,0,15,143.355,299.635,114.254,0.9981
owb,1,0,16,144.025,298.835,143.4271,1.158
owb,1,0,17,144.94,298.43,172.4056,0.908
owb,1,0,18,145.79,298.485,16.0386,0.8324
owb,1,0,19,143.615,296.58,38.1131,6.5455
owb,1,0,20,141.29,294.96,57.9952,0.9434
owb,1,0,21,141.59,295.82,83.7972,0.9254
owb,1,0,22,141.63,296.275,26.5825,0.0224
owb,1,0,23,140.575,303.76,97.9426,15.1251
owb,1,0,24,139.71,314.495,86.8251,6.5
owb,1,0,25,139.92,317.73,161.5476,0.0632
owb,1,0,26,139.85,318.155,102.946,0.8927
owb,1,0,27,139.435,318.9,135.4588,0.8839
owb,1,0,28,138.685,319.295,168.9446,0.8864
owb,1,0,29,137.835,319.215,21.6814,0.8932
owb,1,0,30,137.36,319.045,4.7685,0.1204
owb,1,0,31,118.39,304.21,38.105,48.0632
owb,1,0,32,98.45,288.195,49.0028,3.1401
owb,1,0,33,96.625,285.62,60.233,3.2026
owb,1,0,34,95.325,282.705,71.6777,3.2129
owb,1,0,35,94.635,279.62,83.2369,3.1419
owb,1,0,36,95.195,271.78,96.7654,12.6481
owb,1,0,37,95.93,265.49,44.9781,0.0283
owb,1,0,38,96.25,264.68,112.4162,1.7308
owb,1,0,39,97.27,263.36,142.998,1.728
owb,1,0,40,98.645,262.72,170.0628,1.3909
owb,1,0,41,100.02,262.78,14.6215,1.4262
owb,1,0,42,97.675,260.625,37.5732,7.6586
owb,1,0,43,93.525,267.985,96.5606,19.5178
owb,1,0,44,92.42,277.66,116.5563,0.0447
owb,1,0,45,92.685,279.395,81.7328,3.5469
owb,1,0,46,93.51,282.865,71.6152,3.6145
owb,1,0,47,94.94,286.165,61.5162,3.6065
owb,1,0,48,96.905,289.14,51.5169,3.5514
owb,1,0,49,119.31,307.27,38.1643,54.1818
owb,1,0,50,154.155,334.925,38.863,34.791
owb,1,0,51,167.74,345.825,159.4452,0.0854
owb,1,0,52,167.98,346.055,50.774,0.6325
owb,1,0,53,168.27,346.61,73.8113,0.6456
owb,2,0,0,146.355,298.73,38.2347,0.4201
owb,2,0,1,146.535,298.85,146.283,0.0361
owb,2,0,2,146.465,298.775,37.4067,0.214
owb,2,0,3,146.285,298.655,30.065,0.2195
owb,3,0,0,140.995,294.52,41.6299,0.1204
owb,3,0,1,140.905,294.44,41.6408,0.1204
owb,3,0,2,140.845,294.395,18.4437,0.0316
owb,3,0,3,140.935,294.475,38.9923,0.2702
owb,4,0,0,100.955,263.15,37.7944,0.6201
owb,4,0,1,101.23,263.33,161.5498,0.0633
owb,4,0,2,101.125,263.225,35.1298,0.3301
owb,4,0,3,100.85,263.045,31.2659,0.3276
owb,5,0,0,251.77,435.265,114.9738,0.8053
owb,5,0,1,251.595,436.075,90.6444,0.8901
owb,5,0,2,251.79,436.92,63.4345,0.8944
owb,5,0,3,252.305,437.57,38.4378,0.8043
owb,5,0,4,250.26,442.485,116.8345,10.456
owb,5,0,5,245.2,445.855,25.6237,5.989
owb,5,0,6,244.735,440.09,116.5651,9.9952
owb,5,0,7,247.22,436.055,60.1133,1.0034
owb,5,0,8,248.01,436.705,21.7102,1.1625
owb,5,0,9,249.63,435.48,126.8699,3.6
owb,5,0,10,250.64,434.0,29.7456,0.1612
owb,5,0,11,250.425,433.89,25.7686,0.322
owb,5,0,12,249.99,433.675,26.5644,0.6485
owb,5,0,13,248.55,432.955,26.5654,2.5715
owb,5,0,14,246.965,432.165,26.3004,0.9705
owb,5,0,15,245.305,431.335,26.6585,2.7414
owb,5,0,16,243.54,431.66,119.8762,2.1681
owb,5,0,17,242.82,432.92,119.3578,0.7343
owb,5,0,18,242.965,433.42,28.9794,0.743
owb,5,0,19,241.545,437.035,116.9308,7.7057
owb,5,0,20,238.16,439.74,23.995,3.5903
owb,5,0,21,236.12,437.75,72.3874,2.6439
owb,5,0,22,237.02,433.64,114.5197,6.265
owb,5,0,23,239.51,430.685,174.9574,2.3892
owb,5,0,24,241.455,429.93,139.2744,1.9925
owb,5,0,25,243.69,424.11,105.9746,10.7553
owb,5,0,26,249.695,420.98,24.2672,9.9272
