airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
ozr,0,path,,UNLABELED,134.706,480.442,162.563,446.405,27.857,34.037,948.1686,313.5578,78.5475,148.6345,463.4235,0.8184,4,1,0,1,rgb,230,230,230,0,none,,,,0.0,133.2498,15.6318,135.2261,39.2355,0.0,593.0,387.0,0.0,313.5578
ozr,1,path,,UNLABELED,162.56,459.107,231.586,378.26,69.026,80.847,5580.5451,875.0635,219.3863,197.073,418.6835,0.8538,12,1,0,1,rgb,230,230,230,0,none,,,,0.0,133.0112,65.216,135.2262,90.9898,0.0,593.0,387.0,0.0,875.1739
ozr,2,path,,UNLABELED,240.301,381.674,324.269,294.007,83.968,87.667,7361.2222,1013.5537,133.8263,282.285,337.8405,0.9578,7,1,0,1,rgb,230,230,230,0,none,,,,0.0,134.3018,149.9522,135.226,96.9826,0.0,593.0,387.0,0.0,1013.5537
ozr,3,path,,UNLABELED,17.651,550.632,370.229,43.348,352.578,507.284,178857.1794,178857.1794,1719.724,193.94,296.99,0.695,5,1,0,0,none,,,,1,rgb,0,0,0,0.84,102.0704,2.236,90.0,507.284,0.0,593.0,387.0,0.0,178857.1794
ozr,4,path,,UNLABELED,263.015,165.846,268.557,160.304,5.542,5.542,30.7137,15.3568,15.6751,265.786,163.075,1.0,5,1,0,1,rgb,230,230,230,0,none,,,,0.0,0.0,1.4,135.0,3.9188,0.0,593.0,387.0,0.0,15.3568
ozr,5,path,,UNLABELED,286.798,197.314,292.34,191.772,5.542,5.542,30.7137,15.3568,15.6751,289.569,194.543,1.0,5,1,0,1,rgb,230,230,230,0,none,,,,0.0,0.0,1.4,135.0,3.9188,0.0,593.0,387.0,0.0,15.3568
ozr,6,path,,UNLABELED,308.018,215.254,313.56,209.712,5.542,5.542,30.7137,15.3568,15.6751,310.789,212.483,1.0,5,1,0,1,rgb,230,230,230,0,none,,,,0.0,0.0,1.4,135.0,3.9188,0.0,593.0,387.0,0.0,15.3568
ozr,7,path,,UNLABELED,318.628,240.106,324.17,234.564,5.542,5.542,30.7137,15.3568,15.6751,321.399,237.335,1.0,5,1,0,1,rgb,230,230,230,0,none,,,,0.0,0.0,1.4,135.0,3.9188,0.0,593.0,387.0,0.0,15.3568
ozr,8,path,,UNLABELED,289.515,242.998,295.057,237.456,5.542,5.542,30.7137,15.3568,15.6751,292.286,240.227,1.0,5,1,0,1,rgb,230,230,230,0,none,,,,0.0,0.0,1.4,135.0,3.9188,0.0,593.0,387.0,0.0,15.3568
ozr,9,path,,UNLABELED,267.353,222.558,272.895,217.016,5.542,5.542,30.7137,15.3568,15.6751,270.124,219.787,1.0,5,1,0,1,rgb,230,230,230,0,none,,,,0.0,0.0,1.4,135.0,3.9188,0.0,593.0,387.0,0.0,15.3568
