airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
pit,0,path,,UNLABELED,142.16,284.93,204.74,221.86,62.58,63.07,3946.9212,2323.0309,460.4345,173.45,253.395,0.9922,256,1,0,1,rgb,207,207,207,0,none,,,,0.0,176.4631,2.1271,43.0178,23.1009,0.0,594.0,387.36,0.0,3671.1741
pit,1,path,,UNLABELED,136.37,324.03,144.0,295.39,7.63,28.64,218.5232,184.0888,63.6906,140.185,309.71,0.2664,30,1,0,1,rgb,207,207,207,0,none,,,,0.0,92.8656,11.8105,90.8625,4.6505,0.0,594.0,387.36,0.0,184.6035
pit,2,path,,UNLABELED,94.79,274.59,108.4,259.3,13.61,15.29,208.097,168.0694,52.6599,101.595,266.945,0.8901,28,1,0,1,rgb,207,207,207,0,none,,,,0.0,124.9308,1.3316,178.3795,7.0728,0.0,594.0,387.36,0.0,177.4297
pit,3,path,,UNLABELED,97.73,294.44,108.69,275.18,10.96,19.26,211.0897,168.1859,58.5608,103.21,284.81,0.5691,36,1,0,1,rgb,207,207,207,0,none,,,,0.0,91.5817,2.4466,87.9423,13.3686,0.0,594.0,387.36,0.0,188.277
pit,4,path,,UNLABELED,96.44,320.81,109.73,303.15,13.29,17.66,234.7015,194.0842,55.1541,103.085,311.98,0.7525,23,1,0,1,rgb,207,207,207,0,none,,,,0.0,57.3131,1.7097,178.0015,10.8966,0.0,594.0,387.36,0.0,207.814
pit,5,path,,UNLABELED,132.73,358.62,147.39,337.76,14.66,20.86,305.8075,99.4004,54.3017,140.06,348.19,0.7028,29,1,0,1,rgb,207,207,207,0,none,,,,0.0,60.4657,37.5467,61.2564,16.8229,0.0,594.0,387.36,0.0,110.0111
pit,6,path,,UNLABELED,182.22,330.41,205.51,295.37,23.29,35.04,816.0809,310.805,124.5397,193.865,312.89,0.6647,42,1,0,1,rgb,207,207,207,0,none,,,,0.0,113.7594,12.3264,88.9018,15.6529,0.0,594.0,387.36,0.0,475.7346
pit,7,path,,UNLABELED,205.21,316.81,214.84,294.58,9.63,22.23,214.0751,147.3826,46.3724,210.025,305.695,0.4332,26,1,0,1,rgb,207,207,207,0,none,,,,0.0,84.21,5.3528,87.8302,8.7163,0.0,594.0,387.36,0.0,174.8507
pit,8,path,,UNLABELED,200.02,352.6,215.88,325.5,15.86,27.1,429.8061,239.074,65.2459,207.95,339.05,0.5852,47,1,0,1,rgb,207,207,207,0,none,,,,0.0,101.7221,2.3039,88.2709,13.256,0.0,594.0,387.36,0.0,290.4351
pit,9,path,,UNLABELED,175.08,358.13,198.83,335.03,23.75,23.1,548.6251,293.424,126.4696,186.955,346.58,1.0281,60,1,0,1,rgb,207,207,207,0,none,,,,0.0,30.0778,1.5505,175.514,17.1325,0.0,594.0,387.36,0.0,421.4046
pit,10,path,,UNLABELED,155.36,458.69,205.57,408.14,50.21,50.55,2538.1152,1277.0777,257.6832,180.465,433.415,0.9933,90,1,0,1,rgb,207,207,207,0,none,,,,0.0,106.072,2.116,133.7927,16.4439,0.0,594.0,387.36,0.0,1616.7056
pit,11,path,,UNLABELED,195.3,440.61,207.47,425.43,12.17,15.18,184.7405,61.4783,45.431,201.385,433.02,0.8017,66,1,0,1,rgb,207,207,207,0,none,,,,0.0,125.9213,4.6148,160.1003,7.051,0.0,594.0,387.36,0.0,84.2418
pit,12,path,,UNLABELED,265.36,481.8,306.47,427.82,41.11,53.98,2219.1168,746.2579,200.1965,285.915,454.81,0.7616,55,1,0,1,rgb,207,207,207,0,none,,,,0.0,132.0464,1.3227,43.5714,17.0183,0.0,594.0,387.36,0.0,1412.0422
pit,13,path,,UNLABELED,155.75,413.27,174.14,382.13,18.39,31.14,572.6646,242.3465,89.8427,164.945,397.7,0.5906,50,1,0,1,rgb,207,207,207,0,none,,,,0.0,81.2685,6.4183,132.9413,12.0074,0.0,594.0,387.36,0.0,327.693
pit,14,path,,UNLABELED,170.41,414.46,183.74,398.6,13.33,15.86,211.4138,96.5077,41.919,177.075,406.53,0.8405,11,1,0,1,rgb,207,207,207,0,none,,,,0.0,76.8862,1.5316,135.2258,8.9733,0.0,594.0,387.36,0.0,102.9526
pit,15,path,,UNLABELED,204.47,458.98,217.95,442.37,13.48,16.61,223.9027,151.5935,51.1773,211.21,450.675,0.8116,18,1,0,1,rgb,207,207,207,0,none,,,,0.0,60.0963,6.1026,93.9353,16.0278,0.0,594.0,387.36,0.0,154.6739
pit,16,path,,UNLABELED,94.22,118.71,102.05,115.37,7.83,3.34,26.1524,23.3588,21.3239,98.135,117.04,2.3443,9,1,0,1,rgb,207,207,207,0,none,,,,0.0,177.687,5.8768,178.0413,7.3143,0.0,594.0,387.36,0.0,23.6818
pit,17,path,,UNLABELED,177.61,471.26,191.25,456.17,13.64,15.09,205.8275,90.4434,44.5943,184.43,463.715,0.9039,23,1,0,1,rgb,207,207,207,0,none,,,,0.0,132.5417,4.7854,131.8498,8.3636,0.0,594.0,387.36,0.0,103.6681
pit,18,path,,UNLABELED,141.8,241.25,142.53,238.58,0.73,2.67,1.9491,1.7227,3.9101,142.165,239.915,0.2734,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,89.0045,18.721,88.4457,2.581,0.0,594.0,387.36,0.0,1.735
pit,19,path,,UNLABELED,141.47,234.32,142.27,230.92,0.8,3.4,2.72,2.1828,5.0137,141.87,232.62,0.2353,6,1,0,1,rgb,207,207,207,0,none,,,,0.0,89.9056,26.0439,88.0966,3.3118,0.0,594.0,387.36,0.0,2.2176
pit,20,path,,UNLABELED,132.35,243.18,136.04,237.37,3.69,5.81,21.4389,17.1064,12.654,134.195,240.275,0.6351,19,1,0,1,rgb,207,207,207,0,none,,,,0.0,87.57,3.9254,87.7093,2.502,0.0,594.0,387.36,0.0,17.9912
pit,21,path,,UNLABELED,136.13,236.45,141.52,230.86,5.39,5.59,30.1301,22.3441,18.8222,138.825,233.655,0.9642,44,1,0,1,rgb,207,207,207,0,none,,,,0.0,129.9122,1.5821,88.9658,2.7704,0.0,594.0,387.36,0.0,24.7048
pit,22,path,,UNLABELED,137.69,236.92,140.01,236.29,2.32,0.63,1.4616,1.2096,5.1862,138.85,236.605,3.6825,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,177.3547,19.0015,176.0377,2.3155,0.0,594.0,387.36,0.0,1.2096
pit,23,path,,UNLABELED,133.18,262.31,135.25,261.7,2.07,0.61,1.2627,1.1515,4.6515,134.215,262.005,3.3935,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,178.6188,13.4482,179.1657,2.0602,0.0,594.0,387.36,0.0,1.1515
pit,24,path,,UNLABELED,136.46,259.75,137.04,257.12,0.58,2.63,1.5254,1.2585,3.6127,136.75,258.435,0.2205,7,1,0,1,rgb,207,207,207,0,none,,,,0.0,88.6753,30.8645,87.7973,2.6019,0.0,594.0,387.36,0.0,1.2783
pit,25,path,,UNLABELED,142.63,259.63,143.25,257.0,0.62,2.63,1.6306,1.4578,3.7041,142.94,258.315,0.2357,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,88.7698,21.4173,87.7802,2.582,0.0,594.0,387.36,0.0,1.4578
pit,26,path,,UNLABELED,138.23,255.26,140.75,242.83,2.52,12.43,31.3234,24.7916,24.51,139.49,249.045,0.2027,8,1,0,1,rgb,207,207,207,0,none,,,,0.0,89.3375,18.0074,94.5698,5.648,0.0,594.0,387.36,0.0,29.3591
pit,27,path,,UNLABELED,137.53,266.27,138.3,264.01,0.77,2.26,1.7402,1.6395,3.6908,137.915,265.14,0.3407,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,88.9958,9.4556,89.2293,2.2302,0.0,594.0,387.36,0.0,1.6395
pit,28,path,,UNLABELED,133.2,268.6,137.58,262.24,4.38,6.36,27.8568,20.1355,12.8949,135.39,265.42,0.6887,23,1,0,1,rgb,207,207,207,0,none,,,,0.0,90.5247,4.0836,88.7325,2.2606,0.0,594.0,387.36,0.0,22.3878
pit,29,path,,UNLABELED,138.27,268.13,142.59,262.61,4.32,5.52,23.8464,19.1214,15.5297,140.43,265.37,0.7826,37,1,0,1,rgb,207,207,207,0,none,,,,0.0,72.2118,1.408,88.794,2.8506,0.0,594.0,387.36,0.0,20.6824
pit,30,path,,UNLABELED,142.53,266.57,143.45,263.72,0.92,2.85,2.622,2.4657,4.5608,142.99,265.145,0.3228,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,88.781,10.6333,89.1875,2.8203,0.0,594.0,387.36,0.0,2.4657
pit,31,path,,UNLABELED,133.41,285.77,136.06,268.55,2.65,17.22,45.6332,31.7497,32.6488,134.735,277.16,0.1539,8,1,0,1,rgb,207,207,207,0,none,,,,0.0,87.3655,53.0314,88.149,10.8357,0.0,594.0,387.36,0.0,35.6182
