airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
prb,0,path,,UNLABELED,129.58,309.88,129.76,305.84,0.18,4.04,0.7272,0.3011,4.0698,129.67,307.86,0.0446,3,1,0,0,none,,,,1,rgb,207,207,207,0.39,88.3497,789.7438,89.8396,3.57,0.0,594.0,387.36,0.0,0.3011
prb,1,path,,UNLABELED,74.38,178.6,74.38,178.47,0.0,0.13,0.0,0.0,0.13,74.38,178.535,0.0,2,1,0,0,none,,,,1,rgb,207,207,207,0.39,90.0,1000000.0,90.0,0.13,0.0,594.0,387.36,0.0,0.0
prb,2,compound,,UNLABELED,31.45,393.74,340.23,124.27,308.78,269.47,83206.9378,6260.5627,3234.4501,185.84,259.005,1.1459,525,10,0,1,rgb,207,207,207,0,none,,,,0.0,160.9277,1.117,1.3365,186.9309,0.0,594.0,387.36,0.0,60930.8376
prb,3,path,,UNLABELED,280.11,198.41,301.73,174.78,21.62,23.63,510.8806,510.8806,90.5,290.92,186.595,0.9149,5,1,0,0,none,,,,1,rgb,0,0,0,0.39,120.9468,1.4637,90.0,23.63,0.0,594.0,387.36,0.0,510.8806
prb,4,compound,,UNLABELED,243.95,447.6,247.1,442.75,3.15,4.85,15.2776,5.7281,22.4478,245.525,445.175,0.6495,98,2,0,1,rgb,0,0,0,0,none,,,,0.0,89.9985,2.6299,103.7076,0.422,0.0,594.0,387.36,0.0,12.1928
prb,5,path,,UNLABELED,247.83,443.43,248.51,442.75,0.68,0.68,0.4624,0.3546,2.1275,248.17,443.09,1.0,17,1,0,1,rgb,0,0,0,0,none,,,,0.0,90.4841,1.1092,102.0943,0.1432,0.0,594.0,387.36,0.0,0.3546
prb,6,path,,UNLABELED,249.82,447.43,251.14,442.83,1.32,4.6,6.072,2.6775,11.6121,250.48,445.13,0.287,7,1,0,1,rgb,0,0,0,0,none,,,,0.0,95.2992,22.6556,90.0,4.6,0.0,594.0,387.36,0.0,4.3339
prb,7,compound,,UNLABELED,252.91,447.44,254.99,445.36,2.08,2.08,4.3264,2.4102,10.0173,253.95,446.4,1.0,34,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.1507,1.1186,10.5396,0.4374,0.0,594.0,387.36,0.0,3.3589
prb,8,path,,UNLABELED,256.94,447.6,263.41,442.66,6.47,4.94,31.9618,9.0333,33.0822,260.175,445.13,1.3097,11,1,0,1,rgb,0,0,0,0,none,,,,0.0,153.1343,1.2617,67.9712,5.1457,0.0,594.0,387.36,0.0,22.2296
prb,9,compound,,UNLABELED,215.19,453.97,219.61,449.13,4.42,4.84,21.3928,6.0095,22.3305,217.4,451.55,0.9132,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.2411,1.244,65.4579,5.3207,0.0,594.0,387.36,0.0,10.6964
prb,10,path,,UNLABELED,220.01,453.95,224.01,448.94,4.0,5.01,20.04,7.4696,27.5696,222.01,451.445,0.7984,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,67.8026,1.7655,132.9748,5.0024,0.0,594.0,387.36,0.0,19.22
prb,11,path,,UNLABELED,224.82,453.95,228.82,448.94,4.0,5.01,20.04,7.4696,27.5696,226.82,451.445,0.7984,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,67.8026,1.7655,132.9748,5.0024,0.0,594.0,387.36,0.0,19.22
prb,12,path,,UNLABELED,229.55,453.73,232.95,449.05,3.4,4.68,15.9119,6.0288,22.1245,231.25,451.39,0.7265,51,1,0,1,rgb,0,0,0,0,none,,,,0.0,105.3663,1.376,90.0,2.91,0.0,594.0,387.36,0.0,14.7304
prb,13,compound,,UNLABELED,233.22,453.97,237.65,449.13,4.43,4.84,21.4411,6.0124,22.3587,235.435,451.55,0.9153,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.5828,1.2358,114.6399,5.3248,0.0,594.0,387.36,0.0,10.7206
prb,14,path,,UNLABELED,238.04,453.73,240.04,449.13,2.0,4.6,9.2,3.474,13.2,239.04,451.43,0.4348,7,1,0,1,rgb,0,0,0,0,none,,,,0.0,100.4862,10.2887,90.0,4.6,0.0,594.0,387.36,0.0,6.337
prb,15,compound,,UNLABELED,242.17,453.73,245.08,449.13,2.91,4.6,13.386,6.4661,23.4965,243.625,451.43,0.6326,45,2,0,1,rgb,0,0,0,0,none,,,,0.0,92.1591,3.0565,90.0,4.6,0.0,594.0,387.36,0.0,11.9707
prb,16,compound,,UNLABELED,244.99,453.97,249.42,449.13,4.43,4.84,21.4411,6.0124,22.3587,247.205,451.55,0.9153,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.5828,1.2358,114.6399,5.3248,0.0,594.0,387.36,0.0,10.7206
prb,17,path,,UNLABELED,249.39,453.73,252.18,449.13,2.79,4.6,12.8339,3.8769,14.78,250.785,451.43,0.6065,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,89.3782,3.4394,90.0,4.09,0.0,594.0,387.36,0.0,8.3554
prb,18,path,,UNLABELED,252.6,453.73,255.11,449.13,2.51,4.6,11.546,5.6517,21.74,253.855,451.43,0.5457,13,1,0,1,rgb,0,0,0,0,none,,,,0.0,82.4378,2.6582,90.0,4.6,0.0,594.0,387.36,0.0,11.546
prb,19,compound,,UNLABELED,257.23,453.9,262.08,449.05,4.85,4.85,23.5226,7.4941,27.0506,259.655,451.475,1.0,114,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.056,1.0721,117.257,0.3712,0.0,594.0,387.36,0.0,18.5185
prb,20,path,,UNLABELED,262.65,453.73,264.9,449.13,2.25,4.6,10.35,4.3817,16.92,263.775,451.43,0.4891,11,1,0,1,rgb,0,0,0,0,none,,,,0.0,72.0072,3.9303,90.0,4.6,0.0,594.0,387.36,0.0,8.3387
prb,21,path,,UNLABELED,267.07,453.9,270.71,449.05,3.64,4.85,17.6541,5.1008,20.0532,268.89,451.475,0.7505,75,1,0,1,rgb,0,0,0,0,none,,,,0.0,87.308,2.3149,90.0,0.68,0.0,594.0,387.36,0.0,14.884
prb,22,path,,UNLABELED,271.37,453.73,274.69,449.13,3.32,4.6,15.272,6.5603,24.02,273.03,451.43,0.7217,13,1,0,1,rgb,0,0,0,0,none,,,,0.0,90.962,2.025,90.0,4.6,0.0,594.0,387.36,0.0,15.272
prb,23,compound,,UNLABELED,275.0,453.97,279.43,449.13,4.43,4.84,21.4411,6.0124,22.3588,277.215,451.55,0.9153,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.5828,1.2358,114.6399,5.3248,0.0,594.0,387.36,0.0,10.7206
prb,24,path,,UNLABELED,279.82,453.95,283.82,448.94,4.0,5.01,20.04,7.4703,27.5697,281.82,451.445,0.7984,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,67.7606,1.7653,132.8908,4.9956,0.0,594.0,387.36,0.0,19.22
prb,25,path,,UNLABELED,284.38,453.9,288.8,449.05,4.42,4.85,21.4371,7.04,26.8556,286.59,451.475,0.9113,100,1,0,1,rgb,0,0,0,0,none,,,,0.0,97.4448,1.4419,0.0,1.76,0.0,594.0,387.36,0.0,17.1681
prb,26,path,,UNLABELED,289.41,453.73,291.92,449.13,2.51,4.6,11.5461,5.6517,21.7401,290.665,451.43,0.5457,13,1,0,1,rgb,0,0,0,0,none,,,,0.0,82.4377,2.6581,90.0,4.6,0.0,594.0,387.36,0.0,11.5461
