airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
prc,0,path,,UNLABELED,42.96,162.76,61.38,143.15,18.42,19.61,361.216,140.9299,34.0947,52.17,152.955,0.9393,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,48.713,7.8052,48.3832,19.8902,0.0,594.0,387.36,0.0,140.9299
prc,1,compound,,UNLABELED,114.85,433.1,328.95,117.5,214.1,315.6,67569.9624,3782.2303,1637.7275,221.9,275.3,0.6784,422,11,0,1,rgb,207,207,207,0,none,,,,0.0,54.4104,19.3383,48.7062,56.4462,0.0,594.0,387.36,0.0,25688.6267
prc,2,path,,UNLABELED,239.8,445.48,297.5,395.4,57.7,50.08,2889.6167,332.4439,221.8276,268.65,420.44,1.1522,68,1,0,1,rgb,207,207,207,0,none,,,,0.0,37.2938,3.4534,48.9932,32.4927,0.0,594.0,387.36,0.0,1242.1636
prc,3,path,,UNLABELED,173.53,359.66,182.21,352.29,8.68,7.37,63.9715,13.2086,25.7171,177.87,355.975,1.1777,12,1,0,1,rgb,207,207,207,0,none,,,,0.0,141.5549,3.5669,48.7135,5.8955,0.0,594.0,387.36,0.0,29.2853
prc,4,path,,UNLABELED,280.98,516.96,319.84,474.22,38.86,42.74,1660.877,143.181,136.948,300.41,495.59,0.9092,39,1,0,1,rgb,207,207,207,0,none,,,,0.0,51.7988,30.9747,48.822,33.8396,0.0,594.0,387.36,0.0,510.8509
prc,5,path,,UNLABELED,222.06,451.44,261.85,411.57,39.79,39.87,1586.4274,91.1395,124.7881,241.955,431.505,0.998,22,1,0,1,rgb,207,207,207,0,none,,,,0.0,44.5482,21.6862,48.7155,51.9401,0.0,594.0,387.36,0.0,294.7489
prc,6,path,,UNLABELED,256.33,479.51,282.01,450.4,25.68,29.11,747.5444,49.7177,76.2408,269.17,464.955,0.8822,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,48.4744,740.1451,48.7116,37.357,0.0,594.0,387.36,0.0,52.0449
prc,7,path,,UNLABELED,168.85,412.41,228.62,350.72,59.77,61.69,3687.2117,117.137,181.0212,198.735,381.565,0.9689,23,1,0,1,rgb,207,207,207,0,none,,,,0.0,45.3818,63.7533,48.69,73.3943,0.0,594.0,387.36,0.0,421.0799
prc,8,compound,,UNLABELED,128.91,396.56,187.56,341.81,58.65,54.75,3211.0872,1136.8112,557.0372,158.235,369.185,1.0712,95,7,0,1,rgb,207,207,207,0,none,,,,0.0,37.507,1.7537,138.8848,22.8567,0.0,594.0,387.36,0.0,1779.8192
prc,9,compound,,UNLABELED,30.88,268.29,80.83,211.97,49.95,56.32,2813.1829,1013.5761,247.0687,55.855,240.13,0.8869,55,2,0,1,rgb,207,207,207,0,none,,,,0.0,116.6182,5.9336,132.8453,28.5873,0.0,594.0,387.36,0.0,1558.7409
prc,10,path,,UNLABELED,61.25,233.81,98.39,192.49,37.14,41.32,1534.625,220.9333,148.9739,79.82,213.15,0.8988,56,1,0,1,rgb,207,207,207,0,none,,,,0.0,47.1308,6.2486,48.5357,14.332,0.0,594.0,387.36,0.0,721.1417
prc,11,compound,,UNLABELED,33.73,227.45,57.99,170.55,24.26,56.9,1380.3938,349.1739,220.7239,45.86,199.0,0.4264,42,2,0,1,rgb,207,207,207,0,none,,,,0.0,89.2288,6.8258,48.5516,28.5371,0.0,594.0,387.36,0.0,904.3928
prc,12,path,,UNLABELED,39.61,196.3,70.32,162.0,30.71,34.3,1053.3526,248.6968,127.4766,54.965,179.15,0.8953,45,1,0,1,rgb,207,207,207,0,none,,,,0.0,58.6328,3.2871,48.5674,17.046,0.0,594.0,387.36,0.0,564.4725
prc,13,compound,,UNLABELED,96.13,177.15,131.64,152.58,35.51,24.57,872.4808,420.0877,158.8016,113.885,164.865,1.4453,38,3,0,1,rgb,207,207,207,0,none,,,,0.0,23.8032,1.939,137.874,15.6538,0.0,594.0,387.36,0.0,606.8547
prc,14,path,,UNLABELED,60.77,207.83,149.53,147.57,88.76,60.26,5348.6784,551.3337,349.7651,105.15,177.7,1.473,114,1,0,1,rgb,207,207,207,0,none,,,,0.0,31.7238,4.1064,47.9698,35.6224,0.0,594.0,387.36,0.0,2998.8901
prc,15,path,,UNLABELED,148.04,162.23,166.53,143.53,18.49,18.7,345.763,62.3708,55.035,157.285,152.88,0.9888,18,1,0,1,rgb,207,207,207,0,none,,,,0.0,137.0868,4.3004,133.5103,23.9366,0.0,594.0,387.36,0.0,142.8941
prc,16,path,,UNLABELED,164.52,144.71,203.33,106.52,38.81,38.19,1482.1539,119.6306,76.7909,183.925,125.615,1.0162,19,1,0,1,rgb,207,207,207,0,none,,,,0.0,137.2287,21.4777,133.5027,44.379,0.0,594.0,387.36,0.0,305.3815
prc,17,path,,UNLABELED,92.87,397.05,241.64,227.39,148.77,169.66,25240.3159,1180.7717,569.8531,167.255,312.22,0.8769,157,1,0,1,rgb,207,207,207,0,none,,,,0.0,48.8089,91.4084,48.813,51.5703,0.0,594.0,387.36,0.0,4963.9222
prc,18,path,,UNLABELED,60.77,286.0,105.19,246.91,44.42,39.09,1736.3777,429.7121,132.657,82.98,266.455,1.1364,19,1,0,1,rgb,207,207,207,0,none,,,,0.0,146.6465,12.7315,133.9542,46.104,0.0,594.0,387.36,0.0,678.5799
