airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
prx,0,0,0,144.515,294.27,159.1494,0.2247
prx,0,0,1,144.285,294.345,164.3562,0.2596
prx,0,0,2,144.035,294.41,166.5048,0.2571
prx,0,0,3,143.785,294.46,170.9078,0.2532
prx,0,0,4,143.53,294.49,175.6036,0.2608
prx,0,0,5,143.27,294.505,177.7952,0.2602
prx,0,0,6,143.01,294.5,4.3961,0.2608
prx,0,0,7,142.815,294.485,4.4033,0.1304
prx,0,0,8,139.055,294.41,1.0854,7.3913
prx,0,0,9,135.36,295.855,90.0,3.03
prx,0,0,10,139.36,297.465,1.3603,8.0023
prx,0,0,11,143.545,297.605,13.6754,0.3808
prx,0,0,12,143.915,297.705,16.5552,0.386
prx,0,0,13,144.365,297.885,25.2532,0.586
prx,1,0,0,166.23,296.22,90.8012,2.8603
prx,1,0,1,171.485,297.795,1.5746,10.554
prx,1,0,2,183.885,298.09,1.2061,14.2532
prx,1,0,3,200.825,298.42,1.0506,19.6333
prx,1,0,4,216.23,298.665,0.6662,11.1808
prx,1,0,5,221.775,297.1,88.4184,3.2613
prx,1,0,6,220.27,295.49,179.215,2.9203
prx,1,0,7,212.77,295.445,0.6166,12.0807
prx,1,0,8,197.135,295.25,0.7763,19.1917
prx,1,0,9,181.29,295.055,0.5957,12.5007
prx,2,0,0,249.85,266.48,51.6942,3.033
prx,2,0,1,248.9,265.3,134.9563,0.0283
prx,2,0,2,248.855,265.345,135.0125,0.099
prx,2,0,3,242.165,273.59,129.0281,21.137
prx,2,0,4,232.315,285.9,127.9282,10.3958
prx,2,0,5,230.13,291.015,45.1418,2.8638
prx,2,0,6,233.085,289.725,130.1582,6.0319
prx,2,0,7,238.36,283.25,128.6095,10.6729
prx,2,0,8,245.675,274.055,128.4156,12.8267
prx,3,0,0,136.015,176.275,42.8286,2.9861
prx,3,0,1,132.54,178.345,127.6492,7.7927
prx,3,0,2,124.975,188.37,126.7641,17.326
prx,3,0,3,119.475,195.745,125.9088,1.0742
prx,3,0,4,118.955,196.64,114.0208,1.0072
prx,3,0,5,118.67,197.77,96.8092,1.3495
prx,3,0,6,118.2,218.385,91.1202,39.8976
prx,3,0,7,117.645,244.055,91.6508,11.4547
prx,3,0,8,117.475,250.2,90.6822,0.8401
prx,3,0,9,117.33,262.19,90.6933,23.1417
prx,3,0,10,117.09,281.82,90.7108,16.1212
prx,3,0,11,118.62,289.84,178.5945,3.261
prx,3,0,12,120.49,277.395,91.1084,24.8146
prx,3,0,13,120.81,255.41,90.4784,19.1607
prx,3,0,14,121.095,232.735,90.8969,26.1932
prx,3,0,15,121.445,209.345,90.8069,20.592
prx,3,0,16,121.63,198.65,95.7106,0.804
prx,3,0,17,121.835,197.85,112.4166,0.8654
prx,4,0,0,126.98,478.885,0.4165,12.3803
prx,4,0,1,120.775,478.835,18.4349,0.0316
prx,4,0,2,120.595,478.78,16.8584,0.3448
prx,4,0,3,120.265,478.67,19.9834,0.3511
prx,4,0,4,119.94,478.535,25.1151,0.3534
prx,4,0,5,119.63,478.38,28.0717,0.34
prx,4,0,6,119.33,478.205,32.3482,0.3551
prx,4,0,7,119.045,478.005,37.8744,0.3421
prx,4,0,8,118.775,477.785,40.4268,0.3547
prx,4,0,9,118.515,477.55,43.8306,0.3466
prx,4,0,10,118.275,477.3,48.5034,0.3471
prx,4,0,11,118.055,477.03,53.1301,0.35
prx,4,0,12,117.855,476.745,56.768,0.3467
prx,4,0,13,117.675,476.45,60.4611,0.3448
prx,4,0,14,117.515,476.14,64.886,0.3534
prx,4,0,15,117.375,475.82,67.8898,0.3454
prx,4,0,16,117.26,475.495,73.1419,0.3448
prx,4,0,17,117.17,475.16,76.7593,0.3493
prx,4,0,18,117.1,474.815,80.2728,0.3551
prx,4,0,19,117.055,474.47,84.9577,0.3413
prx,4,0,20,117.255,460.92,90.9206,26.7635
prx,4,0,21,117.66,434.265,90.82,26.5527
prx,4,0,22,117.92,412.085,90.4504,17.8105
prx,4,0,23,116.89,403.125,2.8624,2.2027
prx,4,0,24,115.785,411.935,90.0323,17.73
prx,4,0,25,115.585,434.955,90.7893,28.3127
prx,4,0,26,115.16,464.805,90.8396,31.3934
prx,4,0,27,117.38,480.635,3.1539,4.9074
prx,4,0,28,120.43,480.785,1.4324,1.2004
prx,4,0,29,121.39,480.805,0.7953,0.7201
prx,4,0,30,127.475,480.92,1.1008,11.4521
prx,5,0,0,113.55,249.71,1.0205,7.8612
prx,5,0,1,109.63,250.07,88.668,0.8602
prx,5,0,2,113.555,250.56,0.878,7.8309
prx,6,0,0,163.79,158.84,90.7587,3.0203
prx,6,0,1,167.34,160.4,0.8025,7.1407
prx,6,0,2,171.405,160.465,1.7357,0.9904
prx,6,0,3,172.53,160.625,12.9617,1.293
prx,6,0,4,173.735,161.005,22.2298,1.2423
prx,6,0,5,172.845,159.265,53.4332,4.9181
prx,7,0,0,336.105,214.29,89.4561,3.1601
prx,7,0,1,330.05,212.715,179.9525,12.08
prx,7,0,2,311.81,212.565,0.7279,24.402
prx,7,0,3,296.64,212.37,0.7718,5.9405
prx,7,0,4,293.49,212.35,173.6582,0.3622
prx,7,0,5,293.135,212.4,170.273,0.3551
prx,7,0,6,292.79,212.47,166.7566,0.3493
prx,7,0,7,292.45,212.565,162.0741,0.3573
prx,7,0,8,292.115,212.69,157.0083,0.3585
prx,7,0,9,291.79,212.835,154.8866,0.3534
prx,7,0,10,291.475,213.0,149.8594,0.3585
prx,7,0,11,291.17,213.19,146.3099,0.3606
prx,7,0,12,290.88,213.4,141.8425,0.3561
prx,7,0,13,290.605,213.63,138.3665,0.3612
prx,7,0,14,290.35,213.875,133.8333,0.3466
prx,7,0,15,290.12,214.13,130.2315,0.3406
prx,7,0,16,283.14,222.805,128.7986,21.9284
prx,7,0,17,273.14,235.35,128.0431,10.1581
prx,7,0,18,265.475,245.045,128.5308,14.5601
prx,7,0,19,260.91,250.77,135.0,0.0848
prx,7,0,20,261.83,251.725,44.2363,2.6519
prx,7,0,21,269.165,244.27,127.3049,21.0706
prx,7,0,22,281.41,229.12,130.879,17.9078
prx,7,0,23,289.095,219.97,127.4811,5.9983
prx,7,0,24,291.265,217.115,125.9912,1.1741
prx,7,0,25,291.79,216.4,126.8722,0.6
prx,7,0,26,292.105,216.06,143.4684,0.336
