airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
pub,0,0,0,254.95,103.485,1.9565,16.1094
pub,0,0,1,264.135,103.935,8.7653,2.2968
pub,0,0,2,265.88,104.36,22.2856,1.3185
pub,0,0,3,267.015,105.02,37.9887,1.3322
pub,0,0,4,268.015,105.89,44.0809,1.3225
pub,0,0,5,268.765,106.79,57.9944,1.0377
pub,0,0,6,269.19,107.655,70.559,0.9014
pub,0,0,7,269.39,108.435,81.9823,0.717
pub,0,0,8,270.035,114.98,84.5094,12.4371
pub,0,0,9,269.64,121.4,166.9203,2.0327
pub,0,0,10,268.135,121.83,158.7766,1.1049
pub,0,0,11,267.06,122.365,149.1121,1.3051
pub,0,0,12,266.175,122.955,141.8809,0.8262
pub,0,0,13,265.555,123.59,127.8222,0.9621
pub,0,0,14,265.07,124.365,115.6891,0.8766
pub,0,0,15,264.8,125.075,104.2502,0.65
pub,0,0,16,264.905,127.73,85.4797,4.6946
pub,0,0,17,266.37,144.055,84.7705,28.0869
pub,0,0,18,292.065,158.59,1.2905,48.8424
pub,0,0,19,316.425,163.55,90.7144,8.8207
pub,0,0,20,312.285,167.845,1.6126,8.1733
pub,0,0,21,308.83,167.515,161.1572,1.3314
pub,0,0,22,309.785,167.15,155.2255,0.7159
pub,0,0,23,310.34,166.745,132.05,0.6868
pub,0,0,24,310.595,166.15,94.2044,0.6818
pub,0,0,25,310.515,165.435,74.3584,0.7788
pub,0,0,26,309.99,164.455,55.2316,1.473
pub,0,0,27,308.965,163.35,39.5714,1.5698
pub,0,0,28,307.83,162.52,31.9071,1.2487
pub,0,0,29,306.665,161.985,17.8922,1.3345
pub,0,0,30,305.355,161.72,5.0794,1.3553
pub,0,0,31,286.285,161.38,0.8721,36.7943
pub,0,0,32,268.135,163.385,83.8798,4.5962
pub,0,0,33,268.56,165.87,48.0157,0.5382
pub,0,0,34,269.045,166.335,40.9834,0.8081
pub,0,0,35,267.395,166.54,1.7578,3.9118
pub,0,0,36,262.79,138.21,84.6448,56.7878
pub,0,0,37,259.63,108.775,66.3581,2.5435
pub,0,0,38,258.685,107.23,41.1387,1.1552
pub,0,0,39,257.705,106.605,24.2069,1.1951
pub,0,0,40,253.66,106.25,1.8001,7.0035
pub,0,0,41,249.615,106.305,163.1553,1.1389
pub,0,0,42,248.685,106.635,156.8024,0.8377
pub,0,0,43,247.975,107.07,140.2805,0.845
pub,0,0,44,247.2,107.8,134.3707,1.287
pub,1,0,0,225.075,102.595,1.585,33.6229
pub,1,0,1,208.235,103.365,91.6231,2.471
pub,1,0,2,208.81,104.1,140.6595,1.5775
pub,1,0,3,213.735,103.7,1.3275,8.6323
pub,1,0,4,218.54,103.81,1.1703,0.9802
pub,1,0,5,219.47,104.04,26.5651,0.9839
pub,1,0,6,220.15,104.59,53.9718,0.8161
pub,1,0,7,219.55,134.305,91.6374,58.794
pub,1,0,8,218.13,164.56,123.6903,2.0912
pub,1,0,9,217.485,167.75,91.6047,4.6418
pub,1,0,10,217.82,170.66,55.8643,1.4256
pub,1,0,11,218.06,180.145,91.0305,17.7929
pub,1,0,12,217.7,189.335,124.1367,0.7128
pub,1,0,13,217.17,189.89,141.7669,0.8402
pub,1,0,14,216.395,190.315,159.6563,0.9492
pub,1,0,15,211.405,190.325,1.9532,9.0953
pub,1,0,16,206.27,189.565,45.7191,1.6901
pub,1,0,17,205.625,190.695,91.8157,3.4717
pub,1,0,18,206.17,191.955,141.6321,1.5305
pub,1,0,19,210.955,191.53,0.6845,8.3706
pub,1,0,20,215.655,191.655,8.2854,1.0409
pub,1,0,21,216.65,191.985,27.9801,1.0871
pub,1,0,22,217.405,192.63,54.8111,0.9544
pub,1,0,23,216.785,226.795,91.5179,67.5737
pub,1,0,24,215.69,260.94,118.393,0.8412
pub,1,0,25,215.175,261.605,136.8783,0.8631
pub,1,0,26,214.53,262.1,148.7815,0.7717
pub,1,0,27,208.845,262.08,2.3526,10.719
pub,1,0,28,203.47,262.62,91.5072,1.5205
pub,1,0,29,219.495,263.835,1.6243,32.1029
pub,1,0,30,235.85,264.475,30.8296,0.722
pub,1,0,31,236.62,265.14,46.2187,1.3297
pub,1,0,32,237.155,263.355,91.8966,4.5325
pub,1,0,33,236.935,261.735,114.5779,1.4185
pub,1,0,34,236.345,262.69,133.5798,0.8559
pub,1,0,35,227.33,262.78,1.4452,17.4456
pub,1,0,36,218.39,262.45,26.5658,0.4919
pub,1,0,37,217.875,262.12,36.7138,0.736
pub,1,0,38,217.34,261.455,61.6607,1.0112
pub,1,0,39,217.195,258.6,92.2574,4.8238
pub,1,0,40,218.63,254.83,134.5755,3.8185
pub,1,0,41,220.065,248.48,91.0907,9.9818
pub,1,0,42,218.89,242.22,44.9998,3.5921
pub,1,0,43,218.025,227.68,91.7481,26.5524
pub,1,0,44,218.705,214.115,132.9908,0.8066
pub,1,0,45,219.475,213.49,146.3095,1.1898
pub,1,0,46,228.675,213.325,1.0858,17.4131
pub,1,0,47,237.565,213.675,45.0,0.5233
pub,1,0,48,238.245,214.32,42.9014,1.3515
pub,1,0,49,238.795,212.775,91.5713,4.0115
pub,1,0,50,238.59,211.19,121.7598,0.9879
pub,1,0,51,238.0,211.905,138.2041,0.8853
pub,1,0,52,228.71,212.0,1.2788,17.9245
pub,1,0,53,219.55,211.595,45.7059,0.5728
pub,1,0,54,219.035,210.965,53.455,1.058
pub,1,0,55,219.22,191.015,91.4669,39.0628
pub,1,0,56,220.305,170.77,129.0938,1.8554
pub,1,0,57,220.835,167.6,88.714,4.9012
pub,1,0,58,220.505,164.745,55.8235,0.9791
pub,1,0,59,219.975,163.825,63.6574,1.1494
pub,1,0,60,220.435,144.15,92.1371,38.3467
pub,1,0,61,222.55,123.795,139.5171,3.6813
pub,1,0,62,224.025,117.375,90.8223,10.4511
pub,1,0,63,222.9,110.935,45.3559,3.4154
pub,1,0,64,221.72,107.415,90.497,4.6102
pub,1,0,65,222.33,104.54,135.9884,1.6407
pub,1,0,66,223.195,103.88,161.8785,0.5787
pub,1,0,67,232.005,104.045,1.7112,17.0776
pub,1,0,68,241.175,104.755,35.6233,1.5624
pub,2,0,0,273.045,300.32,0.0,0.59
pub,2,0,1,272.64,306.915,90.9556,13.1918
pub,2,0,2,272.325,316.77,93.5983,6.5329
pub,2,0,3,271.715,321.33,107.3037,2.7233
pub,2,0,4,270.745,322.79,164.1884,1.1744
pub,2,0,5,271.405,322.885,176.9626,2.4535
pub,2,0,6,273.11,322.83,1.1928,0.9602
pub,2,0,7,273.64,319.88,90.9678,5.9208
pub,2,0,8,273.76,313.22,91.0837,7.4013
pub,2,0,9,274.035,306.5,93.8834,6.0539
pub,2,0,10,274.65,302.17,107.3791,2.7453
pub,2,0,11,275.915,300.62,164.3201,1.7761
pub,3,0,0,296.11,240.05,0.0,2.6
pub,3,0,1,294.81,238.935,90.0,2.23
pub,3,0,2,296.11,237.82,0.0,2.6
pub,3,0,3,297.41,238.935,90.0,2.23
pub,3,0,4,297.415,238.545,90.1905,3.01
pub,3,0,5,297.415,235.725,89.7819,2.63
pub,3,0,6,297.405,234.41,0.0,0.01
pub,3,0,7,297.4,234.415,90.0,0.01
pub,3,0,8,294.775,234.415,0.1092,5.25
pub,3,0,9,292.15,232.245,90.0,4.33
pub,3,0,10,292.345,227.12,93.7692,5.9328
pub,3,0,11,292.54,222.225,90.0,3.87
pub,3,0,12,292.69,219.35,99.0661,1.9038
pub,3,0,13,292.525,218.41,0.0,0.63
pub,3,0,14,292.21,217.33,90.0,2.16
pub,3,0,15,292.525,216.25,0.0,0.63
pub,3,0,16,292.84,214.085,90.0,4.33
pub,3,0,17,293.335,211.915,179.4207,0.9901
pub,3,0,18,293.83,212.925,90.0,2.03
pub,3,0,19,294.38,213.94,0.0,1.1
pub,3,0,20,294.93,211.85,90.0,4.18
pub,3,0,21,296.57,209.76,0.0,3.28
pub,3,0,22,298.32,209.77,5.1994,0.2209
pub,3,0,23,298.515,208.855,95.2507,1.8578
pub,3,0,24,296.555,207.92,0.2804,4.09
pub,3,0,25,293.78,207.79,9.3347,1.4796
pub,3,0,26,293.05,203.47,90.0,8.4
pub,3,0,27,293.31,198.44,107.3929,1.7395
pub,3,0,28,293.86,197.295,132.6329,0.8563
pub,3,0,29,294.53,196.835,159.1159,0.8135
pub,3,0,30,298.77,196.86,2.5217,7.7275
pub,3,0,31,302.895,197.14,22.5432,0.5738
pub,3,0,32,303.45,197.77,60.852,1.1908
pub,3,0,33,303.7,205.3,90.3269,14.0202
pub,3,0,34,304.43,212.375,4.8254,1.5455
pub,3,0,35,305.28,205.495,90.66,13.8909
pub,3,0,36,305.77,198.065,130.209,1.2701
pub,3,0,37,306.64,197.475,167.1426,0.9437
pub,3,0,38,307.885,197.39,1.4586,1.5705
pub,3,0,39,309.065,197.76,41.5447,1.0555
pub,3,0,40,309.565,198.43,71.8327,0.6736
