airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
pwa,0,path,,UNLABELED,130.54,479.88,177.9,451.44,47.36,28.44,1346.9185,144.8415,124.9091,154.22,465.66,1.6653,21,1,0,1,rgb,207,207,207,0,none,,,,0.0,24.9397,87.8432,21.0108,50.7331,0.0,594.0,387.36,0.0,385.9841
pwa,1,path,,UNLABELED,177.97,134.09,185.18,127.12,7.21,6.97,50.2538,50.2538,21.39,181.575,130.605,1.0344,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,0.0,1.0701,0.0,7.21,0.0,594.0,387.36,0.0,50.2538
pwa,2,path,,UNLABELED,130.54,235.46,177.96,219.03,47.42,16.43,779.1102,176.8733,155.9186,154.25,227.245,2.8862,44,1,0,1,rgb,207,207,207,0,none,,,,0.0,172.1727,24.1682,179.9873,45.01,0.0,594.0,387.36,0.0,513.3321
pwa,3,path,,UNLABELED,174.26,235.07,177.95,229.86,3.69,5.21,19.2249,6.5096,15.336,176.105,232.465,0.7083,8,1,0,1,rgb,207,207,207,0,none,,,,0.0,67.4103,1.2767,135.1074,3.7689,0.0,594.0,387.36,0.0,9.6175
pwa,4,path,,UNLABELED,185.16,215.87,188.85,210.66,3.69,5.21,19.2249,6.5202,15.3316,187.005,213.265,0.7083,8,1,0,1,rgb,207,207,207,0,none,,,,0.0,67.3097,1.2785,90.0,3.77,0.0,594.0,387.36,0.0,9.6175
pwa,5,path,,UNLABELED,87.55,323.04,126.94,314.37,39.39,8.67,341.5118,102.8468,94.5043,107.245,318.705,4.5432,21,1,0,1,rgb,207,207,207,0,none,,,,0.0,3.8563,57.8909,179.9843,36.42,0.0,594.0,387.36,0.0,248.7959
pwa,6,path,,UNLABELED,130.54,323.04,177.94,316.31,47.4,6.73,319.0025,117.6435,112.3435,154.24,319.675,7.0431,26,1,0,1,rgb,207,207,207,0,none,,,,0.0,0.5993,119.7503,0.0,43.31,0.0,594.0,387.36,0.0,307.3566
pwa,7,path,,UNLABELED,122.34,288.02,126.94,280.77,4.6,7.25,33.35,14.4015,20.0487,124.64,284.395,0.6345,9,1,0,1,rgb,207,207,207,0,none,,,,0.0,82.8528,1.5073,135.0625,6.4842,0.0,594.0,387.36,0.0,17.6625
pwa,8,path,,UNLABELED,130.54,270.39,135.13,263.14,4.59,7.25,33.2775,14.3584,20.0487,132.835,266.765,0.6331,9,1,0,1,rgb,207,207,207,0,none,,,,0.0,83.1115,1.5111,135.0625,6.4842,0.0,594.0,387.36,0.0,17.6275
pwa,9,path,,UNLABELED,125.13,275.07,126.93,269.14,1.8,5.93,10.674,3.8569,12.9862,126.03,272.105,0.3035,7,1,0,1,rgb,207,207,207,0,none,,,,0.0,105.7648,12.6636,90.0,2.92,0.0,594.0,387.36,0.0,5.1426
pwa,10,path,,UNLABELED,130.54,282.36,133.32,275.25,2.78,7.11,19.7658,6.2286,16.1195,131.93,278.805,0.391,8,1,0,1,rgb,207,207,207,0,none,,,,0.0,114.0702,10.3925,90.0,3.49,0.0,594.0,387.36,0.0,8.8407
pwa,11,path,,UNLABELED,200.59,397.97,205.4,393.17,4.81,4.8,23.088,4.793,7.3577,202.995,395.57,1.0021,3,1,0,0,none,,,,1,rgb,207,207,207,0.39,44.9455,17.4031,67.4758,3.6808,0.0,594.0,387.36,0.0,4.793
