airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
pwa,0,0,0,130.57,451.725,83.9913,0.5732
pwa,0,0,1,130.685,452.29,73.1133,0.5852
pwa,0,0,2,130.91,452.825,61.2322,0.5818
pwa,0,0,3,131.235,453.3,49.9386,0.5749
pwa,0,0,4,132.355,454.42,43.9074,2.5956
pwa,0,0,5,133.565,455.715,55.1539,0.9626
pwa,0,0,6,133.935,456.58,78.5728,0.959
pwa,0,0,7,134.03,457.925,90.0,1.75
pwa,0,0,8,134.24,459.48,72.8382,1.4234
pwa,0,0,9,135.01,460.6,38.1575,1.4244
pwa,0,0,10,155.105,468.545,21.0159,41.8541
pwa,0,0,11,175.175,476.13,8.5047,1.0819
pwa,0,0,12,176.28,476.005,160.2188,1.2115
pwa,0,0,13,177.25,475.34,131.0093,1.2192
pwa,0,0,14,177.775,474.355,103.3925,1.0794
pwa,0,0,15,177.9,473.995,90.0,0.33
pwa,0,0,16,177.9,477.02,90.0,5.72
pwa,0,0,17,154.22,470.785,21.0108,50.7331
pwa,0,0,18,130.54,457.18,90.0,9.02
pwa,0,0,19,130.54,452.055,90.0,1.23
pwa,1,0,0,181.575,134.09,0.0,7.21
pwa,1,0,1,177.97,130.605,90.0,6.97
pwa,1,0,2,181.575,127.12,0.0,7.21
pwa,2,0,0,173.4,227.325,118.2173,1.3959
pwa,2,0,1,173.665,226.015,84.6567,1.3961
pwa,2,0,2,173.155,224.78,50.5094,1.3995
pwa,2,0,3,172.045,224.04,16.7385,1.3888
pwa,2,0,4,158.465,223.84,0.0,25.83
pwa,2,0,5,145.55,226.77,90.0,5.86
pwa,2,0,6,145.42,230.36,101.1429,1.3453
pwa,2,0,7,144.89,231.635,123.0401,1.4673
pwa,2,0,8,143.88,232.65,146.7461,1.4589
pwa,2,0,9,142.605,233.175,169.3544,1.3533
pwa,2,0,10,137.32,233.3,0.0,9.24
pwa,2,0,11,132.3,233.375,169.3787,0.8139
pwa,2,0,12,131.535,233.69,146.6746,0.8737
pwa,2,0,13,130.93,234.3,122.9693,0.8821
pwa,2,0,14,130.615,235.065,100.7508,0.8041
pwa,2,0,15,130.54,234.38,90.0,2.16
pwa,2,0,16,130.54,232.1,90.0,2.4
pwa,2,0,17,135.76,230.9,0.0,10.44
pwa,2,0,18,141.38,230.825,169.3806,0.8139
pwa,2,0,19,142.145,230.51,146.6735,0.8737
pwa,2,0,20,142.75,229.9,122.9695,0.882
pwa,2,0,21,143.07,229.135,101.4495,0.806
pwa,2,0,22,143.15,227.37,90.0,2.74
pwa,2,0,23,143.07,225.6,78.6896,0.8158
pwa,2,0,24,142.75,224.835,56.6743,0.8737
pwa,2,0,25,142.145,224.23,33.3265,0.8737
pwa,2,0,26,141.38,223.915,10.6194,0.8139
pwa,2,0,27,136.84,223.84,0.0,8.28
pwa,2,0,28,132.3,223.915,169.3808,0.8139
pwa,2,0,29,131.535,224.23,146.673,0.8737
pwa,2,0,30,130.93,224.835,123.3265,0.8737
pwa,2,0,31,130.615,225.6,100.6194,0.8139
pwa,2,0,32,130.54,224.92,90.0,2.16
pwa,2,0,33,130.54,222.64,90.0,2.4
pwa,2,0,34,153.045,221.435,179.9873,45.01
pwa,2,0,35,175.995,221.35,169.8083,0.9043
pwa,2,0,36,176.845,221.0,146.3109,0.9735
pwa,2,0,37,177.52,220.325,123.6906,0.9735
pwa,2,0,38,177.875,219.475,100.8136,0.9061
pwa,2,0,39,177.955,220.23,90.2386,2.4
pwa,2,0,40,177.95,222.25,90.0,1.64
pwa,2,0,41,176.08,224.935,135.0769,5.2821
pwa,2,0,42,173.64,227.37,134.9996,1.6122
pwa,3,0,0,177.285,234.07,56.3761,2.4019
pwa,3,0,1,175.995,233.01,5.4834,1.2557
pwa,3,0,2,174.815,233.245,152.0081,1.2571
pwa,3,0,3,174.77,233.03,135.0004,1.4425
pwa,3,0,4,176.615,231.19,135.1074,3.7689
pwa,3,0,5,177.95,231.74,90.0,3.76
pwa,3,0,6,177.95,234.345,90.0,1.45
pwa,4,0,0,185.83,211.66,56.178,2.4074
pwa,4,0,1,187.12,212.72,5.5273,1.2458
pwa,4,0,2,188.295,212.485,152.0081,1.2571
pwa,4,0,3,188.34,212.7,135.0004,1.4425
pwa,4,0,4,186.495,214.54,135.1074,3.7689
pwa,4,0,5,185.16,213.985,90.0,3.77
pwa,4,0,6,185.16,211.38,90.0,1.44
pwa,5,0,0,126.86,322.64,78.6896,0.8158
pwa,5,0,1,126.54,321.875,56.6743,0.8737
pwa,5,0,2,125.935,321.27,33.3268,0.8737
pwa,5,0,3,125.17,320.95,11.3102,0.8158
pwa,5,0,4,106.56,320.875,179.9843,36.42
pwa,5,0,5,87.95,320.48,44.9995,1.1314
pwa,5,0,6,89.84,317.795,135.0626,6.47
pwa,5,0,7,92.7,314.94,134.9996,1.6122
pwa,5,0,8,92.94,314.985,118.2173,1.3959
pwa,5,0,9,92.68,316.295,84.2487,1.397
pwa,5,0,10,93.19,317.53,50.8258,1.3931
pwa,5,0,11,94.3,318.27,16.6206,1.3984
pwa,5,0,12,109.87,318.47,0.0,29.8
pwa,5,0,13,125.17,318.395,169.3807,0.8139
pwa,5,0,14,125.935,318.08,146.6732,0.8737
pwa,5,0,15,126.54,317.475,123.3268,0.8737
pwa,5,0,16,126.86,316.71,101.3099,0.8159
pwa,5,0,17,126.94,317.39,90.0,2.16
pwa,5,0,18,126.94,319.67,90.0,2.4
pwa,5,0,19,126.94,321.955,90.0,2.17
pwa,6,0,0,177.865,322.44,79.479,0.712
pwa,6,0,1,177.585,321.76,56.9145,0.7877
pwa,6,0,2,177.045,321.22,32.8691,0.7739
pwa,6,0,3,176.365,320.94,11.1559,0.7237
pwa,6,0,4,154.355,320.87,0.0,43.31
pwa,6,0,5,132.305,320.95,168.5505,0.806
pwa,6,0,6,131.54,321.27,147.0297,0.882
pwa,6,0,7,130.93,321.875,123.3265,0.8737
pwa,6,0,8,130.615,322.64,100.6194,0.8139
pwa,6,0,9,130.54,321.955,90.0,2.17
pwa,6,0,10,130.54,319.67,90.0,2.4
pwa,6,0,11,130.54,317.39,90.0,2.16
pwa,6,0,12,130.56,316.505,84.1452,0.3921
pwa,6,0,13,130.635,316.905,74.9817,0.4245
pwa,6,0,14,130.93,317.475,56.6724,0.8737
pwa,6,0,15,131.54,318.08,32.9703,0.882
pwa,6,0,16,132.305,318.395,10.7504,0.8041
pwa,6,0,17,154.355,318.47,0.0,43.31
pwa,6,0,18,176.365,318.405,169.6237,0.7218
pwa,6,0,19,177.045,318.125,146.5147,0.7794
pwa,6,0,20,177.585,317.585,123.486,0.7793
pwa,6,0,21,177.87,316.905,101.1547,0.7237
pwa,6,0,22,177.935,317.51,90.2983,1.92
pwa,6,0,23,177.93,319.67,90.0,2.4
pwa,6,0,24,177.93,321.83,90.0,1.92
pwa,7,0,0,126.765,287.435,73.3459,1.2212
pwa,7,0,1,126.135,286.455,40.9614,1.2051
pwa,7,0,2,125.075,285.97,8.4624,1.2233
pwa,7,0,3,123.92,286.13,155.556,1.2083
pwa,7,0,4,122.855,285.865,45.0,1.4566
pwa,7,0,5,124.635,283.06,135.0625,6.4842
pwa,7,0,6,126.935,283.7,89.9022,5.86
pwa,7,0,7,126.94,287.325,90.0,1.39
pwa,8,0,0,130.71,263.725,73.7966,1.2184
pwa,8,0,1,131.34,264.71,41.0087,1.2192
pwa,8,0,2,132.4,265.195,8.0638,1.212
pwa,8,0,3,133.55,265.03,155.5559,1.2083
pwa,8,0,4,134.615,265.295,45.0,1.4566
pwa,8,0,5,132.835,268.1,135.0625,6.4842
pwa,8,0,6,130.54,267.46,90.0,5.86
pwa,8,0,7,130.54,263.835,90.0,1.39
pwa,9,0,0,125.8,273.125,118.6758,2.7925
pwa,9,0,1,126.7,270.52,99.4625,2.7981
pwa,9,0,2,126.93,270.6,90.0,2.92
pwa,9,0,3,126.93,273.025,90.0,1.93
pwa,9,0,4,126.39,274.53,135.0004,1.5273
pwa,9,0,5,125.49,274.71,45.0,1.0182
pwa,10,0,0,132.095,277.775,123.835,3.2866
pwa,10,0,1,130.86,280.75,101.2415,3.283
pwa,10,0,2,130.54,280.615,90.0,3.49
pwa,10,0,3,130.54,278.025,90.0,1.69
pwa,10,0,4,131.505,276.215,135.0002,2.7294
pwa,10,0,5,132.895,275.675,45.0005,1.2021
pwa,10,0,6,133.165,276.255,135.0,0.4384
pwa,11,0,0,204.695,396.27,67.4758,3.6808
pwa,11,0,1,202.29,393.87,22.3803,3.677
pwa,12,0,0,195.38,393.17,0.0,10.42
