airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
rdd,0,path,,UNLABELED,304.89,107.57,304.95,107.53,0.06,0.04,0.0024,0.0012,0.1613,304.92,107.55,1.4996,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,0.0146,1.999,0.0,0.06,0.0,594.0,387.36,0.0,0.0012
rdd,1,path,,UNLABELED,304.95,113.1,317.04,107.56,12.09,5.54,66.9787,33.4354,28.5034,310.995,110.33,2.1823,7,1,0,1,rgb,207,207,207,0,none,,,,0.0,10.246,5.8148,179.9526,12.09,0.0,594.0,387.36,0.0,33.4635
rdd,2,path,,UNLABELED,161.72,119.1,304.89,107.57,143.17,11.53,1650.7499,420.1262,309.6801,233.305,113.335,12.4172,17,1,0,1,rgb,207,207,207,0,none,,,,0.0,0.4187,368.0685,179.98,143.17,0.0,594.0,387.36,0.0,1332.4528
rdd,3,path,,UNLABELED,120.71,431.59,132.91,417.24,12.2,14.35,175.0698,70.9626,47.5691,126.81,424.415,0.8502,9,1,0,1,rgb,207,207,207,0,none,,,,0.0,44.6382,1.8367,44.6218,17.1406,0.0,594.0,387.36,0.0,94.5539
rdd,4,path,,UNLABELED,43.7,336.12,49.6,316.23,5.9,19.89,117.3511,117.3511,45.68,46.65,326.175,0.2966,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,90.0,11.3649,90.0,19.89,0.0,594.0,387.36,0.0,117.3511
rdd,5,path,,UNLABELED,37.79,336.12,41.32,316.23,3.53,19.89,70.2117,70.2117,26.95,39.555,326.175,0.1775,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,90.0,31.7483,90.0,19.89,0.0,594.0,387.36,0.0,70.2117
rdd,6,path,,UNLABELED,77.49,348.01,92.21,339.21,14.72,8.8,129.5361,69.2259,48.9603,84.85,343.61,1.6727,11,1,0,1,rgb,207,207,207,0,none,,,,0.0,12.9179,2.3568,26.7283,7.8486,0.0,594.0,387.36,0.0,99.061
rdd,7,path,,UNLABELED,42.06,382.87,60.62,372.15,18.56,10.72,198.9632,110.5994,58.8765,51.34,377.51,1.7313,14,1,0,1,rgb,207,207,207,0,none,,,,0.0,167.1454,2.8282,89.57,10.6603,0.0,594.0,387.36,0.0,144.1116
rdd,8,path,,UNLABELED,58.25,358.81,62.43,339.21,4.18,19.6,81.928,81.928,43.38,60.34,349.01,0.2133,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,90.0,21.9867,90.0,19.6,0.0,594.0,387.36,0.0,81.928
rdd,9,path,,UNLABELED,65.02,361.84,76.88,339.21,11.86,22.63,268.3919,147.5947,107.4757,70.95,350.525,0.5241,18,1,0,1,rgb,207,207,207,0,none,,,,0.0,90.5485,5.221,90.0,19.6,0.0,594.0,387.36,0.0,236.8626
