airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
rme,0,path,,UNLABELED,61.45,475.5,88.13,449.34,26.68,26.16,697.949,245.1215,66.2527,74.79,462.42,1.0199,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,136.0369,11.5826,136.0381,28.883,0.0,594.0,387.36,0.0,245.1215
rme,1,path,,UNLABELED,326.13,219.18,352.8,193.01,26.67,26.17,697.9538,246.5401,45.8447,339.465,206.095,1.0191,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,135.7333,11.3283,135.7053,28.7249,0.0,594.0,387.36,0.0,246.5401
rme,2,path,,UNLABELED,68.07,448.12,312.53,201.03,244.46,247.09,60403.6184,1231.738,1087.4401,190.3,324.575,0.9894,169,1,0,1,rgb,207,207,207,0,none,,,,0.0,136.5126,47.8553,135.9501,116.8442,0.0,594.0,387.36,0.0,14778.8447
rme,3,path,,UNLABELED,235.0,260.28,255.67,233.37,20.67,26.91,556.2297,235.9132,74.9471,245.335,246.825,0.7681,19,1,0,1,rgb,207,207,207,0,none,,,,0.0,78.1749,2.9592,135.8943,13.5922,0.0,594.0,387.36,0.0,298.1997
rme,4,path,,UNLABELED,233.4361,250.3019,233.4361,250.3019,0.0,0.0,0.0,0.0,0.0,233.4361,250.3019,0.0,2,1,0,0,none,,,,1,rgb,207,207,207,0.39,0.0,1000000.0,0.0,0.0,0.0,594.0,387.36,0.0,0.0
rme,5,path,,UNLABELED,233.44,272.72,245.05,248.53,11.61,24.19,280.8459,86.2927,69.8461,239.245,260.625,0.48,26,1,0,1,rgb,207,207,207,0,none,,,,0.0,76.4238,3.9599,134.3259,10.2184,0.0,594.0,387.36,0.0,180.9419
rme,6,path,,UNLABELED,262.68,221.28,343.32,128.72,80.64,92.56,7464.0396,2239.0482,449.1329,303.0,175.0,0.8712,56,1,0,1,rgb,207,207,207,0,none,,,,0.0,50.1434,1.905,110.0438,58.1203,0.0,594.0,387.36,0.0,4066.5753
rme,7,path,,UNLABELED,308.18,192.08,331.76,169.14,23.58,22.94,540.9249,66.8757,73.7273,319.97,180.61,1.0279,20,1,0,1,rgb,207,207,207,0,none,,,,0.0,135.1628,11.1024,135.9611,13.9108,0.0,594.0,387.36,0.0,227.895
rme,8,path,,UNLABELED,290.12,212.62,306.73,193.78,16.61,18.84,312.9331,77.3781,70.0826,298.425,203.2,0.8816,23,1,0,1,rgb,207,207,207,0,none,,,,0.0,94.2055,1.6184,115.8388,10.2331,0.0,594.0,387.36,0.0,191.2739
rme,9,path,,UNLABELED,81.22,290.98,238.45,242.88,157.23,48.1,7562.7638,3115.8351,547.3457,159.835,266.93,3.2688,100,1,0,1,rgb,207,207,207,0,none,,,,0.0,170.4447,13.1815,1.0499,54.0291,0.0,594.0,387.36,0.0,5726.0271
