airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
rnd,0,path,,UNLABELED,37.322,544.039,41.062,540.443,3.74,3.596,13.449,5.8526,11.9241,39.192,542.241,1.04,10,1,0,1,rgb,0,0,0,0,none,,,,0.0,115.7951,1.0425,149.5489,1.4187,0.0,593.0,387.0,0.0,9.4558
rnd,1,path,,UNLABELED,45.292,538.245,49.032,534.649,3.74,3.596,13.449,5.8523,11.9231,47.162,536.447,1.04,10,1,0,1,rgb,0,0,0,0,none,,,,0.0,115.5748,1.0424,149.5284,1.4178,0.0,593.0,387.0,0.0,9.4546
rnd,2,path,,UNLABELED,72.576,498.73,76.316,495.134,3.74,3.596,13.449,5.8526,11.9241,74.446,496.932,1.04,10,1,0,1,rgb,0,0,0,0,none,,,,0.0,115.794,1.0425,149.5487,1.4187,0.0,593.0,387.0,0.0,9.4558
rnd,3,path,,UNLABELED,79.727,492.257,83.467,488.661,3.74,3.596,13.449,5.8526,11.9241,81.597,490.459,1.04,10,1,0,1,rgb,0,0,0,0,none,,,,0.0,115.794,1.0425,149.5487,1.4187,0.0,593.0,387.0,0.0,9.4558
rnd,4,path,,UNLABELED,17.651,550.632,370.229,43.348,352.578,507.284,178857.1794,178857.1794,1719.724,193.94,296.99,0.695,5,1,0,0,none,,,,1,rgb,0,0,0,0.84,102.0704,2.236,90.0,507.284,0.0,593.0,387.0,0.0,178857.1794
rnd,5,path,,UNLABELED,325.966,415.836,327.698,414.104,1.732,1.732,2.9998,1.4999,4.8988,326.832,414.97,1.0,5,1,0,0,none,,,,1,rgb,0,0,0,0.6,0.0,1.4,135.0,1.2247,0.0,593.0,387.0,0.0,1.4999
rnd,6,compound,,UNLABELED,48.287,439.717,335.718,132.636,287.431,307.081,88264.5979,9336.1854,1948.8436,192.0025,286.1765,0.936,230,4,0,1,rgb,230,230,230,0,none,,,,0.0,152.2689,1.1689,119.9178,108.8364,0.0,593.0,387.0,0.0,47422.7777
rnd,7,path,,UNLABELED,337.295,218.896,357.753,188.995,20.458,29.901,611.7149,185.6588,67.7954,347.524,203.9455,0.6842,4,1,0,1,rgb,230,230,230,0,none,,,,0.0,119.3919,26.7886,118.9771,31.0821,0.0,593.0,387.0,0.0,185.6588
rnd,8,path,,UNLABELED,299.434,550.632,299.434,428.04,0.0,122.592,0.0,0.0,122.592,299.434,489.336,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.36,90.0,1000000.0,90.0,122.592,0.0,593.0,387.0,0.0,0.0
rnd,9,path,,UNLABELED,299.434,340.524,370.229,340.303,70.795,0.221,15.6452,0.0,70.7954,334.8315,340.4135,320.3495,2,1,0,0,none,,,,1,rgb,0,0,0,0.36,179.8211,1000000.0,179.8211,70.7954,0.0,593.0,387.0,0.0,0.0
rnd,10,path,,UNLABELED,299.434,153.763,370.229,153.542,70.795,0.221,15.6463,0.0,70.7954,334.8315,153.6525,320.3274,2,1,0,0,none,,,,1,rgb,0,0,0,0.36,179.8211,1000000.0,179.8211,70.7954,0.0,593.0,387.0,0.0,0.0
rnd,11,path,,UNLABELED,137.342,154.269,137.342,43.347,0.0,110.922,0.0,0.0,110.922,137.342,98.808,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.36,90.0,1000000.0,90.0,110.922,0.0,593.0,387.0,0.0,0.0
rnd,12,path,,UNLABELED,299.434,153.763,299.434,43.348,0.0,110.415,0.0,0.0,110.415,299.434,98.5555,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.36,90.0,1000000.0,90.0,110.415,0.0,593.0,387.0,0.0,0.0
rnd,13,path,,UNLABELED,326.626,256.911,327.868,254.709,1.242,2.202,2.7349,0.0,2.5281,327.247,255.81,0.564,2,1,0,0,none,,,,1,rgb,0,0,0,0.6,119.4246,1000000.0,119.4246,2.5281,0.0,593.0,387.0,0.0,0.0
rnd,14,path,,UNLABELED,153.434,149.423,155.508,145.733,2.074,3.69,7.6531,0.0,4.2329,154.471,147.578,0.5621,2,1,0,0,none,,,,1,rgb,0,0,0,0.6,119.3386,1000000.0,119.3386,4.2329,0.0,593.0,387.0,0.0,0.0
rnd,15,path,,UNLABELED,151.412,153.019,154.243,148.858,2.831,4.161,11.7798,3.4049,6.0783,152.8275,150.9385,0.6804,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,119.3408,9.9576,108.4968,4.3877,0.0,593.0,387.0,0.0,3.5562
rnd,16,path,,UNLABELED,324.599,260.505,327.435,256.346,2.836,4.159,11.7949,3.406,6.0787,326.017,258.4255,0.6819,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,119.4234,9.9491,108.5796,4.3877,0.0,593.0,387.0,0.0,3.5572
rnd,17,path,,UNLABELED,211.03,442.762,342.694,215.851,131.664,226.911,29876.0076,1593.2989,520.2359,276.862,329.3065,0.5802,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,119.4238,1718.9479,119.4239,257.0191,0.0,593.0,387.0,0.0,1593.2989
rnd,18,path,,UNLABELED,42.519,358.568,174.844,130.17,132.325,228.398,30222.7651,1708.9972,523.1896,108.6815,244.369,0.5794,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,119.3397,1523.7857,119.3397,258.2865,0.0,593.0,387.0,0.0,1708.9972
rnd,19,path,,UNLABELED,27.555,384.581,48.287,355.326,20.732,29.255,606.5148,197.2217,66.5948,37.921,369.9535,0.7087,4,1,0,1,rgb,230,230,230,0,none,,,,0.0,120.0258,20.9353,120.1013,30.068,0.0,593.0,387.0,0.0,197.2217
rnd,20,path,,UNLABELED,169.076,133.412,189.892,103.582,20.816,29.83,620.9415,199.4302,67.7589,179.484,118.497,0.6978,4,1,0,1,rgb,230,230,230,0,none,,,,0.0,119.5473,22.2922,119.2911,30.7575,0.0,593.0,387.0,0.0,199.4302
rnd,21,path,,UNLABELED,196.497,468.986,216.43,439.717,19.933,29.269,583.4189,184.7821,66.1597,206.4635,454.3515,0.681,4,1,0,1,rgb,230,230,230,0,none,,,,0.0,119.0106,23.8013,118.9383,30.0351,0.0,593.0,387.0,0.0,184.7821
