airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
roa,0,0,0,57.11,239.105,74.3806,0.9657
roa,0,0,1,56.91,238.16,81.7029,0.9702
roa,0,0,2,56.825,237.19,88.2466,0.9804
roa,0,0,3,56.845,236.215,94.1276,0.9725
roa,0,0,4,56.975,235.255,101.3099,0.9688
roa,0,0,5,57.22,234.33,108.435,0.9487
roa,0,0,6,57.565,233.455,114.6466,0.9352
roa,0,0,7,58.005,232.65,122.812,0.9042
roa,0,0,8,58.53,231.935,129.8891,0.8732
roa,0,0,9,59.365,230.955,130.7107,1.7018
roa,0,0,10,57.855,228.57,40.1178,5.4007
roa,0,0,11,52.535,230.64,130.5083,10.0222
roa,0,0,12,52.89,237.51,40.2861,9.4648
roa,1,0,0,70.185,240.44,129.8057,2.265
roa,1,0,1,71.185,239.29,134.4841,0.7849
roa,1,0,2,71.765,238.775,142.386,0.7701
roa,1,0,3,72.39,238.355,149.965,0.7393
roa,1,0,4,73.05,238.03,157.62,0.7354
roa,1,0,5,73.735,237.805,166.1607,0.7106
roa,1,0,6,74.405,237.65,167.8437,0.6649
roa,1,0,7,71.635,234.96,40.2488,8.1101
roa,1,0,8,66.69,234.515,130.3836,5.7107
roa,1,0,9,64.445,237.105,133.5858,1.1458
roa,1,0,10,63.62,237.87,140.8557,1.1089
roa,1,0,11,62.73,238.505,148.2187,1.0823
roa,1,0,12,61.785,239.015,155.1135,1.0693
roa,1,0,13,60.8,239.39,163.2998,1.044
roa,1,0,14,59.79,239.615,171.6345,1.031
roa,1,0,15,58.77,239.695,179.4377,1.02
roa,1,0,16,57.75,239.635,7.2635,1.0283
roa,1,0,17,56.87,240.07,126.5014,1.244
roa,1,0,18,63.185,246.235,40.2786,17.525
roa,1,0,19,69.685,251.64,54.5659,0.6382
roa,1,0,20,69.26,251.0,57.7245,0.8989
roa,1,0,21,68.815,250.21,63.4354,0.9168
roa,1,0,22,68.435,249.365,68.0851,0.9378
roa,1,0,23,68.13,248.475,74.0545,0.9464
roa,1,0,24,67.92,247.575,79.8081,0.9043
roa,1,0,25,67.81,246.675,86.2279,0.912
roa,1,0,26,67.8,245.76,92.4896,0.9209
roa,1,0,27,67.895,244.855,99.5669,0.9025
roa,1,0,28,68.09,243.975,105.4221,0.9025
roa,1,0,29,68.375,243.135,112.1665,0.8746
roa,1,0,30,68.75,242.355,119.2487,0.8596
roa,2,0,0,67.835,225.52,120.9227,7.1807
roa,2,0,1,66.09,220.685,26.0521,7.992
roa,2,0,2,59.145,222.88,130.3434,10.3651
roa,2,0,3,57.855,228.57,40.1178,5.4007
roa,2,0,4,60.165,230.045,132.7542,0.7218
roa,2,0,5,60.765,229.5,141.7362,0.9043
roa,2,0,6,61.5,229.005,150.4996,0.8732
roa,2,0,7,62.28,228.635,158.8188,0.858
roa,2,0,8,63.09,228.395,168.2866,0.8374
roa,2,0,9,63.92,228.29,177.2752,0.841
roa,2,0,10,64.755,228.32,6.8683,0.836
roa,3,0,0,88.925,234.24,117.5371,4.2178
roa,3,0,1,79.79,227.405,26.1556,22.5267
roa,3,0,2,67.835,225.52,120.9227,7.1806
roa,3,0,3,66.185,228.68,22.3067,0.4215
roa,3,0,4,66.875,229.015,27.2558,1.1136
roa,3,0,5,67.56,229.385,31.1859,0.4442
roa,3,0,6,67.855,229.57,33.6872,0.2524
roa,3,0,7,68.06,229.73,41.9865,0.2691
roa,3,0,8,68.245,229.93,52.3062,0.278
roa,3,0,9,68.4,230.165,60.7499,0.2865
roa,3,0,10,68.52,230.425,69.6785,0.2879
roa,3,0,11,68.605,230.705,76.4286,0.2983
roa,3,0,12,68.66,231.0,82.4071,0.3027
roa,3,0,13,68.675,231.305,91.8466,0.3102
roa,3,0,14,68.605,231.9,98.4036,0.8896
roa,3,0,15,71.635,234.96,40.2487,8.1101
roa,3,0,16,79.175,236.6,167.5668,9.1035
roa,3,0,17,84.08,235.545,170.7383,0.9322
roa,3,0,18,85.0,235.46,178.7553,0.9202
roa,3,0,19,85.92,235.51,7.4311,0.9278
roa,3,0,20,86.835,235.7,15.946,0.9464
roa,4,0,0,111.365,247.575,26.0884,52.1424
roa,4,0,1,140.065,262.325,31.8639,12.4455
roa,4,0,2,145.81,265.905,32.6726,1.0929
roa,4,0,3,146.55,266.42,38.1567,0.7122
roa,4,0,4,147.245,266.995,40.544,1.0922
roa,4,0,5,148.915,265.365,122.3027,4.6969
roa,4,0,6,149.525,263.09,24.2089,1.4144
roa,4,0,7,148.685,262.7,27.1502,0.4383
roa,4,0,8,142.555,258.905,31.9054,13.9824
roa,4,0,9,136.33,255.065,26.5657,0.6485
roa,4,0,10,112.97,243.645,26.0461,51.3556
roa,5,0,0,161.695,263.37,139.6166,1.1421
roa,5,0,1,160.8,264.05,146.0236,1.1094
roa,5,0,2,159.86,264.605,152.9587,1.0778
roa,5,0,3,158.88,265.03,160.2019,1.0628
roa,5,0,4,157.865,265.31,169.0107,1.0492
roa,5,0,5,156.83,265.44,176.6983,1.0417
roa,5,0,6,155.79,265.43,4.398,1.0431
roa,5,0,7,154.76,265.27,13.2416,1.0479
roa,5,0,8,153.75,264.96,20.807,1.0698
roa,5,0,9,151.71,264.075,24.2893,3.3791
roa,5,0,10,148.915,265.365,122.3027,4.6969
roa,5,0,11,148.94,268.47,41.1858,3.4016
roa,5,0,12,150.555,269.86,38.8683,0.8605
roa,5,0,13,151.19,270.455,47.2901,0.8846
