airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
rst,1,0,0,156.975,281.0,68.5521,0.9025
rst,1,0,1,156.695,280.14,75.353,0.9096
rst,1,0,2,156.17,277.71,78.3582,4.0636
rst,1,0,3,155.805,275.04,93.7866,1.363
rst,1,0,4,156.235,273.795,124.2706,1.3674
rst,1,0,5,157.02,272.89,139.6359,1.0499
rst,1,0,6,158.7,271.71,146.7252,3.062
rst,1,0,7,161.43,270.365,160.7979,3.0709
rst,1,0,8,163.29,269.775,168.2865,0.8374
rst,1,0,9,164.275,269.755,6.4497,1.1573
rst,1,0,10,165.095,269.995,35.5387,0.6022
rst,1,0,11,165.505,270.405,54.9262,0.5743
rst,1,0,12,165.36,270.015,63.6188,1.3953
rst,1,0,13,163.71,266.695,63.5626,6.0195
rst,1,0,14,162.055,263.37,63.4349,1.4087
rst,1,0,15,161.79,262.87,68.9627,0.2785
rst,1,0,16,161.875,263.145,76.4286,0.2983
rst,1,0,17,161.9,263.6,91.848,0.6203
rst,1,0,18,161.78,264.195,111.1047,0.611
rst,1,0,19,161.485,264.705,129.4267,0.5826
rst,1,0,20,160.485,265.63,139.3411,2.1487
rst,1,0,21,158.93,266.82,146.4886,1.7751
rst,1,0,22,157.355,267.605,160.5421,1.7712
rst,1,0,23,155.165,268.185,168.1225,2.7693
rst,1,0,24,153.305,268.445,2.8334,1.0112
rst,1,0,25,152.375,268.14,33.3775,1.0179
rst,1,0,26,151.21,267.015,48.7902,2.2464
rst,1,0,27,148.71,263.635,55.2285,6.1721
rst,1,0,28,152.045,271.26,63.3673,22.7319
rst,2,0,0,185.61,311.07,82.4053,1.2106
rst,2,0,1,185.38,312.19,120.8024,1.2108
rst,2,0,2,183.99,313.635,139.4203,2.844
rst,2,0,3,182.455,314.86,146.6013,1.09
rst,2,0,4,181.485,315.34,160.7354,1.0911
rst,2,0,5,179.575,315.82,167.8631,2.8538
rst,2,0,6,177.61,316.09,3.0127,1.1416
rst,2,0,7,176.565,315.75,33.1296,1.1344
rst,2,0,8,175.165,314.39,48.6217,2.7987
rst,2,0,9,173.355,312.14,53.5911,2.9821
rst,2,0,10,177.04,320.235,63.8184,20.7154
rst,2,0,11,181.395,328.945,69.8204,1.2465
rst,2,0,12,181.025,327.755,75.63,1.2491
rst,2,0,13,180.56,325.615,78.5826,3.132
rst,2,0,14,180.285,323.49,93.3946,1.1821
rst,2,0,15,180.645,322.405,123.2882,1.1843
rst,2,0,16,181.405,321.525,138.4896,1.1618
rst,2,0,17,183.035,320.34,146.1993,2.8761
rst,2,0,18,185.595,319.075,161.1882,2.8841
rst,2,0,19,187.4,318.52,168.4385,0.8982
rst,2,0,20,188.155,318.42,178.1827,0.6303
rst,2,0,21,188.795,318.505,16.2944,0.6772
rst,2,0,22,189.395,318.795,35.3389,0.6742
rst,2,0,23,189.855,319.25,54.5681,0.6382
rst,2,0,24,189.695,318.82,63.4355,1.5429
rst,2,0,25,187.765,314.95,63.507,7.1062
rst,2,0,26,185.855,311.12,63.4349,1.4534
rst,3,0,0,106.81,187.0,60.5246,1.0568
rst,3,0,1,107.375,187.89,54.6513,1.0544
rst,3,0,2,107.745,188.42,56.9767,0.2386
rst,3,0,3,108.15,189.04,56.8209,1.2426
rst,3,0,4,108.785,190.105,61.5741,1.2394
rst,3,0,5,146.18,265.15,63.5273,166.4531
rst,3,0,6,183.63,340.24,59.3221,1.372
rst,3,0,7,184.415,341.365,50.8863,1.3791
rst,3,0,8,185.615,342.71,46.6365,2.2283
rst,3,0,9,187.285,344.625,50.6825,2.8566
rst,3,0,10,188.92,346.955,59.2086,2.852
rst,3,0,11,191.285,351.46,63.5047,7.3298
rst,3,0,12,193.13,355.415,72.7192,1.4138
rst,3,0,13,193.325,356.835,91.1534,1.4903
rst,3,0,14,193.05,358.285,110.2432,1.5028
rst,3,0,15,192.585,359.29,124.3461,0.7267
rst,3,0,16,192.14,359.84,133.8315,0.6931
rst,3,0,17,193.17,358.945,137.963,3.4199
rst,3,0,18,195.38,356.95,137.8785,2.5346
rst,3,0,19,197.615,354.93,137.903,3.4905
rst,3,0,20,198.42,354.04,150.2555,1.1287
rst,3,0,21,197.3,354.35,177.2738,1.2614
rst,3,0,22,196.1,354.105,25.7551,1.2658
rst,3,0,23,195.185,353.385,52.2141,1.1261
rst,3,0,24,193.665,350.45,64.738,5.5066
rst,3,0,25,191.555,346.325,60.2361,3.7669
rst,3,0,26,189.43,343.23,50.8177,3.7671
rst,3,0,27,187.865,341.38,46.1233,1.0821
rst,3,0,28,186.02,338.75,56.7251,5.3585
rst,3,0,29,183.08,333.02,67.159,7.5739
rst,3,0,30,177.04,320.235,63.8184,20.7154
rst,3,0,31,170.085,306.985,58.9087,9.2369
rst,3,0,32,166.38,300.625,61.2394,5.4869
rst,3,0,33,163.565,295.21,63.5875,6.7216
rst,3,0,34,159.605,286.81,65.424,11.8538
rst,3,0,35,152.045,271.26,63.3674,22.7319
rst,3,0,36,144.675,256.885,61.6424,9.5795
rst,3,0,37,126.6,220.96,63.5145,70.8566
rst,3,0,38,110.635,188.865,66.801,0.8377
rst,3,0,39,110.345,188.075,72.8475,0.8477
rst,3,0,40,110.175,187.475,77.0064,0.4003
rst,3,0,41,109.69,185.995,71.0979,2.7165
rst,3,0,42,95.77,157.86,63.3411,60.0877
rst,3,0,43,81.955,130.195,67.6553,1.7623
rst,3,0,44,81.685,128.73,95.7105,1.3065
rst,3,0,45,82.03,127.525,116.771,1.2433
rst,3,0,46,85.78,125.035,150.8544,7.9461
rst,3,0,47,89.975,123.075,178.0256,1.4509
