airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
ryy,0,0,0,211.905,307.81,1.2179,62.104
ryy,0,0,1,180.295,307.25,169.9625,1.1476
ryy,0,0,2,179.2,307.68,148.0917,1.2487
ryy,0,0,3,178.315,308.52,124.8415,1.2428
ryy,0,0,4,177.845,309.595,101.5046,1.1532
ryy,0,0,5,177.705,311.125,91.4841,1.9306
ryy,0,0,6,186.76,312.28,1.1988,18.164
ryy,0,0,7,195.765,315.965,91.2293,6.9916
ryy,0,0,8,196.38,319.475,1.2453,1.3803
ryy,0,0,9,197.05,320.26,91.4876,1.5405
ryy,0,0,10,189.51,321.81,174.0783,15.1207
ryy,0,0,11,180.165,322.78,174.0563,3.6697
ryy,0,0,12,178.335,323.225,91.1244,0.5101
ryy,0,0,13,178.315,324.14,91.3019,1.3203
ryy,0,0,14,178.295,325.035,91.2182,0.4701
ryy,0,0,15,178.13,326.045,101.6645,1.5827
ryy,0,0,16,177.55,327.49,122.0821,1.5815
ryy,0,0,17,175.86,329.56,132.2127,3.7804
ryy,0,0,18,174.03,332.41,111.1169,3.1088
ryy,0,0,19,173.485,344.98,89.9227,22.24
ryy,0,0,20,169.275,356.1,0.0,8.45
ryy,0,0,21,165.05,358.59,90.0,4.98
ryy,0,0,22,165.825,361.08,0.0,1.55
ryy,0,0,23,166.61,362.47,89.588,2.7801
ryy,0,0,24,162.89,362.255,23.282,8.1213
ryy,0,0,25,159.16,357.645,90.0,6.01
ryy,0,0,26,162.34,354.64,0.0,6.36
ryy,0,0,27,165.52,342.9,90.0,23.48
ryy,0,0,28,167.175,331.16,0.0,3.31
ryy,0,0,29,170.775,330.365,157.7683,4.2024
ryy,0,0,30,173.56,327.64,113.5201,4.2098
ryy,0,0,31,174.425,324.4,91.0934,2.6205
ryy,0,0,32,172.01,323.035,1.2911,4.8812
ryy,0,0,33,163.75,322.98,0.0,11.64
ryy,0,0,34,157.93,323.25,90.0,0.54
ryy,0,0,35,157.55,323.52,0.0,0.76
ryy,0,0,36,157.17,326.135,90.0,5.23
ryy,0,0,37,158.34,328.75,0.0,2.34
ryy,0,0,38,159.5,329.59,90.6822,1.6801
ryy,0,0,39,158.335,330.42,0.4958,2.3101
ryy,0,0,40,157.18,344.555,90.0,28.29
ryy,0,0,41,153.785,357.24,23.2698,7.3912
ryy,0,0,42,152.36,355.78,0.0,3.94
ryy,0,0,43,154.33,353.8,90.0,3.96
ryy,0,0,44,152.35,351.82,0.0,3.96
ryy,0,0,45,150.37,349.195,90.0,5.25
ryy,0,0,46,152.35,346.57,0.0,3.96
ryy,0,0,47,154.33,344.59,90.0,3.96
ryy,0,0,48,152.35,342.61,0.0,3.96
ryy,0,0,49,150.37,338.625,90.0,7.97
ryy,0,0,50,152.115,334.64,0.0,3.49
ryy,0,0,51,154.64,334.64,0.0,1.56
ryy,0,0,52,155.42,329.08,90.0,11.12
ryy,0,0,53,152.875,323.52,0.0,5.09
ryy,0,0,54,148.68,323.52,0.0,3.3
ryy,0,0,55,147.03,327.65,90.0,8.26
ryy,0,0,56,147.03,332.115,90.0,0.67
ryy,0,0,57,146.82,332.45,0.0,0.42
ryy,0,0,58,146.61,331.99,90.0,0.92
ryy,0,0,59,146.155,331.53,0.0,0.91
ryy,0,0,60,145.7,331.07,90.0,0.92
ryy,0,0,61,144.505,330.61,0.0,2.39
ryy,0,0,62,143.31,333.195,90.0,5.17
