airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
sat,0,0,0,243.22,353.765,139.3249,0.8439
sat,0,0,1,247.32,350.36,140.3738,9.8153
sat,0,0,2,251.23,347.135,143.8425,0.322
sat,0,0,3,250.42,345.97,48.7005,2.8485
sat,0,0,4,245.4,348.54,138.2621,10.9354
sat,1,0,0,213.525,317.49,138.0947,17.1582
sat,1,0,1,219.095,310.85,48.1523,2.4432
sat,1,0,2,211.88,315.68,138.1118,17.1939
sat,2,0,0,182.665,281.225,137.9952,2.4358
sat,2,0,1,180.0,276.395,48.3576,10.7453
sat,2,0,2,175.535,273.17,138.5653,2.3876
sat,2,0,3,178.18,277.94,48.3486,10.6531
sat,3,0,0,124.275,220.075,136.9983,1.217
sat,3,0,1,118.615,212.795,48.3535,18.3738
sat,3,0,2,112.06,206.34,137.6628,1.2175
sat,4,0,0,151.255,247.43,101.6302,19.2962
sat,4,0,1,153.295,237.44,99.9777,1.0966
sat,4,0,2,152.57,236.75,10.3659,1.6672
sat,4,0,3,149.7,246.58,101.6077,20.3767
sat,5,0,0,111.01,243.58,138.4926,3.0179
sat,5,0,1,112.03,247.0,48.3811,6.4742
sat,5,0,2,124.735,261.29,48.356,31.7682
sat,5,0,3,137.01,275.095,48.3666,5.1779
sat,5,0,4,143.17,282.025,48.3664,13.3662
sat,5,0,5,148.57,286.15,137.8157,2.5911
sat,5,0,6,149.52,285.275,26.5825,0.0224
sat,5,0,7,146.455,282.035,46.6392,8.899
sat,5,0,8,141.195,276.32,48.3593,6.637
sat,5,0,9,138.655,273.46,48.6017,1.0132
sat,5,0,10,128.76,262.325,48.3665,28.7794
sat,5,0,11,115.95,247.61,50.624,10.2458
sat,6,0,0,212.77,406.73,49.686,2.5967
sat,6,0,1,214.555,406.945,140.6448,2.4443
sat,6,0,2,214.825,405.38,49.488,2.0782
sat,6,0,3,213.99,404.315,59.8079,0.6363
sat,6,0,4,213.71,403.755,67.1674,0.6185
sat,6,0,5,213.505,403.17,74.1807,0.6236
sat,6,0,6,213.38,402.565,82.5283,0.6152
sat,6,0,7,213.34,401.95,90.0,0.62
sat,6,0,8,213.38,401.335,97.4717,0.6152
sat,6,0,9,213.505,400.73,105.8193,0.6236
sat,6,0,10,213.71,400.14,112.4785,0.6277
sat,6,0,11,213.99,399.575,120.1921,0.6363
sat,6,0,12,210.57,402.39,139.2016,9.4582
sat,6,0,13,207.22,405.355,151.4772,0.5236
sat,6,0,14,207.69,405.13,157.3787,0.52
sat,6,0,15,208.19,404.965,165.9649,0.536
sat,6,0,16,208.715,404.865,172.4754,0.5346
sat,6,0,17,209.25,404.83,0.0,0.54
sat,6,0,18,209.785,404.86,6.4586,0.5334
sat,6,0,19,210.31,404.95,12.9956,0.5337
sat,6,0,20,210.815,405.105,21.1941,0.5256
sat,6,0,21,211.285,405.325,29.0548,0.5148
sat,7,0,0,129.9,487.495,138.8138,0.5315
sat,7,0,1,159.315,462.125,139.2255,77.1571
