airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
sbp,0,path,,UNLABELED,83.22,262.92,126.79,210.67,43.57,52.25,2276.5325,1097.2581,152.7418,105.005,236.795,0.8339,39,1,0,1,rgb,207,207,207,0,none,,,,0.0,49.74,3.2329,65.3131,16.784,0.0,594.0,387.36,0.0,1203.9518
sbp,1,path,,UNLABELED,286.09,491.61,295.53,480.29,9.44,11.32,106.8608,29.9503,34.0608,290.81,485.95,0.8339,16,1,0,1,rgb,207,207,207,0,none,,,,0.0,26.4564,1.1637,57.6049,9.8179,0.0,594.0,387.36,0.0,54.1377
sbp,2,path,,UNLABELED,44.68,533.33,337.61,111.73,292.93,421.6,123499.2803,5456.9388,1700.976,191.145,322.53,0.6948,237,1,0,1,rgb,207,207,207,0,none,,,,0.0,55.1623,159.736,55.1416,77.2636,0.0,594.0,387.36,0.0,23577.4142
sbp,3,path,,UNLABELED,214.64,453.78,255.13,405.48,40.49,48.3,1955.6667,938.242,149.1399,234.885,429.63,0.8383,29,1,0,1,rgb,207,207,207,0,none,,,,0.0,147.5088,1.7222,36.3053,23.3411,0.0,594.0,387.36,0.0,1091.8849
sbp,4,path,,UNLABELED,125.76,434.7,230.01,275.25,104.25,159.45,16622.6662,5145.5995,610.4276,177.885,354.975,0.6538,103,1,0,1,rgb,207,207,207,0,none,,,,0.0,63.5728,6.2945,57.3893,40.9331,0.0,594.0,387.36,0.0,7863.0305
sbp,5,path,,UNLABELED,103.14,290.85,216.05,61.45,112.91,229.4,25901.549,7694.5286,807.6657,159.595,176.15,0.4922,118,1,0,1,rgb,207,207,207,0,none,,,,0.0,84.6769,5.5567,90.2685,104.5712,0.0,594.0,387.36,0.0,15417.5254
sbp,6,path,,UNLABELED,206.33,437.08,221.45,418.63,15.12,18.45,278.9639,168.34,44.8954,213.89,427.855,0.8195,8,1,0,1,rgb,0,0,0,0,none,,,,0.0,49.311,2.4435,71.4463,16.7822,0.0,594.0,387.36,0.0,179.3801
sbp,7,path,,UNLABELED,209.57,447.69,224.43,434.16,14.86,13.53,201.0558,103.6447,42.4537,217.0,440.925,1.0983,14,1,0,1,rgb,0,0,0,0,none,,,,0.0,159.064,1.9628,126.3566,9.5984,0.0,594.0,387.36,0.0,119.9281
sbp,8,compound,,UNLABELED,343.44,141.3,348.3,138.15,4.86,3.15,15.3089,5.7347,22.4426,345.87,139.725,1.5429,98,2,0,1,rgb,0,0,0,0,none,,,,0.0,179.9984,2.6281,13.7086,0.422,0.0,594.0,387.36,0.0,12.1922
sbp,9,path,,UNLABELED,347.62,142.71,348.3,142.03,0.68,0.68,0.4624,0.3554,2.1288,347.96,142.37,1.0,17,1,0,1,rgb,0,0,0,0,none,,,,0.0,0.4173,1.1102,102.0931,0.1432,0.0,594.0,387.36,0.0,0.3554
sbp,10,path,,UNLABELED,343.61,145.34,348.21,144.02,4.6,1.32,6.072,2.684,11.6105,345.91,144.68,3.4848,7,1,0,1,rgb,0,0,0,0,none,,,,0.0,5.2966,22.5886,0.0,4.6,0.0,594.0,387.36,0.0,4.3364
sbp,11,compound,,UNLABELED,343.6,149.19,345.68,147.11,2.08,2.08,4.3263,2.4075,10.0304,344.64,148.15,1.0,34,2,0,1,rgb,0,0,0,0,none,,,,0.0,0.1493,1.123,100.5376,0.4374,0.0,594.0,387.36,0.0,3.3618
sbp,12,path,,UNLABELED,343.44,157.61,348.38,151.14,4.94,6.47,31.9618,9.0202,33.1008,345.91,154.375,0.7635,11,1,0,1,rgb,0,0,0,0,none,,,,0.0,63.0071,1.2617,157.9712,5.1456,0.0,594.0,387.36,0.0,22.2296
sbp,13,compound,,UNLABELED,337.08,113.81,341.91,109.39,4.83,4.42,21.3486,5.9874,22.3124,339.495,111.6,1.0928,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,0.2259,1.2406,24.5866,5.3116,0.0,594.0,387.36,0.0,10.6743
sbp,14,path,,UNLABELED,337.09,118.21,342.1,114.21,5.01,4.0,20.04,7.4867,27.5523,339.595,116.21,1.2525,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,157.7472,1.7657,43.0531,4.9951,0.0,594.0,387.36,0.0,19.22
sbp,15,path,,UNLABELED,337.09,123.02,342.1,119.02,5.01,4.0,20.04,7.4867,27.5523,339.595,121.02,1.2525,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,157.7472,1.7657,43.0531,4.9951,0.0,594.0,387.36,0.0,19.22
sbp,16,path,,UNLABELED,337.31,127.15,342.0,123.75,4.69,3.4,15.946,6.06,22.1396,339.655,125.45,1.3794,51,1,0,1,rgb,0,0,0,0,none,,,,0.0,15.3673,1.3791,0.0,2.91,0.0,594.0,387.36,0.0,14.7361
sbp,17,compound,,UNLABELED,337.08,131.85,341.91,127.42,4.83,4.43,21.3969,5.9903,22.3406,339.495,129.635,1.0903,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,0.5714,1.2324,24.6847,5.3158,0.0,594.0,387.36,0.0,10.6985
sbp,18,path,,UNLABELED,337.31,134.24,341.91,132.24,4.6,2.0,9.2,3.474,13.2,339.61,133.24,2.3,7,1,0,1,rgb,0,0,0,0,none,,,,0.0,10.4862,10.2887,0.0,4.6,0.0,594.0,387.36,0.0,6.337
sbp,19,compound,,UNLABELED,337.31,139.28,341.91,136.37,4.6,2.91,13.3859,6.4672,23.5021,339.61,137.825,1.5807,45,2,0,1,rgb,0,0,0,0,none,,,,0.0,2.1453,3.0581,0.0,4.6,0.0,594.0,387.36,0.0,11.9616
sbp,20,compound,,UNLABELED,337.08,143.62,341.91,139.19,4.83,4.43,21.3969,5.9903,22.3406,339.495,141.405,1.0903,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,0.5714,1.2324,24.6847,5.3158,0.0,594.0,387.36,0.0,10.6985
sbp,21,path,,UNLABELED,337.31,146.38,341.91,143.59,4.6,2.79,12.8341,3.877,14.78,339.61,144.985,1.6487,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,179.3783,3.4394,0.0,4.09,0.0,594.0,387.36,0.0,8.3555
sbp,22,path,,UNLABELED,337.31,149.31,341.91,146.8,4.6,2.51,11.5461,5.6518,21.7401,339.61,148.055,1.8327,13,1,0,1,rgb,0,0,0,0,none,,,,0.0,172.4377,2.6581,0.0,4.6,0.0,594.0,387.36,0.0,11.5461
sbp,23,compound,,UNLABELED,337.14,156.28,342.0,151.43,4.86,4.85,23.571,7.4921,27.0508,339.57,153.855,1.0021,114,2,0,1,rgb,0,0,0,0,none,,,,0.0,179.9329,1.0725,142.816,0.364,0.0,594.0,387.36,0.0,18.5172
sbp,24,path,,UNLABELED,337.31,159.1,341.91,156.85,4.6,2.25,10.35,4.3817,16.92,339.61,157.975,2.0444,11,1,0,1,rgb,0,0,0,0,none,,,,0.0,162.0073,3.9303,0.0,4.6,0.0,594.0,387.36,0.0,8.3388
