airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
sck,0,0,0,222.97,278.615,154.333,3.9941
sck,0,0,1,221.53,280.2,63.4349,1.61
sck,0,0,2,223.765,280.02,154.3588,4.1596
sck,1,0,0,81.805,191.87,136.8525,15.9678
sck,1,0,1,89.76,189.175,52.3914,6.9806
sck,1,0,2,86.06,197.41,136.8247,15.9887
sck,2,0,0,167.45,303.185,156.4916,16.2704
sck,2,0,1,176.1,301.49,52.4848,3.9082
sck,2,0,2,169.83,306.28,156.5239,16.2664
sck,3,0,0,61.995,205.835,140.8693,24.8934
sck,3,0,1,68.84,234.945,52.1782,53.8154
sck,3,0,2,85.99,257.03,51.9345,2.1085
sck,3,0,3,87.47,261.245,76.2229,6.9705
sck,3,0,4,84.01,268.02,141.6839,10.9355
sck,3,0,5,76.12,267.265,49.0251,10.9801
sck,3,0,6,59.475,273.065,142.6795,32.807
sck,3,0,7,52.09,289.855,50.4133,17.764
sck,3,0,8,77.205,281.245,141.5365,49.6932
sck,3,0,9,79.295,243.27,52.3645,56.8751
sck,3,0,10,60.38,217.545,64.1907,7.1203
sck,3,0,11,64.305,210.05,141.9191,13.9111
sck,3,0,12,72.66,206.445,13.379,5.9207
sck,4,0,0,270.925,319.285,16.2501,2.3228
sck,4,0,1,269.27,318.495,40.7322,1.4252
sck,4,0,2,268.73,317.81,90.0,0.44
sck,4,0,3,268.73,316.91,90.0,1.36
sck,4,0,4,276.33,292.055,107.4518,50.683
sck,4,0,5,284.04,266.51,94.59,2.7488
sck,4,0,6,285.05,262.76,110.7143,5.089
sck,4,0,7,291.46,262.29,19.1185,11.6633
sck,4,0,8,295.96,266.865,110.756,5.6999
sck,4,0,9,296.07,269.785,12.8267,2.2973
sck,4,0,10,296.615,271.695,109.1588,3.5041
sck,4,0,11,295.495,273.35,0.0,1.09
sck,4,0,12,288.215,294.21,107.8935,43.8406
sck,4,0,13,281.59,315.865,82.1222,1.6051
sck,4,0,14,280.58,319.54,111.2504,6.1802
sck,4,0,15,275.75,321.015,20.7419,7.9343
sck,5,0,0,115.5,203.495,77.5399,39.7666
sck,5,0,1,110.455,184.22,169.495,1.5357
sck,5,0,2,113.985,203.815,77.5788,39.8426
sck,6,0,0,146.775,214.985,60.6303,13.0698
sck,6,0,1,151.13,220.03,150.5238,2.642
sck,6,0,2,149.11,213.655,61.0261,13.0881
sck,7,0,0,142.7,217.975,59.7596,2.5813
sck,7,0,1,143.24,216.21,151.3561,2.7119
sck,7,0,2,145.08,216.68,59.8708,2.5899
sck,8,0,0,156.64,246.945,152.9289,33.4216
sck,8,0,1,171.195,238.765,60.5242,1.321
sck,8,0,2,156.03,245.79,152.8817,33.3458
sck,9,0,0,149.725,214.95,152.2463,10.9949
sck,9,0,1,154.48,212.14,66.2504,0.5463
sck,9,0,2,149.51,214.445,152.2683,10.9814
sck,10,0,0,225.205,266.87,63.8565,8.5107
sck,10,0,1,220.23,264.56,154.0293,6.8964
sck,10,0,2,217.71,267.045,59.2525,2.2689
